Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;12.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;10.0;5;20.0;1;8.0;10.0;4;20.0;
4;1;9.0;10.0;4;20.0;1;8.0;10.0;4;20.0;
5;1;9.0;10.0;4;20.0;1;8.0;10.0;4;20.0;
6;1;10.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
7;1;11.0;10.0;4;20.0;1;9.5;10.0;4;20.0;
8;1;11.0;10.0;4;20.3999996185;1;9.5;10.0;4;20.3999996185;
9;1;11.1199998856;10.1999998093;4;20.7264003754;1;9.59000015259;10.1999998093;4;20.7264003754;
10;1;11.2179203033;10.3632001877;4;20.9903717041;1;9.66343975067;10.3632001877;4;20.9903717041;
11;1;11.2971115112;10.4951858521;4;22.0419120789;1;9.72283363342;10.4951858521;4;22.0419120789;
12;1;11.6125736237;11.0209560394;4;22.9143505096;1;9.95943069458;11.0209560394;5;22.9143505096;
13;1;12.6125736237;11.4571752548;4;23.6214065552;1;11.7228336334;11.4571752548;5;23.6214065552;
14;1;13.6125736237;11.8107032776;4;24.1832637787;1;12.7228336334;11.8107032776;5;24.1832637787;
15;1;14.2549791336;12.0916318893;4;24.6226100922;1;13.7228336334;12.0916318893;5;24.6226100922;
16;1;14.3867835999;12.3113050461;4;24.9617595673;1;14.7228336334;12.3113050461;5;24.9617595673;
17;1;14.488527298;12.4808797836;4;25.0;1;15.7228336334;12.4808797836;5;25.0;
18;1;16.3867835999;12.5;4;25.0;1;16.7228336334;12.5;5;25.0;
19;1;17.3867835999;12.5;5;25.0;1;17.625;12.5;6;25.0;
20;1;18.3867835999;12.5;5;25.0;1;17.625;12.5;7;25.0;
21;1;19.3867835999;12.5;5;25.0;1;17.625;12.5;7;25.0;
22;1;19.5;12.5;5;25.0;1;17.625;12.5;6;25.0;
23;1;19.5;12.5;5;25.0;1;17.625;12.5;7;25.0;
24;1;19.5;12.5;5;25.0;1;17.625;12.5;7;25.0;
25;1;19.5;12.5;6;25.0;1;17.625;12.5;7;25.0;
26;1;19.5;12.5;6;25.0;1;17.625;12.5;7;25.0;
27;1;19.5;12.5;6;25.0;1;17.625;12.5;8;25.0;
28;1;19.5;12.5;6;25.0;1;17.625;12.5;8;25.0;
29;1;19.5;12.5;6;25.0;1;17.625;12.5;8;25.0;
30;1;19.5;12.5;6;25.0;1;17.625;12.5;8;25.0;
31;3;20.5;13.0;4;26.0;1;17.625;12.5;8;25.0;
32;3;21.5;13.0;4;26.1299999952;1;17.625;12.5;8;25.0;
33;3;21.5;13.0649995804;3;26.2754310369;1;17.625;12.5;8;25.0;
34;3;21.8826293945;12.5;3;26.4377241135;1;17.625;12.5;8;25.0;
35;3;21.9313163757;12.5;3;26.6183350086;1;17.625;12.5;8;25.0;
36;3;21.9855003357;12.5;3;26.8187118769;1;17.625;12.5;8;25.0;
37;3;21.5;13.4093561172;3;27.0402543545;1;17.625;12.5;8;25.0;
38;3;21.5;13.5201272964;3;27.2842636108;1;17.625;12.5;9;25.0;
39;3;22.1852798462;12.5;3;27.5518820286;1;17.625;12.5;10;25.0;
40;3;22.2655639648;12.5;3;28.8440244198;1;17.625;12.5;10;25.0;
41;3;21.3532066345;13.5;3;29.2113029957;1;17.625;12.5;10;25.0;
42;3;21.4483909607;14.5;3;30.9507610798;1;17.625;12.5;11;25.0;
43;3;22.5796356201;13.125;3;32.4713920355;1;17.625;12.5;11;25.0;
44;3;22.5;14.6171875;3;33.8078175783;1;17.625;12.5;11;25.0;
45;3;24.5;13.9937877655;4;35.0001211166;1;17.625;12.5;12;25.0;
46;3;26.0538024902;16.9937877655;4;36.086180687;1;17.625;12.5;12;25.0;
47;3;26.4268417358;19.9937877655;4;36.8328758478;1;17.625;12.5;12;25.0;
48;3;26.6322174072;22.9937877655;5;37.5771180391;1;17.625;12.5;12;25.0;
49;3;26.8362445831;25.9937877655;5;38.3467663527;1;17.625;12.5;12;25.0;
50;3;27.0472888947;28.9937877655;5;39.1328700781;1;17.625;12.5;12;25.0;
51;3;27.2626686096;29.5;6;39.9254889488;1;17.625;13.5;11;25.0;
52;3;27.4794120789;29.5;6;40.7142057419;1;17.625;14.5;12;25.0;
53;3;27.6944084167;29.5;6;41.4887046814;1;17.625;15.5;12;25.0;
54;3;27.9045753479;29.5;6;42.2393596172;1;17.625;16.5;10;25.0;
55;3;28.10704422;29.5;7;42.9577590227;1;17.625;17.5;10;25.0;
56;4;28.2993087769;29.5;6;43.6371059418;1;17.625;17.5;10;25.0;
57;4;28.4793586731;29.5;6;44.2724514008;1;17.625;17.5;11;25.0;
58;4;28.6457309723;29.5;6;44.8607568741;1;17.625;17.5;10;25.0;
59;4;28.7975463867;29.5;5;45.4007940292;1;17.625;17.5;10;25.0;
60;4;28.9344654083;29.5;5;45.8929262161;2;17.625;17.5;10;25.0;
61;4;29.056634903;29.5;5;46.3388087749;2;17.625;17.5;10;25.0;
62;4;29.1645870209;29.5;7;47.7410652637;2;17.625;17.5;10;25.0;
63;4;30.2591495514;30.5;8;48.1529650688;2;17.625;17.5;9;25.0;
64;4;31.341342926;31.5;8;48.5301167965;2;17.625;17.5;10;25.0;
65;4;31.4123039246;32.5;8;48.8763047457;2;17.625;17.5;10;25.0;
66;4;31.4732017517;33.5;8;49.111268878;3;17.625;17.5;9;25.0;
67;4;31.5;34.5;8;49.259196043;3;17.625;17.5;9;25.0;
68;4;31.5;35.1349868774;9;51.1172559261;4;18.625;18.5;8;26.0;
69;4;31.9920005798;35.7640724182;9;52.6144838333;4;19.625;19.5;8;26.1299999952;
