Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;12.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;10.0;5;20.0;1;8.0;10.0;6;20.0;
4;1;9.0;10.0;4;20.0;1;8.0;10.0;6;20.0;
5;1;9.0;10.0;3;20.0;1;8.0;10.0;6;20.0;
6;1;10.0;10.0;3;20.0;1;9.0;10.0;6;20.0;
7;1;11.0;10.0;3;20.0;1;9.5;10.0;6;20.0;
8;1;11.0;10.0;3;20.3999996185;1;9.5;10.0;6;20.3999996185;
9;1;11.1199998856;10.1999998093;3;20.7264003754;1;9.59000015259;10.1999998093;6;20.7264003754;
10;1;11.2179203033;10.3632001877;3;20.9903717041;1;9.66343975067;10.3632001877;6;20.9903717041;
11;1;11.2971115112;10.4951858521;3;22.0419120789;1;9.72283363342;10.4951858521;5;22.0419120789;
12;1;11.6125736237;11.0209560394;4;22.9143505096;1;9.95943069458;11.0209560394;5;22.9143505096;
13;1;13.2971115112;11.4571752548;4;23.6214065552;1;10.1557292938;11.4571752548;5;23.6214065552;
14;1;14.2971115112;11.8107032776;4;24.1832637787;1;10.3148164749;11.8107032776;5;24.1832637787;
15;1;15.2971115112;12.0916318893;4;24.6226100922;1;11.3148164749;12.0916318893;4;24.6226100922;
16;1;16.2971115112;12.3113050461;4;24.9617595673;1;12.3148164749;12.3113050461;4;24.9617595673;
17;1;17.2971115112;12.4808797836;4;25.0;1;12.6163959503;12.4808797836;4;25.0;
18;1;18.2971115112;12.5;4;25.0;1;14.3148164749;12.5;4;25.0;
19;1;19.2971115112;12.5;4;25.0;1;15.3148164749;12.5;5;25.0;
20;1;19.5;12.5;4;25.0;1;16.3148155212;12.5;6;25.0;
21;1;19.5;12.5;6;25.0;1;17.3148155212;12.5;6;25.0;
22;1;19.5;12.5;6;25.0;1;17.625;12.5;6;25.0;
23;2;20.5;12.8000001907;5;26.0;1;17.625;12.5;6;25.0;
24;2;21.5;12.8000001907;5;26.0399999619;1;17.625;12.5;6;25.0;
25;2;19.5;13.8120002747;6;26.0811839104;1;17.625;12.5;6;25.0;
26;3;18.5;14.8243551254;6;26.1235535145;1;17.625;12.5;7;25.0;
27;3;17.5;15.8370656967;6;26.1671074629;1;17.625;12.5;7;25.0;
28;3;16.5;16.8501319885;7;26.211841464;2;17.625;12.5;5;25.0;
29;3;15.5;17.5;8;26.2577478886;2;17.625;12.5;5;25.0;
30;3;14.5;18.5;9;26.3048160076;2;17.625;12.5;5;25.0;
31;4;14.0;19.5;6;55.1030313969;2;17.625;12.5;5;25.0;
32;4;16.0;18.5;6;57.1648768187;2;17.625;12.5;5;25.0;
33;4;18.0;18.5;7;58.7496079206;2;17.625;12.5;5;25.0;
34;4;19.0;18.5;7;59.9164223671;2;17.625;12.5;5;25.0;
35;4;20.0;18.5;7;60.750164032;2;17.625;12.5;5;25.0;
36;4;21.0;18.5;7;61.3360848427;2;17.625;12.5;5;25.0;
37;4;22.0;18.5;7;61.4151450396;2;17.625;12.5;5;25.0;
38;4;22.75;19.5;7;61.47067523;2;17.625;12.5;5;25.0;
39;4;22.75;20.5;8;61.5271017551;2;17.625;12.5;7;25.0;
40;4;22.75;21.5;8;61.5843759775;2;17.625;12.5;8;25.0;
41;4;22.75;22.5;8;61.6424454451;2;17.625;12.5;8;25.0;
42;4;22.75;23.5;9;61.7012542486;2;17.625;12.5;8;25.0;
43;4;22.75;24.5;9;61.7607431412;2;17.625;12.5;9;25.0;
44;4;22.75;25.5;9;61.8208494186;2;17.625;12.5;9;25.0;
45;4;23.75;23.5;10;61.8815076351;2;15.625;13.5;9;25.0;
46;4;22.75;24.5;10;61.4426498413;2;14.625;14.5;9;25.0;
47;5;22.75;25.5;9;61.4986317158;1;13.625;15.5;9;25.0;
48;6;22.75;26.5;8;61.5554862022;1;12.625;16.5;9;25.0;
49;6;22.75;27.5;9;61.613162756;1;12.0;17.5;9;25.0;
50;6;22.75;28.5;9;61.6716071367;1;12.0;18.5;9;25.0;
51;6;23.0;28.5;9;61.7307617664;1;12.0;19.5;9;25.0;
52;6;24.0;28.5;10;61.7905657291;1;12.0;20.5;10;25.0;
53;6;25.0;28.5;10;61.8509550095;1;12.0;21.5;10;25.0;
54;6;26.0;28.5;12;61.9118626118;1;13.0;19.5;9;25.0;
55;6;26.4249992371;29.0249996185;12;61.9732191563;1;14.0;18.5;9;25.0;
56;6;26.4249992371;30.0249996185;12;62.0349531174;1;15.0;17.5;8;25.0;
57;6;26.4249992371;31.0249996185;13;62.0969905853;1;16.0;17.5;7;25.0;
58;6;26.4249992371;32.0250015259;14;62.1592564583;1;17.0;17.5;7;25.0;
59;6;26.4249992371;33.0250015259;14;62.2216742039;1;17.625;17.5;7;25.0;
60;6;26.4249992371;34.0250015259;14;62.2841660976;1;17.625;17.5;8;25.0;
61;6;26.4249992371;35.0250015259;16;62.3466544151;1;17.625;17.5;8;25.0;
62;6;27.4249992371;33.0250015259;16;62.409060955;1;17.625;17.5;9;25.0;
63;6;26.4249992371;34.0250015259;14;62.4713079929;1;17.625;17.5;9;25.0;
64;6;26.4249992371;35.0250015259;16;62.5333182812;1;17.625;17.5;9;25.0;
65;6;27.4249992371;33.0250015259;16;62.5950155258;1;17.625;17.5;9;25.0;
66;6;26.4249992371;34.0250015259;16;62.6563251019;1;17.625;17.5;9;25.0;
67;6;26.4249992371;35.0250015259;15;63.7171740532;1;17.625;17.5;9;25.0;
68;6;28.4249992371;34.0250015259;17;63.8074915409;1;17.625;17.5;9;25.0;
69;6;28.4249992371;36.0250015259;17;63.8977999687;1;17.625;17.5;9;25.0;
