Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
80;4;26.3999996185;34.0;19;43.316381216;6;33.3695030212;38.3899993896;14;63.0641027689;
81;4;26.3999996185;34.0;19;43.4897601604;6;34.571647644;38.6872596741;13;64.0638997555;
82;4;26.3999996185;34.0;19;43.6648519039;6;35.1312294006;38.9097442627;13;64.7092541456;
83;4;26.3999996185;34.0;19;43.8413686752;6;35.2867736816;39.0;14;64.9174089432;
84;4;26.3999996185;34.0;20;44.0190079212;7;35.3430900574;39.0;13;65.112772584;
85;5;26.3999996185;34.0;19;44.197453022;7;35.0993118286;39.0;13;66.2524431944;
86;5;26.3999996185;34.0;19;44.3763763905;7;36.4318008423;40.0;14;66.5280939341;
87;5;29.0746421814;34.0;20;44.5554409027;7;37.4488220215;41.0;15;66.8217004538;
88;5;29.3771057129;35.0;20;44.7343037128;7;37.7848815918;42.0;16;67.1252951622;
89;5;30.3941383362;35.7102546692;20;44.9126179218;7;37.8531913757;43.0;18;67.4791179895;
90;5;30.410900116;35.7714729309;19;45.0900361538;7;37.932800293;44.0;14;67.8900828362;
91;5;30.4273815155;35.8327140808;17;45.2662134171;7;38.0252685547;44.0;15;69.3652223349;
92;6;28.2599983215;36.8938293457;13;74.4408102036;7;39.1321754456;45.0;15;70.0013103485;
93;6;30.2135009766;36.9546661377;12;76.9334948063;8;40.2550430298;46.0;16;85.7214589119;
94;6;27.2275009155;39.8830757141;11;78.8829243183;8;41.3952255249;48.0;17;87.5805922747;
95;6;26.5412082672;41.7650222778;9;80.3420381546;8;42.9412574768;50.0;17;89.4363554716;
96;6;26.5599994659;41.6950416565;7;81.4046475887;8;41.1523780823;53.0;17;91.2777467966;
97;6;25.5599994659;44.3804168701;6;82.170869112;8;40.3846282959;55.0;17;93.0967102051;
98;6;25.5599994659;46.3990974426;6;82.437579155;8;39.637046814;57.0;18;94.8865545988;
99;6;25.5599994659;48.4657669067;5;82.592641592;8;36.7919845581;61.0;19;96.6402407885;
100;6;26.0;50.5414962769;6;82.743922472;8;36.7970085144;64.7453918457;19;98.3490883112;
101;6;27.0;52.2153930664;6;82.891241312;8;38.4307098389;63.0;19;100.002263188;
102;6;28.0;53.2873458862;7;83.0344421864;8;36.8070106506;67.0;20;101.587185144;
103;6;29.0;54.3572998047;7;83.135248661;8;37.5428733826;69.0;20;102.991983652;
104;6;30.0;58.9546737671;7;83.2310080528;8;38.6031112671;69.0;21;104.211845517;
105;6;30.7999992371;60.0217056274;8;83.3235440254;10;39.666053772;71.0;19;105.36745882;
106;7;30.7999992371;61.0864868164;8;83.4127907753;10;40.3298454285;73.0;19;106.44568038;
107;7;30.7999992371;62.1489562988;9;83.4987030029;10;41.4922866821;75.0;20;107.438831925;
108;7;30.7999992371;63.2090988159;9;83.5812549591;10;41.7321357727;77.0;20;108.34441781;
109;7;30.7999992371;64.2668838501;9;83.6604385376;10;41.9528312683;79.0;21;109.164284945;
110;7;30.7999992371;65.3223114014;10;83.736263752;10;42.1547241211;80.5500030518;22;109.903495789;
111;7;31.7999992371;63.3753890991;10;83.808754921;10;42.3388977051;81.5500030518;23;111.569137335;
112;7;30.7999992371;64.4261322021;10;84.877951622;10;43.5068664551;83.5500030518;23;113.329272628;
113;7;31.7999992371;66.474571228;11;85.0039048195;10;45.6603622437;86.5500030518;24;114.205850482;
114;7;33.7999992371;65.5207366943;10;85.1229639053;11;46.8011474609;89.5500030518;25;114.979243994;
115;7;32.7999992371;67.560005188;12;85.1889609098;12;48.2704849243;94.5500030518;24;115.683244467;
116;7;32.7999992371;69.560005188;13;85.2580518723;12;52.2424888611;97.5500030518;26;116.428284883;
117;8;33.7999992371;68.560005188;12;86.0257714987;12;52.1630439758;101.550003052;26;117.230394006;
