Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;12.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;10.0;5;20.0;1;8.0;10.0;6;20.0;
4;1;9.0;10.0;5;20.0;1;8.0;10.0;6;20.0;
5;1;9.0;10.0;5;20.0;1;8.0;10.0;6;20.0;
6;1;10.0;10.0;5;20.0;1;9.0;10.0;6;20.0;
7;1;11.0;10.0;5;20.0;1;9.5;10.0;5;20.0;
8;1;11.0;10.0;5;20.3999996185;1;9.5;10.0;5;20.3999996185;
9;1;11.1199998856;10.1999998093;5;20.7264003754;2;9.59000015259;10.3999996185;4;21.7264003754;
10;1;11.2179203033;10.3632001877;5;20.9903717041;2;9.88844013214;10.3632001877;4;22.0903717279;
11;2;11.2971115112;10.6951856613;4;23.0419120789;2;9.97033405304;10.4951858521;4;23.2838120461;
12;2;11.9125738144;11.0209560394;4;23.9543504715;2;10.238858223;11.0209560394;4;24.3146933317;
13;2;13.9125738144;11.4571752548;5;24.7025904655;2;10.4708061218;11.4571752548;4;25.1981878281;
14;2;15.9125738144;11.8107032776;5;25.3068172932;2;12.4708061218;11.8107032776;4;25.9559320211;
15;2;16.949640274;12.0916318893;5;25.789717555;2;14.4708061218;12.0916318893;4;26.6120283604;
16;2;17.9627056122;12.3113050461;5;26.1736010313;2;14.9877061844;12.3113050461;4;27.1901185513;
17;2;18.9761257172;12.4808797836;5;26.2577478886;2;15.1177768707;12.4808797836;4;27.4906733036;
18;2;19.9898986816;12.5;5;26.3048160076;2;17.1004886627;12.5;4;27.7773330212;
19;2;20.6125736237;12.8914451599;5;26.3530313969;2;18.1649856567;12.5;4;28.0890238285;
20;2;21.9059104919;12.5;6;26.4023760557;2;19.2351169586;12.5;4;28.4260663986;
21;2;21.5;12.920712471;6;26.4528282881;2;20.3109512329;12.5;4;28.788336277;
22;2;21.5;12.9358482361;6;26.5043625832;2;19.625;13.5;4;29.1751885414;
23;2;21.5;12.9513092041;6;26.5569496155;2;19.625;13.7525568008;4;29.585392952;
24;2;21.9670848846;12.5;6;26.6105561256;2;20.625;12.5;9;30.0170898438;
25;2;19.5;13.9831666946;6;26.6651450396;3;19.625;13.5;4;50.7177705765;
26;2;18.5;14.99954319;6;26.72067523;3;21.625;13.5;4;52.1967940331;
27;2;17.5;16.0162029266;6;26.7771017551;3;22.9602165222;14.5;6;53.5232777596;
28;2;17.0331306458;16.5;6;26.8343759775;3;23.0679111481;15.5;6;54.7040205002;
29;2;16.0503120422;17.5;6;26.8924454451;3;23.1773853302;16.5;6;55.7515978813;
30;2;15.0677337646;18.5;6;26.9512542486;3;23.287612915;17.5;7;56.6811122894;
31;2;15.5;17.4756278992;7;27.0107431412;3;23.3975219727;18.5;7;57.5077810287;
32;2;16.5;16.5053710938;7;27.0708494186;3;23.5060367584;19.5;8;58.0816650391;
33;2;15.121254921;16.5;7;27.1315076351;3;23.6121253967;20.5;8;58.5381155014;
34;2;14.6394519806;17.5;7;27.1926498413;3;23.7148265839;21.5;9;58.9757604599;
35;2;14.6577949524;18.5;7;27.2542052269;3;23.8132972717;22.5;9;59.391462326;
36;2;15.0;17.5;7;27.3161010742;4;23.906829834;23.5;6;74.7827749252;
37;2;14.6948299408;17.5;7;27.3782629967;4;24.9948749542;24.5;6;75.8979701996;
38;2;14.7134790421;18.5;8;27.4406147003;4;26.0770435333;25.5;7;76.9054031372;
39;2;14.7321844101;19.5;8;27.5030794144;4;27.1531066895;26.5;7;77.8038787842;
40;2;14.7509241104;20.5;8;27.5655794144;4;28.2229824066;27.5;8;78.5961437225;
41;3;15.7696743011;22.0;7;28.628036499;4;29.2867221832;28.5;7;79.2879238129;
42;3;16.7884101868;22.5;8;28.7203724384;4;30.3444843292;29.5;7;79.8869524002;
43;3;16.8071117401;23.5;8;28.8131010532;4;30.5183143616;33.5;8;80.4020833969;
44;3;16.8257522583;24.5;8;28.9061386585;5;30.6342182159;37.5;7;80.8425645828;
45;3;17.8443107605;22.5;9;28.9994015694;5;30.7333259583;41.5;7;81.1237831116;
46;3;16.8627662659;23.5;9;29.0928064585;5;30.7966003418;45.5;7;81.25;
47;3;16.8810920715;24.5;9;29.186270833;5;30.8250007629;49.5;8;81.25;
48;3;17.0;23.5;10;29.2797131538;5;30.8250007629;50.5;8;81.25;
49;3;18.0;24.5;10;29.3730533123;5;30.8250007629;51.5;11;81.25;
50;3;19.0;25.5;8;29.4662125111;5;30.8250007629;52.5;11;81.25;
51;3;20.0;26.5;9;29.5591139793;5;30.8250007629;53.5;12;81.25;
52;3;21.0;27.5;10;29.6516827345;5;30.8250007629;54.5;13;81.25;
53;3;22.0;28.5;10;29.7438464165;5;30.8250007629;55.5;13;82.25;
54;3;23.0;29.1734848022;12;29.8355352879;5;31.8250007629;57.5;13;82.4199999571;
55;3;23.5;29.2011489868;12;29.9266815186;5;32.8250007629;59.5;13;82.6169109344;
56;3;24.5;27.5;13;30.0172208548;5;33.1325569153;61.5;14;82.8442704678;
57;3;23.5;28.5;13;30.1070915461;6;32.8250007629;63.1749992371;13;83.1058222055;
58;3;23.5;29.2811508179;13;30.1962345839;6;33.2425613403;64.1750030518;14;83.4054293633;
59;3;24.5;27.5;13;30.2845941782;6;32.8250007629;65.1750030518;14;83.7469480038;
60;3;24.5990867615;27.5;13;30.3721175194;6;33.3868141174;64.1750030518;14;84.1340510845;
61;3;24.6137733459;27.5;14;30.4587548971;6;32.8250007629;65.1750030518;15;84.5700027943;
62;3;24.628112793;27.5;15;30.5444598198;6;33.5720024109;64.1750030518;19;85.0573790073;
