Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;12.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
4;1;9.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
5;1;9.0;10.0;4;20.0;2;9.0;10.1999998093;4;21.0;
6;1;10.0;10.0;4;20.0;2;11.0;10.0;4;21.0599999428;
7;1;11.0;10.0;4;20.0;2;12.5;10.0;4;21.1229639053;
8;1;11.0;10.0;4;20.3999996185;2;12.7526664734;10.0;4;21.6001901627;
9;1;11.1199998856;10.1999998093;4;20.7264003754;2;12.860042572;10.1999998093;4;22.0082015991;
10;2;11.2179203033;10.5631999969;3;21.9903717041;2;12.9518451691;10.3632001877;4;23.2129787207;
11;2;11.597111702;10.4951858521;3;23.0619120598;2;13.2229204178;10.9097137451;4;24.245090127;
12;2;11.9185733795;11.0209560394;3;23.9545464516;2;13.4551448822;11.3658018112;5;25.1164904833;
13;2;13.9185733795;11.4571752548;4;24.6819883585;2;16.2499046326;11.7372808456;5;25.8465604782;
14;2;15.9185733795;11.8107032776;4;25.2644146681;2;18.2499046326;12.0336990356;5;26.4579504728;
15;2;16.9369182587;12.0916318893;4;25.7245066166;2;19.3425922394;12.2662630081;5;26.9734284878;
16;2;17.9431419373;12.3113050461;4;26.0845712423;2;20.3775730133;12.446267128;5;27.245682478;
17;2;18.9494171143;12.4808797836;4;26.1438889503;2;21.4146499634;12.5;5;27.4198198318;
18;2;19.955739975;12.5;4;26.1651208401;2;22.453830719;12.5;5;27.6032464504;
19;2;20.6125736237;12.8495359421;4;26.1864993572;2;23.2107315063;12.5;6;27.7958021164;
20;2;21.8559494019;12.5;5;26.2080165148;2;23.2540550232;12.5;6;27.9972171783;
21;2;21.5;12.8624048233;5;26.2296639681;2;22.625;13.3991651535;6;28.207105875;
22;2;21.5;12.8688993454;5;26.2514331341;2;22.625;13.4621315002;6;28.4249610901;
23;2;21.5;12.8754301071;5;26.2733153105;2;23.3956165314;12.5;6;28.6501536369;
24;3;21.5;12.8819942474;5;26.2953014374;2;23.4462852478;12.5;6;28.8819327354;
25;4;21.5;12.8885908127;4;26.3173824549;2;23.4984359741;12.5;7;29.1194319725;
26;4;21.8952140808;12.5;4;26.3395489454;2;23.5518722534;12.5;6;29.3616781235;
27;4;21.9018650055;12.5;4;26.3617914915;2;23.6063766479;12.5;7;29.60760355;
28;4;19.908536911;13.5;4;26.3841004372;3;22.625;13.5;6;29.8560638428;
29;4;18.9152297974;14.5;4;26.4064661264;4;22.625;14.5;5;32.7830297947;
30;4;17.9219398499;15.5;4;26.428878665;4;21.625;16.0529289246;6;33.1553401947;
31;4;16.9286632538;16.5;4;26.4513280392;4;21.625;17.1778717041;6;33.5286679268;
32;4;15.9353981018;17.5;4;26.4738043547;4;21.625;18.3022403717;6;33.9015088081;
33;4;14.9421415329;18.5;4;26.4962974787;4;21.625;19.4254131317;5;34.2723777294;
34;4;14.4488887787;19.5;4;26.5187973976;4;21.860912323;20.546792984;5;34.6398339272;
35;4;14.4556388855;20.5;5;26.5412938595;4;21.9773864746;21.665813446;5;35.0025043488;
36;4;14.4623880386;21.5;5;26.5637768507;4;22.0947475433;22.7819480896;5;36.3591058254;
37;4;14.4691333771;22.5;5;26.5862361193;4;23.2127017975;24.3947181702;5;36.8384603262;
38;4;14.4758710861;23.5;5;26.6086617708;4;24.3309402466;25.5687084198;5;37.324942708;
39;4;14.4825983047;24.5;5;26.6310436726;4;24.4491539001;26.7462768555;6;37.8190557957;
40;4;15.4893131256;22.5;5;26.6533719301;4;24.5670318604;27.9278450012;6;38.3214623928;
41;4;14.496011734;23.5;5;27.6756366491;4;24.6842670441;29.1139163971;6;38.8329545259;
42;4;15.5026912689;24.5;6;27.7378281355;4;25.8005561829;30.1139163971;7;39.3544094563;
43;4;17.0;23.3489131927;6;27.8011207581;4;25.3746604919;34.1139144897;8;39.8867368698;
44;5;16.5159816742;23.5;5;27.865506649;4;25.5430908203;38.1139144897;10;40.4308083057;
45;5;16.5225868225;24.5;5;27.9309751987;4;25.7150382996;42.1139144897;11;40.9873812199;
46;5;17.0;23.3819332123;5;27.9975129366;4;26.2505588531;43.1139144897;12;41.5570139885;
47;5;16.5357017517;23.5;5;28.0651032925;4;26.0692691803;44.3047485352;12;42.139973402;
48;5;16.5422058105;24.5;6;28.133726716;4;26.4629077911;44.5;12;42.7361454964;
49;6;17.0;24.5;4;28.2033603191;5;26.5651626587;44.4358596802;10;53.3449468613;
50;6;18.5550994873;25.5;4;29.2739776373;5;27.6645736694;45.6319313049;10;54.36525774;
51;6;20.5614814758;27.5;6;29.3455489874;6;31.7609977722;46.6319313049;9;56.2832078934;
52;6;22.0;29.5;6;29.4180409908;6;32.8793106079;47.6319313049;11;57.2753432989;
53;6;23.5741043091;31.5;6;29.4914166927;6;32.9694252014;49.5;12;58.258579731;
54;6;24.0;32.4672317505;8;29.5656355619;6;33.0562591553;50.5;12;59.2294324636;
55;6;25.5865249634;32.5;8;29.640653491;6;34.1397628784;52.5;14;60.184489727;
56;6;25.5;34.1877555847;8;29.7164225578;7;35.2199058533;53.5;13;61.120443821;
57;6;25.5;34.1978721619;8;29.7771017551;8;35.2966804504;54.5;13;63.0341490507;
58;6;25.5;34.2000007629;8;29.8343759775;8;36.1667480469;56.5;13;64.0926952362;
59;6;25.5;34.2000007629;8;29.8924454451;8;36.3448867798;59.5;14;65.1504092216;
60;6;25.5;34.2000007629;8;29.9512542486;8;36.5170822144;62.5;11;66.2086544037;
