Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.0;5;20.0;
4;1;9.0;11.0;6;20.0;1;9.0;10.0;5;20.0;
5;1;10.0;10.0;6;20.0;2;9.0;10.1999998093;4;21.0;
6;1;11.0;10.0;6;20.0;2;10.3000001907;10.0;4;21.0900000334;
7;1;12.0;10.0;6;20.0;2;11.3269996643;10.0;4;21.1871190071;
8;1;13.0;10.0;6;20.3999996185;2;11.3561353683;10.0;4;21.7036092281;
9;1;14.0;10.1999998093;6;20.7264003754;2;11.5110826492;10.1999998093;4;22.1564130783;
10;1;14.3268795013;10.3632001877;6;21.8194274902;2;11.6469240189;10.3632001877;4;22.557236433;
11;2;14.8187427521;11.2097139359;5;23.7316036224;2;11.7671709061;10.4951858521;4;23.8035871983;
12;2;15.6792221069;11.3658018112;5;24.5645617247;2;12.141076088;11.0209560394;4;24.8916251659;
13;2;18.268743515;11.7372808456;5;25.2545170784;2;14.141076088;11.4571752548;5;25.8364036083;
14;2;20.268743515;12.0336990356;4;25.8242644072;2;16.1410751343;11.8107032776;5;26.6592981815;
15;2;21.4000244141;12.2662630081;4;26.2967605591;2;17.3553848267;12.0916318893;5;27.3839819431;
16;2;22.4506454468;12.446267128;4;26.5249304771;2;18.440984726;12.3113050461;5;28.0334718227;
17;2;23.5049610138;12.5;4;26.6541694403;2;19.5340881348;12.4808797836;5;28.407397747;
18;2;24.563117981;12.5;4;26.7922235727;2;20.6347923279;12.5;5;28.7683298588;
