Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.0;5;20.0;
4;1;9.0;11.0;6;20.0;1;9.0;10.0;5;20.0;
5;1;10.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
6;1;11.0;10.0;6;20.0;1;10.0;10.0;5;20.0;
7;1;12.0;10.0;6;20.0;1;11.0;10.0;5;20.0;
8;1;13.0;10.0;6;20.3999996185;1;11.0;10.0;5;20.3999996185;
9;2;14.0;10.5;5;21.7264003754;1;11.1199998856;10.1999998093;5;20.7264003754;
10;2;14.7768793106;10.3632001877;5;22.8494274616;1;11.2179203033;10.3632001877;5;20.9903717041;
11;2;15.282242775;10.9097137451;5;23.7921946049;1;11.2971115112;10.4951858521;5;22.0419120789;
12;2;15.7064886093;11.3658018112;5;24.5663278103;2;11.6125736237;11.2209558487;5;23.9143505096;
13;2;18.2960090637;11.7372808456;5;25.1909153461;2;14.2971115112;11.4571752548;5;24.7914065123;
14;2;20.2960090637;12.0336990356;5;25.6883610487;2;16.2971115112;11.8107032776;5;25.5501747131;
15;2;21.3388690948;12.2662630081;5;26.0812431574;2;17.7071838379;12.0916318893;5;26.2168805599;
16;2;22.3536624908;12.446267128;5;26.2221269608;2;18.7753925323;12.3113050461;5;26.8175817728;
17;2;23.3687000275;12.5;5;26.2560760975;2;19.8538589478;12.4808797836;5;27.1554293633;
18;2;24.3839759827;12.5;6;26.2905418873;2;20.9437408447;12.5;5;27.4969480038;
