Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.0;6;20.0;
4;1;9.0;11.0;5;20.0;1;9.0;10.0;6;20.0;
5;2;10.0;10.3000001907;4;21.0;1;9.0;10.0;5;20.0;
6;2;11.4499998093;10.0;4;21.0599999428;1;10.0;10.0;5;20.0;
7;2;12.4770002365;10.0;4;21.1229639053;1;11.0;10.0;5;20.0;
8;2;13.5053339005;10.0;4;21.6001901627;1;11.0;10.0;5;20.3999996185;
9;2;14.5400857925;10.1999998093;4;22.0082015991;2;11.1199998856;10.3999996185;4;21.7264003754;
10;2;14.9036903381;10.3632001877;4;23.2129787207;2;11.5179204941;10.3632001877;4;21.9903717041;
11;2;15.4458408356;10.9097137451;4;24.245090127;2;11.597111702;10.4951858521;4;23.0819120407;
12;2;15.9102916718;11.3658018112;4;25.1164904833;2;11.9245738983;11.0209560394;4;23.99553442;
13;2;18.4998111725;11.7372808456;4;25.8465604782;2;13.9245738983;11.4571752548;4;24.7449600697;
14;2;20.4998111725;12.0336990356;4;26.4579504728;2;15.9245738983;11.8107032776;4;25.3503712416;
15;2;21.6851844788;12.2662630081;4;26.9734284878;2;16.6051120758;12.0916318893;4;25.8344515562;
16;2;22.7551460266;12.446267128;4;27.245682478;2;16.7503356934;12.3113050461;4;26.2195074558;
17;2;23.8292999268;12.5;4;27.4198198318;2;16.865852356;12.4808797836;4;26.3048160076;
18;2;24.907661438;12.5;5;27.6032464504;2;16.8914451599;12.5;3;26.3530313969;
