Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;11.0;10.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;11.0;10.0;6;20.0;1;8.0;12.0;6;20.0;
4;1;11.0;10.0;6;20.0;1;8.0;11.0;6;20.0;
5;1;12.0;10.0;5;20.0;1;8.0;10.0;6;20.0;
6;1;13.0;10.0;5;20.0;1;9.0;10.0;6;20.0;
7;1;14.0;10.0;5;20.3999996185;1;9.5;10.0;5;20.0;
8;1;14.1800003052;10.1999998093;5;20.7264003754;1;9.5;10.0;5;20.3999996185;
9;2;15.3268795013;10.3632001877;4;22.8194274902;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;16.8187427521;10.9097137451;4;23.7716035843;2;9.66343975067;10.6632003784;4;21.9903717041;
11;2;18.8187427521;11.3658018112;4;24.5557456017;2;9.94783401489;10.4951858521;4;23.0719120502;
12;2;20.8187427521;11.7372808456;4;25.1909515858;2;10.1911802292;11.0209560394;4;23.9749414921;
13;2;22.8187427521;12.0336990356;4;25.6996334791;2;11.9614667892;11.4571752548;3;24.7131726742;
14;2;23.5648345947;12.2662630081;4;26.10437572;2;13.9614667892;11.8107032776;3;25.3067810535;
15;2;23.746969223;12.446267128;4;26.2577478886;2;15.9614667892;12.0916318893;3;25.7784451246;
16;2;23.8159866333;12.5;4;26.3048160076;2;16.9828968048;12.3113050461;3;26.1504684687;
17;2;25.7888088226;12.5;4;26.3530313969;2;17.9902935028;12.4808797836;3;26.2221269608;
18;2;26.8105049133;12.5;4;26.4023760557;2;18.9978122711;12.5;4;26.2560760975;
19;2;27.8327102661;12.5;4;26.4528282881;2;19.907617569;12.5;4;26.2905418873;
20;2;28.8554134369;12.5;4;26.5043625832;2;19.9153709412;12.5;5;26.3255085945;
21;2;28.9269638062;12.5;6;26.5569496155;2;19.9232387543;12.5;5;26.3609591722;
22;2;28.9506263733;12.5;6;26.6105561256;2;19.9312152863;12.5;5;26.3968753815;
23;2;28.9747505188;12.5;6;26.6651450396;2;19.9392967224;12.5;6;26.4332377911;
24;2;28.9993152618;12.5;7;26.72067523;2;19.947479248;12.5;7;26.4700255394;
25;2;29.0243034363;12.5;7;26.7771017551;2;19.9557552338;12.5;7;26.5072168112;
26;2;29.0496959686;12.5;8;26.8343759775;3;19.9641227722;12.5;6;26.5447884798;
27;3;29.0754699707;12.5;7;26.8924454451;3;19.9725780487;12.5;6;26.5827163458;
28;3;29.101600647;12.5;7;26.9512542486;3;19.9811115265;12.5;6;26.6209751368;
29;3;29.1280632019;12.5;7;27.0107431412;3;17.9897193909;13.5;6;26.6595385075;
30;3;28.25;13.3042974472;8;27.0708494186;3;16.9983959198;14.5;6;26.6983793974;
31;3;28.25;13.3283395767;8;27.1315076351;3;16.0071353912;15.5;6;26.7374696732;
32;3;28.25;13.3526029587;8;27.1926498413;3;15.0159301758;16.5;6;26.7767804861;
33;3;28.25;13.3770599365;8;27.2542052269;3;14.3997755051;17.5;6;26.8162822723;
34;3;28.25;13.4016819;8;27.3161010742;3;14.4086637497;18.5;6;26.8559447527;
35;3;29.25;15.4016819;8;27.3782629967;3;14.4175872803;19.5;6;26.8957372904;
36;3;29.3202171326;17.4016819;8;27.4406147003;3;14.4265403748;20.5;6;26.9356285334;
37;3;28.25;19.4016819;7;27.5030794144;3;14.4355163574;21.5;7;26.9755871296;
38;3;28.25;21.4016819;7;27.5655794144;3;14.4445075989;22.5;7;27.015581131;
39;3;28.25;23.4016819;8;27.628036499;3;14.4535055161;23.5;7;27.0555787086;
40;3;28.25;23.5512142181;8;27.690372467;3;14.4625053406;24.5;7;27.0955479145;
41;3;28.25;23.5761489868;8;27.7525100708;3;14.4714984894;25.5;8;27.135456562;
42;3;28.25;23.6010036469;8;27.8143725395;3;14.4804782867;26.5;8;28.17527318;
43;4;28.25;23.625749588;8;56.6258842945;3;15.4894361496;27.5;9;28.2349660397;
44;4;29.25;23.5;8;58.6994721889;3;16.4983673096;28.5;10;28.2946999073;
45;4;31.25;24.5;8;60.2943415642;4;17.5072631836;30.2000007629;10;29.3544379473;
46;4;31.598903656;25.5;8;61.469645977;4;19.5161170959;28.2000007629;10;29.4641433954;
47;4;31.62591362;26.5;9;62.3101916313;4;18.5249233246;28.5;11;29.5757551193;
48;4;31.652639389;27.5;9;62.9011993408;5;18.5336742401;29.5;9;29.6892623901;
49;4;31.6790523529;28.5;9;62.9836053848;5;19.0;28.5;10;29.8046492338;
50;4;31.705121994;29.5;9;63.0407235622;5;20.0;30.5;10;29.9218952656;
51;4;31.7308254242;30.5;9;63.096971035;5;21.0;32.5;11;30.0409741402;
52;4;31.7561378479;31.5;9;63.1522974968;5;22.0;34.5;10;30.1618535519;
53;4;31.7810344696;32.5;10;63.2066559792;5;23.5763778687;36.5;10;30.2844946384;
54;4;31.8054962158;33.5;10;63.2600040436;5;23.625;38.5;11;30.4088515043;
55;5;31.8295021057;34.5;8;66.5543780327;5;24.2178630829;36.5;11;30.5348713398;
56;5;32.3346252441;36.0;9;68.9624252319;5;24.2259559631;35.5;11;30.6624934673;
57;5;32.7406730652;37.3899993896;9;70.6673066616;5;23.625;35.5;10;30.7916492224;
58;5;33.0630378723;38.6872596741;9;71.8172440529;5;24.2418193817;33.5;12;30.9222618341;
59;5;31.5187683105;40.9097442627;9;72.1177816391;5;23.625;33.5;12;31.0542463064;
60;5;31.5999984741;42.6471138;8;72.2364649773;5;23.625;34.4669342041;12;31.1875089407;
61;5;31.5999984741;43.6945877075;7;72.3535413742;5;23.625;34.4903411865;10;31.3219476938;
62;5;31.5999984741;44.7414169312;9;72.4687561989;5;23.625;34.5133628845;11;31.4574519396;
63;5;31.5999984741;45.7875022888;9;72.5818715096;5;23.625;34.535987854;11;31.5939028263;
64;6;31.5999984741;46.8327484131;9;72.6926670074;5;24.286567688;32.535987854;12;31.7311738729;
65;6;31.5999984741;47.8770675659;9;72.800942421;5;24.2935791016;32.5;13;31.8671098948;
66;6;31.5999984741;48.920375824;9;72.9065179825;5;23.625;33.5;13;31.9756510258;
67;7;31.5999984741;49.9626083374;11;73.0092349052;5;23.625;34.5;14;32.0851974487;
68;7;31.5999984741;51.003692627;9;73.1089568138;5;23.625;34.5999984741;12;32.195600152;
69;7;31.5999984741;51.0435829163;9;73.2055692673;5;23.625;34.5999984741;12;32.3067039251;
70;7;30.5999984741;50.0822296143;9;74.2989797592;5;23.625;34.5999984741;14;32.4183481932;
71;7;32.5999984741;49.0822296143;9;74.4091162682;5;23.625;34.5999984741;15;32.5303678513;
72;7;35.5999984741;51.0;10;74.5161247253;5;24.2773475647;35.5999984741;15;32.6425946951;
73;7;36.0641670227;53.0;10;74.6199675798;5;23.9970092773;35.5999984741;15;32.7548581362;
74;7;36.1017227173;55.0;11;74.7206257582;5;24.0020179749;36.5999984741;16;32.8669868708;
75;7;36.1377639771;57.0;11;74.8180978298;5;24.7200717926;34.5999984741;14;32.9788093567;
76;6;36.1722869873;59.0;10;74.9123972654;6;23.625;34.5999984741;12;34.2479217052;
77;6;36.2053108215;61.0;11;75.0035524368;6;23.8500003815;37.141998291;13;35.3005913496;
78;6;36.2368469238;63.0;11;75.0916039944;6;24.0255012512;38.8082618713;14;36.1706342697;
79;6;36.2669143677;65.0;11;75.1766045094;6;24.8743247986;37.8034744263;14;36.8932316303;
80;6;36.2955474854;67.0;11;75.2080165148;6;26.3009777069;34.5924339294;14;37.352681756;
81;6;36.2999992371;69.0;11;75.2296639681;6;24.7115039825;36.6826934814;17;37.632086277;
82;6;36.2999992371;71.0;10;75.2514331341;6;25.7136421204;36.0;17;38.9111015797;
83;6;37.2999992371;70.0;10;75.2733153105;6;26.7639808655;37.3831596375;17;39.2088568211;
84;6;36.2999992371;71.0;9;75.2953014374;6;28.1666297913;37.3831596375;17;39.5046789646;
85;6;36.2999992371;72.0;9;75.3173824549;6;25.5208091736;39.0;19;39.7977074385;
86;6;34.2999992371;72.6586914062;8;75.3395489454;6;25.2999992371;42.0;19;40.0871090889;
87;6;33.5999984741;72.6697769165;7;75.3617914915;6;24.1135025024;44.3685531616;19;40.3720905781;
