Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;11.0;10.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;11.0;10.0;5;20.0;1;8.0;12.0;6;20.0;
4;1;11.0;10.0;5;20.0;1;8.0;11.0;6;20.0;
5;1;12.0;10.0;4;20.0;1;8.0;10.0;4;20.0;
6;1;13.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
7;1;14.0;10.0;4;20.3999996185;1;9.5;10.0;4;20.0;
8;1;14.1800003052;10.1999998093;4;20.7264003754;1;9.5;10.0;4;20.3999996185;
9;1;14.3268795013;10.3632001877;4;21.8194274902;1;9.59000015259;10.1999998093;4;20.7264003754;
10;1;14.8187427521;10.9097137451;4;22.7316036224;1;9.66343975067;10.3632001877;4;20.9903717041;
11;1;15.8187427521;11.3658018112;4;23.4745616913;1;9.72283363342;10.4951858521;4;22.0419120789;
12;1;16.8187427521;11.7372808456;4;24.0673980713;1;9.95943069458;11.0209560394;4;22.9143505096;
13;1;17.8187427521;12.0336990356;5;24.5325260162;1;11.7228336334;11.4571752548;3;23.6214065552;
14;1;18.8187427521;12.2662630081;5;24.892534256;1;12.7228336334;11.8107032776;3;24.1832637787;
15;1;19.8187427521;12.446267128;5;25.0;1;13.7228336334;12.0916318893;3;24.6226100922;
16;1;20.8187427521;12.5;5;25.0;1;14.7228336334;12.3113050461;3;24.9617595673;
17;1;21.8187427521;12.5;5;25.0;1;15.7228336334;12.4808797836;3;25.0;
18;1;22.8187427521;12.5;4;25.0;1;16.7228336334;12.5;4;25.0;
19;1;23.25;12.5;4;25.0;1;17.625;12.5;4;25.0;
20;1;23.25;12.5;4;25.0;2;18.625;12.8000001907;5;26.0;
21;1;23.25;12.5;6;25.0;2;19.625;12.5;5;26.0299999714;
22;1;23.25;12.5;7;25.0;2;19.8567504883;12.5;6;26.0605909824;
23;1;23.25;12.5;7;25.0;2;19.8636322021;12.5;6;26.091766119;
24;1;23.25;12.5;7;25.0;2;19.8706474304;12.5;5;26.1235172749;
25;1;23.25;12.5;6;25.0;2;19.8777923584;12.5;5;26.1558350325;
26;2;23.25;12.5;5;25.0;2;19.8850631714;12.5;5;26.1887089014;
27;2;23.25;12.5;5;25.0;2;19.625;12.9754838943;6;26.2221269608;
28;2;23.25;12.5;5;25.0;3;19.8999786377;12.5;5;26.2560760975;
29;2;23.25;12.5;5;25.0;3;19.625;13.0024299622;5;26.2905418873;
30;2;23.25;12.5;5;25.0;3;17.9153709412;13.5;4;26.3255085945;
31;2;23.25;12.5;4;25.0;3;16.9232387543;14.5;4;26.3609591722;
32;2;23.25;12.5;4;25.0;3;15.9312152863;15.5;4;26.3968753815;
33;2;23.25;12.5;4;25.0;3;14.9392967224;16.5;4;26.4332377911;
34;2;23.25;12.5;4;25.0;3;14.3224782944;17.5;4;26.4700255394;
35;2;23.25;12.5;4;25.0;3;14.3307552338;18.5;4;26.5072168112;
36;2;23.25;12.5;4;25.0;3;14.3391237259;19.5;4;26.5447884798;
37;2;23.25;12.5;4;25.0;3;14.347577095;20.5;4;26.5827163458;
38;2;23.25;12.5;4;25.0;3;14.3561115265;21.5;4;26.6209751368;
39;2;23.25;13.5;5;25.0;3;14.3647193909;22.5;4;27.6595385075;
40;2;23.25;14.5;6;25.0;3;15.0;23.5;4;27.9083794355;
41;2;23.25;15.5;6;25.0;4;16.3821353912;24.5;2;28.1990287304;
42;2;23.25;16.5;6;25.0;4;16.7197818756;25.5;2;28.5385209322;
43;2;23.25;17.5;8;25.0;4;16.7961673737;26.5;3;28.9345684052;
44;2;23.25;17.5;8;25.0;4;16.8852767944;27.5;4;29.3953825235;
45;2;23.25;17.5;8;25.0;4;16.9889602661;28.5;4;29.9293638468;
46;2;23.25;17.5;9;25.0;4;17.1091079712;29.5;4;30.544623971;
47;3;23.25;17.5;7;40.0;4;18.2475395203;27.5;4;31.2483131886;
48;3;24.25;18.5;7;40.75;4;17.4058704376;28.5;4;32.0457448959;
49;3;25.25;19.5;6;41.4193744659;4;17.5852928162;29.5;4;32.9393529892;
50;4;26.25;20.5;5;47.891064167;3;15.4625053406;27.5;5;27.0955479145;
51;4;28.25;22.5;6;50.3482861519;3;16.0;27.5;5;27.135456562;
52;4;31.25;25.5;6;51.8396220207;3;17.4804782867;27.5;5;27.17527318;
53;4;33.25;27.5;7;53.3395056725;3;18.0;27.5;6;27.2149660587;
54;4;33.3717956543;29.5;7;54.8370243311;3;19.4983673096;27.5;7;27.2545039654;
55;4;33.441078186;31.5;8;56.316103816;3;20.1322631836;27.5;7;27.293856144;
56;4;33.4986228943;33.5;8;57.66284585;3;19.625;27.5;8;27.3329925537;
57;4;33.5250015259;33.0509490967;9;58.8693956137;3;19.625;25.5;8;27.3718836308;
58;4;33.5250015259;33.0614051819;9;60.0250353813;3;19.625;24.5;8;27.4105007648;
59;4;33.5250015259;34.0719451904;9;61.1056344509;3;19.625;23.5;10;27.4488155842;
60;4;33.5250015259;35.0825614929;11;62.0929267406;3;19.625;22.5;10;27.4868011475;
61;4;33.5250015259;36.0932502747;12;63.6518412828;3;19.625;22.5;9;27.5244314671;
62;4;33.5250015259;37.1040077209;11;66.6371365786;3;19.625;22.5;10;27.5616812706;
63;5;34.1032485962;38.6148300171;10;71.6986296177;2;17.625;17.5;10;25.0;
64;5;35.5612487793;41.0157165527;9;73.8096402884;2;15.625;18.5;10;25.0;
65;5;36.9169311523;43.3239173889;8;75.5201473236;2;14.625;19.5;11;25.0;
66;5;37.1890258789;45.5573921204;8;76.7257469893;2;13.625;20.5;11;25.0;
67;5;37.3249969482;47.6586914062;8;77.3634985685;2;12.625;21.5;12;25.0;
68;5;37.3249969482;49.6697769165;8;77.8798674345;2;12.0;22.5;12;25.0;
69;5;37.3249969482;51.680896759;9;78.2969942093;2;12.0;23.5;12;25.0;
70;5;37.3249969482;53.6920509338;9;78.4002643824;2;12.0;24.5;13;25.0;
71;5;37.3249969482;54.7988929749;8;78.4827386141;2;12.0;25.5;13;25.0;
72;4;35.3249969482;48.7144393921;8;75.4513280392;3;12.0;26.5;12;28.0538599491;
73;4;35.3249969482;49.7256622314;10;75.4738043547;3;14.0;25.5;13;28.048473835;
74;4;35.3249969482;50.7369003296;9;75.4962974787;3;16.0;25.5;13;28.0436265469;
75;4;35.3249969482;51.7481498718;8;75.5187973976;3;17.0;25.5;13;28.0392639637;
76;4;35.3249969482;52.2593994141;9;75.5412938595;3;18.0;25.5;18;28.0353374481;
77;3;33.3249969482;29.770647049;10;50.5637768507;4;19.0;25.5;14;53.0318036079;
78;3;31.3249988556;30.7818889618;10;50.5862361193;4;20.625;25.5;15;52.628623724;
79;3;32.3249969482;29.7931175232;10;50.6086617708;4;21.625;25.5;15;52.2657608986;
80;3;30.3249988556;30.8043308258;10;50.6310436726;4;22.625;25.5;16;51.9391853809;
81;3;29.3249988556;31.8155212402;11;50.6533719301;4;23.625;26.5;16;51.6452674866;
82;3;28.3249988556;32.8266868591;10;50.6756366491;4;24.625;27.5;17;51.3807411194;
83;3;27.3249988556;33.8378181458;10;50.6978281736;4;25.625;27.5;17;51.1426665783;
84;3;26.3249988556;34.8489151001;10;50.7199368477;4;26.625;27.5;16;50.9284005165;
85;3;25.3249988556;35.8599700928;11;50.7419531345;4;26.7804679871;27.5;16;52.6955330372;
86;3;24.3249988556;36.8709754944;12;50.7638677359;4;27.1646080017;28.0;17;54.0967824459;
87;3;23.3249988556;37.8819351196;12;50.7856714725;4;27.4665718079;28.3899993896;17;55.1892867088;
88;3;22.3249988556;38.8928375244;12;50.8073554039;5;27.6992263794;28.6872596741;16;56.0312364101;
89;3;21.3249988556;39.903678894;13;50.8289107084;5;27.8756828308;28.9097423553;15;56.3072974682;
90;3;20.7250003815;40.9144554138;15;50.8503289223;5;27.9249992371;29.0;16;56.3632800579;
91;3;21.7250003815;38.925163269;15;50.8716015816;5;27.9249992371;29.0;17;56.41832757;
92;3;20.7250003815;39.935798645;15;50.8927206993;5;27.9249992371;29.0;17;56.472394228;
93;3;20.7250003815;40.9463615417;15;50.9136784077;5;25.9249992371;30.0;16;56.5254387856;
