Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
90;5;17.2999992371;38.425163269;16;34.9136784077;8;40.2000007629;73.331451416;26;79.7313667536;
91;5;18.2999992371;39.425163269;16;34.9344670773;8;40.2000007629;74.3926925659;26;80.2598788738;
92;6;20.2999992371;41.425163269;16;35.9550794363;8;40.2000007629;80.1954650879;26;81.8413398266;
93;6;22.2999992371;43.425163269;16;36.1255084276;8;41.2000007629;84.2809143066;26;82.5635200739;
94;6;23.2999992371;46.425163269;16;36.3165223598;8;42.2000007629;88.3659057617;28;83.3599592447;
95;6;24.2999992371;48.425163269;16;36.5146545172;8;43.2000007629;89.1059341431;28;84.2386693954;
96;6;24.2999992371;50.425163269;17;36.7340574265;8;42.2000007629;92.5038146973;28;85.2067536116;
97;6;24.2999992371;51.425163269;18;36.9814370871;8;42.2000007629;95.349067688;28;86.2695405483;
98;6;24.2999992371;52.425163269;19;37.2592060566;8;42.2000007629;94.9633712769;30;87.4295386076;
99;6;24.2999992371;52.5;20;37.5696389675;8;43.2000007629;94.5279006958;29;88.6853107214;
100;6;24.2999992371;52.5;20;37.9147508144;8;44.2000007629;95.1287689209;30;90.0304094553;
