Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
1;1;6.0;12.0;4;20.0;2;10.0;10.0;3;21.0;
2;1;7.0;11.0;5;20.0;2;11.0;10.0;3;21.0900000334;
3;1;8.0;10.0;5;21.0;2;12.0;10.0;3;21.1871190071;
4;1;8.14999961853;10.5;4;21.8400001526;2;12.2374238968;10.0;3;21.2917383909;
5;1;8.27600002289;10.9200000763;4;22.5301437378;2;13.3875217438;10.0;3;21.4042263031;
6;1;9.27600002289;11.2650718689;4;23.086605072;2;14.4212684631;10.0;3;21.9389723539;
7;1;10.194486618;11.543302536;4;23.5283432007;2;14.5816917419;10.1999998093;3;22.4109756947;
8;2;10.2938766479;11.9641714096;3;25.1098823547;2;14.7232933044;10.3632001877;3;23.7114653587;
9;2;10.6497240067;12.0549411774;3;25.5955879688;2;15.1134395599;10.9097137451;3;24.8527286053;
10;2;10.7590065002;12.2827939987;3;25.9785501957;2;15.4558181763;11.3658018112;3;25.8476524353;
11;2;10.8451738358;12.4589796066;3;26.091766119;2;17.4558181763;11.7372808456;3;26.7164058685;
12;2;13.7658901215;12.5;3;26.1235172749;2;19.4558181763;12.0336990356;2;27.4822225571;
13;2;15.7658901215;12.5;3;26.1558350325;2;20.7043895721;12.2662630081;2;28.168181181;
14;2;16.7873191833;12.5;3;26.1887089014;2;21.8021755219;12.446267128;2;28.6269388199;
15;2;17.7947158813;12.5;3;26.2221269608;2;22.9075622559;12.5;2;29.0031633377;
16;2;18.8022346497;12.5;3;26.2560760975;2;24.0204296112;12.5;2;29.4033532143;
17;2;19.8098735809;12.5;3;26.2905418873;2;25.1404876709;12.5;4;29.8259272575;
18;2;19.9153709412;12.5;6;26.3255085945;2;25.9477787018;12.5;4;30.268661499;
19;3;19.9232387543;12.5;2;36.4314223528;2;26.0805988312;12.5;4;30.7286863327;
20;3;20.625;12.908288002;2;37.4672889709;2;26.2186050415;12.5;4;31.2025241852;
21;3;21.9392967224;12.5;3;38.4921939373;2;26.3607578278;12.5;4;31.6861643791;
22;3;22.947479248;12.5;3;39.4865889549;2;26.5058498383;12.5;6;32.1751794815;
23;3;23.625;12.9410076141;3;40.4327834845;2;24.5058498383;13.5;6;32.6648726463;
24;3;24.625;12.95216465;3;41.316254735;2;24.5;14.5;6;33.1504516602;
25;3;22.9485797882;13.9634361267;3;42.1265138388;2;25.5;12.5;7;33.6272163391;
26;4;22.1223545074;14.9748153687;2;42.8574348688;2;24.5;13.5;6;34.0907382965;
27;4;21.2782039642;15.5;3;43.5070631504;2;25.5;12.5;6;34.5370264053;
28;5;20.7890892029;16.5;2;44.0770186186;2;24.5;13.5;3;34.9626617432;
29;5;20.2923278809;17.5;1;44.5716657639;2;25.5;12.5;3;35.3648881912;
30;5;20.4036254883;18.5;2;44.9972299337;2;24.5;13.5;3;35.7416639328;
31;5;20.499376297;19.5;2;45.3609733582;2;23.5;13.5;3;36.0916633606;
32;5;20.5812187195;20.5;2;45.6705180407;2;22.5;13.5;3;36.4142465591;
33;5;20.6508674622;21.5;2;45.8957372904;2;22.5;14.5;3;36.7093906403;
34;5;20.7015399933;22.5;2;45.9356285334;2;22.5;15.5;4;36.9776067734;
35;5;20.710515976;23.5;3;46.9755871296;2;21.5;14.5;4;37.2198410034;
36;5;21.2749996185;26.1877937317;3;47.1455811262;2;20.5;14.5;4;37.4373731613;
37;5;23.2749996185;24.298789978;3;47.3310097456;2;22.5;16.5;4;37.6317224503;
38;5;22.2749996185;25.4205913544;5;47.533272028;2;24.289516449;18.5;5;37.8045597076;
39;6;22.2749996185;26.5541801453;3;65.0037915707;2;23.289516449;20.5;6;37.9576301575;
40;6;24.2749996185;23.6328353882;3;66.1064842939;3;25.289516449;21.5;7;38.0;
41;6;26.2749996185;24.7730979919;3;67.1171245575;3;24.289516449;22.5;8;38.0;
42;6;28.7733669281;27.7730979919;3;68.0397307873;3;24.5;23.5;8;38.0;
43;6;30.7822628021;30.7730979919;4;68.8827903271;4;24.5;24.5;7;53.0;
44;6;32.7911148071;33.7730979919;4;69.6574780941;4;25.5;26.5;7;53.75;
45;6;34.4249229431;36.7730979919;4;70.3760573864;4;26.5;28.5;7;54.4193744659;
46;6;35.4336738586;38.7730979919;4;71.0506038666;4;27.5;30.5;7;56.0072898865;
47;6;36.4423599243;39.7730979919;4;71.5705387592;4;30.5;30.5;7;56.5362696648;
48;6;37.6971206665;37.7730979919;4;72.0006632805;4;31.5;33.5;7;56.9915223122;
49;7;38.7938995361;38.5;5;73.4534289837;4;32.5;35.5;8;57.3796716928;
50;7;39.8957748413;39.5;6;73.9668083191;4;34.5;34.5;7;57.7081688643;
