Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
179;25;170.5965271;373.303527832;68;292.824603319;1;2.0;5.0;4;3.93197202682;
180;25;172.092269897;380.375915527;69;295.562598705;1;2.0;5.0;4;3.97396659851;
181;25;174.437301636;388.44934082;72;298.052842021;1;2.0;5.0;4;4.0;
182;26;176.785919189;396.523742676;72;300.61691618;1;2.0;5.0;5;4.0;
183;26;180.812454224;400.599182129;73;302.284800887;1;2.0;5.0;4;4.0;
184;26;184.679580688;402.650024414;74;305.493446708;1;2.0;5.0;4;4.0;
185;26;185.669509888;410.034423828;76;320.299735427;1;2.0;5.0;4;4.0;
186;26;194.576019287;428.169006348;78;332.871377349;1;2.0;5.0;4;4.0;
187;27;200.445251465;442.0859375;79;343.512603879;1;2.0;5.0;4;4.0;
188;28;207.02507019;460.791290283;79;357.522075057;0;0;0;0;0;
