Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;9.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;9.0;10.0;6;20.0;1;8.0;10.0;5;20.0;
4;1;9.0;10.0;6;20.0;2;8.0;10.1999998093;4;21.0;
5;1;10.0;10.0;6;20.0;2;8.14999961853;10.0;4;21.0599999428;
6;1;11.0;10.0;5;20.0;2;9.23849964142;10.0;4;21.1229639053;
7;1;11.0;10.0;5;20.3999996185;2;9.75266647339;10.0;4;21.1889609098;
8;2;11.4200000763;10.1999998093;4;21.7264003754;2;9.76751613617;10.0;4;21.6699410677;
9;2;11.5179204941;10.3632001877;4;22.0903717279;2;9.87573719025;10.1999998093;4;22.0818096399;
10;2;11.6271114349;10.4951858521;4;23.2838120461;2;9.96840667725;10.3632001877;4;22.4358423948;
11;2;11.9851436615;11.0209560394;4;24.3146933317;2;10.0480642319;10.4951858521;3;23.611035943;
12;2;13.9851436615;11.4571752548;4;25.1981878281;2;10.3124837875;11.0209560394;4;24.615765214;
13;2;15.9851436615;11.8107032776;4;25.9559320211;2;12.1056518555;11.4571752548;4;25.4640146494;
14;2;16.7867794037;12.0916318893;4;26.6120283604;2;14.1056518555;11.8107032776;4;26.1761806011;
15;2;16.9836082458;12.3113050461;4;27.1901185513;2;16.1056518555;12.0916318893;4;26.7751014233;
16;2;17.1570358276;12.4808797836;4;27.4906733036;2;17.2071437836;12.3113050461;3;27.2831678391;
17;2;19.1339855194;12.5;4;27.7773330212;2;18.2451515198;12.4808797836;3;27.4996597767;
18;2;20.2199840546;12.5;4;28.0890238285;2;19.2852573395;12.5;3;27.687142849;
19;2;21.3134918213;12.5;5;28.4260663986;2;20.2296066284;12.5;4;27.883649826;
20;2;22.414604187;12.5;5;28.788336277;2;20.2738208771;12.5;4;28.0888605118;
21;2;22.6365013123;12.5;5;29.1751885414;2;20.3199939728;12.5;4;28.3023359776;
22;2;22.7525558472;12.5;5;29.585392952;2;20.368024826;12.5;4;28.5235154629;
23;2;22.875617981;12.5;5;30.0170898438;2;20.4177913666;12.5;4;28.7517154217;
24;2;23.0051269531;12.5;6;30.4677705765;2;20.4691352844;12.5;4;28.986133337;
25;3;23.1403312683;12.5;5;30.9342932701;3;20.5218811035;12.5;3;29.22585392;
26;4;23.2802886963;12.5;4;31.4129357338;3;19.625;13.5;3;29.4698610306;
27;4;21.5;13.5;4;31.8994894028;3;19.625;13.8409585953;3;29.7170505524;
28;4;22.5;12.5;4;32.3893885612;3;19.625;13.9151153564;3;29.9662499428;
29;4;23.5;12.5;4;32.877872467;3;20.625;12.5;3;30.2162384987;
30;4;21.8633613586;13.5;4;33.360165596;3;19.625;13.5;3;30.4657707214;
31;4;21.0080490112;14.5;4;33.8316650391;3;19.625;14.5;3;30.7136011124;
32;4;20.1494998932;15.5;4;34.2881155014;3;19.625;15.3568000793;3;30.9585089684;
33;4;19.2864341736;16.5;4;34.7257604599;3;19.625;15.4792547226;3;31.1993217468;
34;4;18.4177284241;17.5;4;35.141462326;3;19.625;15.5996608734;3;31.4349379539;
35;4;17.5424385071;18.5;5;35.5327749252;3;19.625;15.7174692154;3;31.6643476486;
