Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;9.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;2;9.19999980927;10.0;4;21.0;1;8.0;10.0;5;20.0;
4;2;9.19999980927;10.0;4;21.1200000048;1;8.0;10.0;5;20.0;
5;2;10.3360004425;10.0;4;21.2530560493;1;8.0;10.0;5;20.0;
6;2;11.375916481;10.0;4;21.4002518654;1;9.0;10.0;5;20.0;
7;2;11.4200754166;10.0;4;21.9766796827;1;9.5;10.0;5;20.0;
8;2;11.5930042267;10.1999998093;4;22.4989564419;1;9.5;10.0;5;20.3999996185;
9;2;11.7496871948;10.3632001877;4;22.9796661139;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;11.8938999176;10.4951858521;4;24.3497066498;1;9.66343975067;10.3632001877;4;20.9903717041;
11;2;12.3049116135;11.0209560394;4;25.5842888355;1;9.72283363342;10.4951858521;4;22.0419120789;
12;2;14.3049116135;11.4571752548;4;26.7006480694;1;9.95943069458;11.0209560394;5;22.9143505096;
13;2;16.3049125671;11.8107032776;5;27.7219514847;1;11.7228336334;11.4571752548;5;23.6214065552;
14;2;17.6741790771;12.0916318893;5;28.6730384827;1;12.7228336334;11.8107032776;5;24.1832637787;
15;2;18.8277015686;12.3113050461;5;29.5772051811;1;13.7228336334;12.0916318893;5;24.6226100922;
16;2;19.9972076416;12.4808797836;5;30.2332024574;1;14.7228336334;12.3113050461;5;24.9617595673;
17;2;21.1825332642;12.5;5;30.9013147354;1;15.7228336334;12.4808797836;5;25.0;
18;2;22.3829689026;12.5;5;31.6152963638;1;16.7228336334;12.5;5;25.0;
19;2;23.484588623;12.5;6;32.3684282303;1;17.625;12.5;5;25.0;
20;2;23.7105293274;12.5;6;33.151807785;1;17.625;12.5;5;25.0;
21;2;23.9455413818;12.5;6;33.9546136856;1;17.625;12.5;7;25.0;
22;2;24.186384201;12.5;5;34.7645931244;1;17.625;12.5;7;25.0;
23;2;24.4293785095;12.5;5;35.5687475204;1;17.625;12.5;7;25.0;
24;2;24.6706237793;12.5;6;36.3541374207;1;17.625;12.5;8;25.0;
25;4;20.6706237793;14.5;4;37.1087179184;1;17.625;12.5;8;25.0;
26;4;18.6706237793;16.5;4;37.8220767975;1;17.625;12.5;8;25.0;
27;4;18.6706237793;15.5;4;38.485994339;1;17.625;12.5;9;25.0;
28;4;18.6706237793;16.5;4;39.0947532654;1;17.625;12.5;9;25.0;
29;4;18.6706237793;17.5;4;39.6451883316;1;17.625;12.5;9;25.0;
30;4;18.6706237793;18.5;4;40.1365070343;2;15.625;13.5;7;34.4253396988;
31;4;18.5409526825;19.5;4;40.5699396133;2;15.625;14.5;7;34.8565168381;
32;4;18.6709823608;20.5;4;40.9482984543;2;15.625;15.5;7;35.2649202347;
33;4;18.784488678;21.5;5;41.275510788;2;15.625;16.5;7;35.6483230591;
34;4;17.784488678;20.5;5;41.556180954;3;16.0;17.5;6;36.0052204132;
35;4;17.784488678;20.5;5;41.7952213287;3;17.0;18.5;6;36.3348026276;
36;4;18.784488678;21.5;5;41.9975662231;3;17.4004402161;19.5;7;36.6368970871;
37;4;17.784488678;20.5;5;42.0;3;17.4910697937;20.5;8;36.9118890762;
