Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;9.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;9.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
4;1;9.0;10.0;5;20.0;2;8.0;10.1999998093;3;21.0;
5;1;10.0;10.0;5;20.0;2;8.14999961853;10.0;3;21.0599999428;
6;2;11.3000001907;10.0;4;21.0;2;9.23849964142;10.0;3;21.1229639053;
7;2;11.3000001907;10.0;4;21.469999671;2;9.75266647339;10.0;2;21.1889609098;
8;2;11.4409999847;10.1999998093;4;21.8705514669;2;9.76751613617;10.0;2;21.6699410677;
9;2;11.5611658096;10.3632001877;4;22.2129640579;2;9.87573719025;10.1999998093;2;22.0818096399;
10;2;11.6638889313;10.4951858521;4;23.3718163967;2;9.96840667725;10.3632001877;2;22.4358423948;
11;2;12.0115451813;11.0209560394;4;24.3595588207;2;10.0480642319;10.4951858521;2;23.611035943;
12;2;14.0115451813;11.4571752548;4;25.1902494431;2;10.3124837875;11.0209560394;3;24.615765214;
13;2;16.0115451813;11.8107032776;5;25.884378314;2;12.1056518555;11.4571752548;3;25.4640146494;
14;2;17.1229076385;12.0916318893;5;26.4648982286;2;14.1056518555;11.8107032776;3;26.1761806011;
15;2;18.1652603149;12.3113050461;5;26.9543362856;2;16.1056518555;12.0916318893;3;26.7751014233;
16;2;19.2103462219;12.4808797836;5;27.1521308422;2;17.2071437836;12.3113050461;3;27.2831678391;
17;2;20.2582130432;12.5;5;27.3210272789;2;18.2451515198;12.4808797836;3;27.4996597767;
18;2;21.3088817596;12.5;5;27.4992582798;2;19.2852573395;12.5;3;27.687142849;
19;2;22.2497768402;12.5;5;27.6867210865;2;20.2296066284;12.5;4;27.883649826;
20;2;22.306016922;12.5;5;27.8832085133;2;20.2738208771;12.5;4;28.0888605118;
21;2;22.3649635315;12.5;7;28.0884003639;2;19.625;13.4266586304;4;28.3023359776;
22;2;22.4265193939;12.5;7;28.3018581867;2;19.625;13.4907007217;4;28.5235154629;
23;2;22.4905567169;12.5;7;28.5230212212;3;19.625;13.5570545197;3;28.7517154217;
24;2;22.5569057465;12.5;7;28.7512066364;3;20.4691352844;12.5;3;28.986133337;
25;3;22.6253623962;12.5;6;28.9856116772;3;20.5218811035;12.5;3;29.22585392;
26;3;22.6956825256;12.5;7;29.2253217697;3;19.625;13.5;5;29.4698610306;
27;3;21.5;13.5;7;29.4693202972;4;19.625;13.8409585953;4;29.7170505524;
28;3;21.5;14.2877283096;7;29.716504097;4;19.625;13.9151153564;4;29.9662499428;
29;3;19.5;15.3866014481;7;29.9657006264;4;20.625;12.5;4;30.2162384987;
30;3;18.5;16.4862804413;7;30.2156887054;4;18.7986526489;13.5;4;30.4657707214;
31;3;17.5;17.5862751007;7;30.4652233124;4;17.8547973633;14.5;4;30.7136011124;
32;3;16.5;18.686088562;8;30.7130589485;4;17.625;13.5;4;31.9585089684;
33;3;15.5;19.7852230072;8;31.9579744339;4;17.625;14.0;4;32.2893217802;
34;3;15.5;21.2831897736;9;32.2887972593;4;18.0198478699;15.0450000763;4;32.6220569611;
35;3;16.0;22.4155197144;9;32.6215453148;4;17.7149620056;15.5;4;32.9560860395;
