Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
87;5;22.5;52.6872596741;17;49.5835043192;5;24.2999992371;44.5;18;83.0;
88;5;23.5;52.5139465332;18;49.7078164816;5;24.2999992371;46.5;18;83.0;
89;5;22.5;54.5250778198;19;49.8290323019;5;24.2999992371;48.5;19;84.0;
90;5;22.5;56.5361747742;19;49.9470329285;5;25.2999992371;51.5;18;84.1499999762;
91;5;21.5;56.5472259521;21;50.0617206097;5;26.2999992371;55.5;18;84.320775032;
92;5;21.5;55.8151664734;19;50.1730197668;5;27.2999992371;56.5;19;84.5146545172;
93;5;22.5;56.8509216309;19;50.2808749676;5;26.2999992371;60.5;18;84.7340574265;
94;5;21.5;56.778175354;20;50.3852505684;5;26.2999992371;61.5;18;84.9814370871;
95;5;21.5;56.8220977783;20;50.4861291647;5;28.2999992371;57.5;18;85.2592060566;
96;6;22.5;57.86460495;20;50.5835113525;5;26.2999992371;60.5;18;85.5696389675;
97;6;21.5;56.9056968689;19;50.6774129868;5;24.2999992371;63.8126754761;19;85.9147508144;
98;6;21.5;56.9453811646;18;50.7678642273;5;27.2999992371;59.1232757568;18;86.296153307;
99;6;22.5;57.9836769104;19;50.8549087048;5;26.2999992371;61.4665374756;18;86.7148916721;
100;6;23.5;56.0205917358;19;50.9344670773;5;26.2999992371;63.8434028625;19;87.1712703705;
101;6;22.5;57.0544891357;19;50.9550794363;5;28.2999992371;60.2541427612;20;87.6646785736;
102;6;22.5;58.0647964478;15;50.9755084515;5;26.2999992371;62.6982116699;20;88.1934347153;
103;6;23.5;55.0872573853;13;51.9957473278;5;26.2999992371;65.1740875244;19;88.7546668053;
104;6;21.5;58.0872573853;13;52.1499999762;5;28.2999992371;61.6791992188;18;89.3442516327;
105;6;21.5;61.0872573853;14;52.320775032;5;26.2999992371;64.2098236084;18;89.9568367004;
106;6;21.5;61.0872573853;14;52.5146545172;5;26.2999992371;66.7611541748;19;90.5859546661;
107;6;21.5;62.0872573853;13;52.7340574265;5;28.2999992371;63.3273582458;18;91.224240303;
108;6;20.0;64.0872573853;13;52.9814370871;5;26.2999992371;66.9018173218;18;91.8637371063;
109;6;21.0;60.0872573853;15;53.2592060566;5;26.2999992371;70.4773635864;19;92.4962768555;
110;7;20.0;61.0872573853;14;53.5696389675;5;28.2999992371;68.0466461182;19;93.1138887405;
111;7;20.0;62.0872573853;15;53.9147508144;5;27.2999992371;69.0466461182;20;93.7092037201;
112;7;21.0;60.0872573853;15;54.296153307;5;26.2999992371;73.0466461182;20;94.2758054733;
113;7;22.0;59.9872589111;16;54.7148916721;5;28.2999992371;71.0466461182;21;94.8084964752;
114;7;23.0;58.9872589111;16;55.1712703705;5;28.2999992371;73.0466461182;22;95.3034496307;
115;7;24.0;57.9872589111;18;55.6646785736;5;29.2999992371;75.0466461182;23;95.7582530975;
116;8;25.0;56.9872589111;16;57.1934347153;5;31.2999992371;74.0466461182;23;96.1718435287;
117;8;24.0;58.9872589111;16;57.7946667671;5;33.2999992371;74.0466461182;23;96.5443639755;
118;8;25.0;60.9872589111;18;58.4254355431;5;35.2999992371;74.0466461182;24;96.8769645691;
119;9;24.9032745361;62.9872589111;17;59.0803902149;5;36.5999984741;74.0466461182;28;97.1715774536;
120;9;24.0870513916;64.9872589111;17;59.753062129;6;37.5999984741;75.0466461182;27;97.4306936264;
121;9;24.2757873535;66.9872589111;17;60.4360817671;6;38.5999984741;76.0466461182;28;97.6571550369;
122;9;23.2757873535;66.8961410522;19;61.1214849949;6;38.8999977112;77.0466461182;28;97.853978157;
123;10;24.0;67.9872589111;18;62.8010928631;6;38.8999977112;78.0466461182;31;98.0;
124;10;26.0;69.9872589111;18;63.5269200802;6;39.8999977112;76.0466461182;31;98.0;
