Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;9.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;9.0;10.0;4;20.0;1;7.0;11.0;5;20.0;
3;1;9.0;10.0;4;20.0;1;8.0;10.0;6;20.0;
4;1;9.0;10.0;4;20.0;1;8.0;10.0;6;20.0;
5;1;10.0;10.0;4;20.0;1;8.0;10.0;6;20.0;
6;1;11.0;10.0;3;20.0;1;9.0;10.0;6;20.0;
7;1;11.0;10.0;3;20.3999996185;1;9.5;10.0;6;20.0;
8;1;11.1199998856;10.1999998093;3;20.7264003754;1;9.5;10.0;6;20.3999996185;
9;2;11.5179204941;10.3632001877;2;21.9903717041;1;9.59000015259;10.1999998093;6;20.7264003754;
10;2;11.597111702;10.4951858521;2;23.1719120741;1;9.66343975067;10.3632001877;6;20.9903717041;
11;2;11.9515733719;11.0209560394;2;24.1897815466;1;9.72283363342;10.4951858521;6;22.0419120789;
12;2;13.9515733719;11.4571752548;2;25.0591306686;2;9.95943069458;11.2209558487;5;23.9143505096;
13;2;15.9515733719;11.8107032776;3;25.8015987873;2;10.3807296753;11.4571752548;5;24.7514065504;
14;2;17.0980739594;12.0916318893;2;26.441321969;2;10.5690660477;11.8107032776;5;25.4586948156;
15;2;18.1581878662;12.3113050461;2;27.0020139217;2;12.5690670013;12.0916318893;5;26.0603342056;
16;2;19.2246494293;12.4808797836;2;27.2842636108;2;14.5690670013;12.3113050461;5;26.5800945759;
17;2;20.2978534698;12.5;2;27.5518820286;2;14.9805212021;12.4808797836;5;26.8187118769;
18;2;21.3781375885;12.5;2;27.8440244198;2;16.7240257263;12.5;5;27.0402543545;
19;2;22.3532066345;12.5;2;28.1613030434;2;17.7738742828;12.5;6;27.2842636108;
20;2;22.4483909607;12.5;2;28.5039470196;2;18.8287754059;12.5;6;27.5518820286;
21;2;22.5511837006;12.5;4;28.871723175;2;19.8889884949;12.5;6;27.8440244198;
22;2;22.6615161896;12.5;4;29.263862133;2;19.625;13.3532075882;6;28.1613030434;
23;2;22.7791595459;12.5;4;29.6789975166;2;20.3362922668;12.5;6;28.5039470196;
24;2;22.9036998749;12.5;4;30.1151270866;2;19.625;13.5;6;28.871723175;
25;2;23.034538269;12.5;4;30.5695996284;2;19.625;13.6615171432;7;29.263862133;
26;2;23.170879364;12.5;6;31.0391392708;2;19.625;13.7791585922;6;29.6789975166;
27;2;23.3117408752;12.5;6;31.5199065208;2;19.625;13.9036989212;6;30.1151270866;
28;2;23.4559726715;12.5;6;32.007601738;2;20.625;12.5;6;30.5695996284;
29;2;23.6022796631;12.5;6;32.4976010323;2;20.8781604767;12.5;6;31.0391392708;
30;2;21.6022796631;13.5;7;32.9851250648;2;19.625;13.5;6;31.5199065208;
31;2;21.5;14.5;7;33.465420723;2;20.625;12.5;6;32.007601738;
32;2;21.5;15.5;7;33.9339466095;2;19.2017097473;13.5;6;32.4976010323;
33;2;20.5;14.5;8;34.3865451813;2;18.625;13.5;6;32.9851250648;
34;2;20.5;14.5;9;34.8195896149;2;17.625;13.5;6;33.465420723;
35;2;20.4458770752;15.5;9;35.2300891876;2;17.625;13.5;6;33.9339466095;
36;2;19.569026947;16.5;9;35.6157541275;2;16.625;13.5;6;34.3865451813;
37;2;18.6847267151;17.5;11;35.9750175476;2;16.625;14.5;6;34.8195896149;
38;2;17.7925052643;18.5;11;36.307009697;2;16.2094078064;15.5;6;35.2300891876;
39;2;17.3921031952;19.5;12;36.6115064621;2;16.3017692566;16.5;6;35.6157541275;
40;2;16.3921031952;18.5;12;36.8888463974;2;15.3017702103;15.5;7;35.9750175476;
41;2;16.3921031952;18.5;12;37.1398382187;2;16.0;15.5;8;36.307009697;
42;2;17.3921031952;19.5;13;37.3656587601;2;17.0;15.5;8;36.6115064621;
43;2;17.7096977234;20.5;13;37.5677556992;2;18.0;16.5;8;36.8888463974;
44;2;16.7096977234;19.5;14;37.747756958;2;17.0;15.5;8;37.1398382187;
45;2;18.7096977234;19.5;14;37.9073896408;2;15.0;17.5;8;37.3656587601;
46;2;20.7096977234;20.5;15;38.0;2;14.0;19.5;8;37.5677556992;
47;2;19.7096977234;21.5;15;38.0;3;16.0;19.0;7;38.747756958;
48;2;19.7096977234;22.5;16;38.0;3;16.0;21.0;8;39.0773895979;
49;2;20.0;23.5;16;38.0;3;16.0;23.0849990845;8;39.3669109344;
50;2;21.0;24.5;16;38.0;3;17.0;26.0849990845;8;39.5942704678;
51;2;21.5;25.5;17;38.0;3;18.0;28.0849990845;8;39.8558222055;
52;2;21.5;26.5;15;38.0;3;18.9249992371;30.0849990845;8;40.1554293633;
53;2;21.5;27.5;16;38.0;3;18.9249992371;32.0849990845;10;40.4969480038;
54;2;22.5;25.5;14;38.0;4;18.9249992371;34.0849990845;9;40.8840510845;
55;2;21.5;26.5;11;38.0;4;18.9249992371;35.942024231;9;41.3200027943;
56;3;21.5;27.5;9;38.0;4;19.672000885;35.5;8;41.8073790073;
57;3;22.5;25.5;9;38.0;4;19.78166008;36.5;8;42.3477458954;
58;3;21.5;26.5;10;38.0;4;18.9249992371;38.5;10;42.9413113594;
59;3;21.5;27.5;10;38.0;5;19.9249992371;37.5;9;43.586581707;
60;3;22.5;25.5;10;38.0;5;20.9249992371;37.2932891846;9;44.2800674438;
