Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;9.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;9.0;10.0;5;20.0;1;8.0;10.0;4;20.0;
4;1;9.0;10.0;5;20.0;1;8.0;10.0;4;20.0;
5;1;10.0;10.0;5;20.0;1;8.0;10.0;4;20.0;
6;1;11.0;10.0;5;20.0;1;9.0;10.0;4;20.0;
7;2;11.3000001907;10.0;4;21.3999996185;1;9.5;10.0;4;20.0;
8;2;11.4200000763;10.1999998093;4;21.7264003754;1;9.5;10.0;4;20.3999996185;
9;2;11.5179204941;10.3632001877;4;21.9903717041;1;9.59000015259;10.1999998093;4;20.7264003754;
10;2;11.597111702;10.4951858521;4;23.0819120407;1;9.66343975067;10.3632001877;4;20.9903717041;
11;2;11.9245738983;11.0209560394;4;23.99553442;1;9.72283363342;10.4951858521;4;22.0419120789;
12;2;13.9245738983;11.4571752548;4;24.7449600697;1;9.95943069458;11.0209560394;5;22.9143505096;
13;2;15.9245738983;11.8107032776;5;25.3503712416;1;11.7228336334;11.4571752548;5;23.6214065552;
14;2;16.9627056122;12.0916318893;5;25.8344515562;1;12.7228336334;11.8107032776;5;24.1832637787;
15;2;17.9761257172;12.3113050461;5;26.2195074558;1;13.7228336334;12.0916318893;5;24.6226100922;
16;2;18.9898986816;12.4808797836;5;26.3048160076;1;14.7228336334;12.3113050461;5;24.9617595673;
17;2;20.0040187836;12.5;5;26.3530313969;1;15.7228336334;12.4808797836;5;25.0;
18;2;21.0184822083;12.5;5;26.4023760557;1;16.7228336334;12.5;5;25.0;
19;2;21.9207134247;12.5;6;26.4528282881;2;18.625;12.6999998093;5;26.0;
20;2;21.9358482361;12.5;6;26.5043625832;2;19.625;12.5;6;26.1699999571;
21;2;21.9513092041;12.5;6;26.5569496155;2;19.888250351;12.5;7;26.3669109344;
22;3;21.9670848846;12.5;5;26.6105561256;2;19.625;12.9100732803;7;26.5942704678;
23;3;21.5;12.5;5;26.6651450396;2;19.625;12.9782810211;7;26.8558222055;
24;3;21.9995441437;12.5;5;26.72067523;2;20.0425605774;12.5;7;27.1554293633;
25;3;21.5;12.9301691055;6;26.7771017551;2;19.625;13.1466283798;7;27.4969480038;
26;3;19.5;13.944275856;6;26.8343759775;2;20.1868133545;12.5;7;27.8840510845;
27;3;19.0503120422;14.5;6;26.8924454451;2;19.625;13.3652153015;7;28.3200027943;
28;3;18.0677337646;15.5;6;26.9512542486;2;20.3720016479;12.5;7;28.8073790073;
29;3;17.0853767395;16.5;6;27.0107431412;2;20.4816608429;12.5;7;29.3477458954;
30;3;16.1032218933;17.5;6;27.0708494186;2;18.6032428741;13.5;7;29.9413113594;
31;3;15.121254921;18.5;6;28.1315076351;2;17.7367954254;14.5;7;30.586581707;
32;3;15.0;20.7526035309;6;28.2326498032;2;16.881980896;15.5;7;31.2800674438;
33;3;16.0;21.7930603027;6;28.3353891373;2;16.625;14.5;7;32.0160870552;
34;3;16.0;22.8341560364;6;28.4396545887;2;15.625;14.5;8;32.7867279053;
35;3;17.0;20.8758621216;6;28.5453704596;2;15.625;13.5;8;33.5820074081;
36;3;16.0;21.9181480408;7;28.6524561644;2;16.625;14.5;8;34.3902606964;
