Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;9.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;9.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
4;1;9.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
5;1;10.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
6;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
7;1;11.0;10.0;5;20.3999996185;1;9.5;10.0;5;20.0;
8;1;11.1199998856;10.1999998093;5;20.7264003754;1;9.5;10.0;5;20.3999996185;
9;2;11.5179204941;10.3632001877;4;21.9903717041;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;11.597111702;10.4951858521;4;23.0619120598;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;11.9185733795;11.0209560394;4;23.9545464516;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;13.9185733795;11.4571752548;4;24.6819883585;1;9.95943069458;11.0209560394;6;22.9143505096;
13;2;15.6125736237;12.1819067001;4;25.2644146681;1;11.7228336334;11.4571752548;6;23.6214065552;
14;2;16.6125736237;12.4700345993;4;25.7245066166;1;12.7228336334;11.8107032776;6;24.1832637787;
15;2;17.6125736237;12.6969690323;4;26.0845712423;1;13.7228336334;12.0916318893;6;24.6226100922;
16;2;18.6125736237;12.8738641739;4;26.1438889503;1;14.7228336334;12.3113050461;5;24.9617595673;
17;2;19.6125736237;12.9003610611;4;26.1651208401;2;16.7228336334;12.6808795929;4;26.0;
18;2;20.6125736237;12.9077920914;4;26.1864993572;2;18.7228336334;12.5;4;26.1699999571;
19;2;21.5;13.0339250565;5;26.2080165148;2;19.625;12.5;4;26.3669109344;
20;2;21.5;13.0436077118;5;26.2296639681;2;19.625;12.5;4;26.5942704678;
21;2;21.5;13.0533485413;5;26.2514331341;2;19.625;12.5;6;26.8558222055;
22;2;21.5;13.0631446838;5;26.2733153105;2;19.625;12.5;6;27.1554293633;
23;2;21.5;13.0729923248;5;26.2953014374;2;19.625;12.5;7;27.4969480038;
24;2;21.5;13.0828857422;5;26.3173824549;2;19.625;12.5;7;27.8840510845;
25;2;19.5;14.0928220749;7;26.3395489454;2;19.625;13.3652153015;7;28.3200027943;
26;3;20.5;13.1027965546;6;26.3617914915;2;20.3720016479;12.5;7;28.8073790073;
27;3;18.5;13.5;6;26.3841004372;3;20.4816608429;12.5;6;29.3477458954;
28;3;17.5;15.3304605484;6;26.4064661264;3;20.6032428741;12.5;6;29.9413113594;
29;3;16.5;16.3438796997;7;26.428878665;3;19.625;13.5;6;30.586581707;
30;3;15.5;17.3573265076;7;26.4513280392;3;18.625;13.5;6;31.2800674438;
31;3;14.5;18.3707962036;7;26.4738043547;4;18.625;13.5;4;34.6963458061;
32;3;14.4421415329;18.5;7;26.4962974787;4;18.625;13.5;4;35.6095695496;
33;3;14.4488887787;19.5;7;26.5187973976;4;19.3770141602;14.5;4;36.550992012;
34;3;14.4556388855;20.5;7;26.5412938595;4;19.2239723206;15.5;4;37.5086152554;
35;3;14.4623880386;21.5;7;27.5637768507;4;18.8144378662;16.5;4;38.469319582;
36;3;16.0;20.4382667542;7;27.7162361145;4;17.848690033;15.5;4;39.4196295738;
