Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
82;9;32.6800613403;45.100944519;10;52.3225841522;5;27.3368415833;35.0;22;55.0633926392;
83;9;33.715045929;47.1757888794;11;53.2600013018;5;26.3603553772;35.0;23;55.2881851196;
84;9;35.7494544983;50.0630455017;12;54.1728993654;5;26.6749992371;37.0;23;55.4801969528;
85;9;35.4996871948;52.4788131714;12;55.0585083961;5;28.2330436707;37.0;23;55.5922970772;
86;9;37.1746902466;52.6441268921;13;55.9149804115;5;28.258266449;38.0;23;55.7065577507;
87;9;33.1448287964;55.8137054443;13;56.7413039207;5;27.6749992371;40.0;24;55.8227622509;
88;9;32.2217063904;58.484085083;14;58.5371785164;5;27.6749992371;41.4113807678;23;55.9406757355;
89;10;32.2910957336;55.469543457;13;59.3328751326;5;28.3366508484;41.0;22;56.0600473881;
90;10;32.3532714844;55.0;13;60.0996794701;5;26.3635101318;43.0;23;56.1806118488;
91;10;31.4086265564;59.9778137207;14;60.8385646343;5;25.3906364441;45.0;24;56.3020918369;
92;10;30.457616806;61.5964851379;15;61.5271081924;5;24.4179706573;47.0;25;56.424200058;
93;11;29.5007476807;64.6290206909;14;62.1743309498;5;23.4454441071;49.0;24;56.5466425419;
94;11;29.1385421753;64.0;14;62.7026872635;5;22.4729938507;51.0;26;56.6691207886;
95;12;29.1499996185;68.8320922852;13;74.6771613359;5;22.2005519867;53.0;26;56.7913348675;
96;12;30.1499996185;72.5633926392;13;75.780031085;5;21.375;56.0;26;56.9129860401;
97;12;31.1499996185;75.6139373779;13;76.8357329369;5;22.2554225922;57.0;27;57.0337805748;
98;11;32.1500015259;75.6650543213;12;77.8387550116;6;21.375;59.0;25;57.1534314156;
99;11;31.1499996185;78.7167205811;16;78.7855488062;6;22.3095226288;59.0;26;57.2716617584;
100;11;31.1499996185;81.7688980103;16;79.6683901548;6;22.3361244202;60.0;26;57.3882069588;
