Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;12.0;4;20.0;2;13.3999996185;10.0;3;21.0;
2;1;7.0;11.0;4;20.0;2;13.3999996185;10.0;3;21.0599999428;
3;1;8.0;10.0;3;20.0;2;13.4239997864;10.0;3;21.1229639053;
4;1;9.0;10.0;3;20.0;2;14.6737785339;10.0;3;21.1889609098;
5;1;9.0;10.0;3;20.0;2;15.7133769989;10.0;1;21.2580518723;
6;1;10.0;10.0;3;20.0;2;16.7548313141;10.0;1;21.7428686619;
7;2;11.0;10.1999998093;2;21.0;2;17.805721283;10.1999998093;1;22.1586660147;
8;2;11.3000001907;10.0;2;21.5299996138;2;18.2952003479;10.3632001877;1;23.3744058609;
9;2;11.4589996338;10.1999998093;2;22.0018314123;2;19.0246429443;10.9097137451;1;24.4179002047;
10;2;11.6005496979;10.3632001877;2;22.4280958176;2;21.0246429443;11.3658018112;1;25.3010519743;
11;2;11.7284288406;10.4951858521;2;23.7177560329;2;23.0246429443;11.7372808456;1;26.0431767702;
12;2;12.1153268814;11.0209560394;2;24.8637619019;2;24.2771224976;12.0336990356;1;26.6668455601;
13;2;14.1153268814;11.4571752548;2;25.8837099075;2;25.3722476959;12.2662630081;1;27.194732666;
14;2;16.1153259277;11.8107032776;2;26.8016016483;2;26.4729747772;12.446267128;1;27.4794170856;
15;2;17.3980751038;12.0916318893;2;27.6436917782;2;27.5793056488;12.5;2;27.6658837795;
16;2;18.5188980103;12.3113050461;2;28.4353666306;3;28.6911849976;12.5;1;27.86140275;
17;2;19.6546554565;12.4808797836;2;28.9781968594;3;29.8084983826;12.5;2;28.0656666756;
18;2;20.8060321808;12.5;3;29.5360116959;3;30.8393993378;12.5;2;28.2782502174;
19;2;21.9733772278;12.5;4;30.1467399597;3;30.9669494629;12.5;2;28.4986059666;
20;3;23.0440216064;12.5;3;30.8082637787;3;31.0991630554;12.5;3;28.7260642052;
21;3;23.2424793243;12.5;4;31.5163917542;3;31.2356376648;12.5;3;28.9598350525;
22;3;23.4549179077;12.5;4;32.264708519;3;31.3759002686;12.5;3;29.1990156174;
23;3;23.6794128418;12.5;4;33.0445957184;3;31.5194091797;12.5;3;29.4425997734;
24;3;23.9133796692;12.5;4;33.8454675674;3;31.6655597687;12.5;3;29.6894927025;
25;3;24.1536407471;12.5;4;34.6552286148;3;31.8136959076;12.5;3;29.9385285378;
26;3;22.1536407471;13.5;4;35.4609355927;3;31.9631175995;12.5;3;30.1884908676;
27;3;21.1536407471;13.5;4;36.2495918274;3;32.1130943298;12.5;3;30.4381356239;
28;3;21.1536407471;14.5;5;37.0089855194;3;32.2628822327;12.5;3;30.6862158775;
29;3;20.1536407471;13.5;6;37.7284460068;3;32.4117279053;12.5;4;30.9315071106;
30;4;19.1536407471;13.5;5;38.399433136;3;32.5589065552;12.5;4;31.1728301048;
31;4;18.5;13.5;5;39.0158834457;3;32.7036972046;14.5;4;31.4090747833;
32;4;19.5;14.5;5;39.5742921829;3;32.8454437256;16.5;4;31.6392197609;
33;4;18.5;13.5;6;40.0735645294;4;32.9835319519;18.5;3;31.8623495102;
34;4;18.5;14.5;7;40.5146827698;4;33.1174087524;20.5;5;32.0776662827;
35;4;17.5;13.5;7;40.9002714157;4;33.2466011047;22.5;5;32.2844991684;
36;5;16.5;13.5;5;69.9841346741;4;33.3707008362;22.5;5;32.4823098183;
37;5;17.5;14.5;6;72.2833080292;4;33.4893875122;22.5;6;32.6706910133;
38;5;19.0;15.5;6;74.0619621277;4;33.6024131775;22.5;6;32.8493652344;
39;5;21.0;16.5;6;75.384262085;4;33.7096176147;22.5;6;33.0181760788;
40;5;20.0;18.5;6;76.1932144165;4;33.8109054565;22.5;7;34.1770820618;
41;5;22.0;18.5;6;76.725528717;4;34.90625;23.5;7;34.3561432362;
42;5;24.0;19.5;6;76.75;4;35.9956855774;24.5;8;34.5261023045;
43;5;25.5900001526;20.5;6;76.75;4;36.7156600952;25.5;9;34.687179327;
44;5;27.5900001526;20.5;6;76.75;4;36.8123092651;26.5;9;34.8396608829;
45;5;29.5900001526;21.0249996185;6;76.75;4;36.9037971497;27.5;8;34.9838818312;
46;5;31.5900001526;22.0249996185;7;76.75;4;36.9903297424;27.5;9;35.120216012;
47;5;33.5900001526;23.0249996185;7;76.75;5;37.0721321106;27.5;8;35.2221269608;
48;5;35.5900001526;24.0249996185;8;76.75;5;37.1332778931;27.5;8;35.2560760975;
49;5;37.0149993896;24.0249996185;8;76.75;5;37.1536483765;27.5;10;36.4831029177;
50;5;37.7649993896;24.0249996185;8;76.75;5;37.8898582458;28.0;10;37.4783540964;
51;5;37.7649993896;24.0249996185;8;76.75;5;38.4870147705;28.3899993896;10;38.2766752243;
52;6;38.7649993896;25.0249996185;7;77.75;5;38.966003418;28.6872596741;11;38.914429307;
53;6;39.7649993896;26.0249996185;7;77.7999999523;5;39.3486595154;28.9097423553;11;39.2772169113;
54;6;40.048500061;27.0249996185;7;77.8519749641;5;39.5663299561;29.0;12;40.4495338202;
55;6;38.0625343323;29.0249996185;7;77.9059499502;5;40.669719696;30.0;12;40.6486102343;
56;6;37.0771064758;31.0249996185;6;77.9619446993;5;39.7018585205;32.0;13;40.7443484068;
57;6;36.0922241211;32.0250015259;7;78.019973278;6;38.7345924377;34.0;12;40.8422150612;
58;6;32.7649993896;34.6091880798;7;78.0800433159;7;39.7678909302;33.0;6;60.9421640635;
59;6;30.7649993896;36.6368179321;8;78.1421557665;7;38.8017272949;36.0;7;62.8441418409;
60;6;29.0149993896;38.6653900146;8;78.2063041925;7;38.8360748291;38.6059188843;8;64.5176911354;
61;6;28.4249992371;40.6949005127;9;78.2724741697;7;36.7999992371;43.0;8;65.9393440485;
62;7;28.4249992371;42.7253379822;9;82.2381929159;7;36.7999992371;47.0;9;67.1121015549;
63;7;29.0765628815;44.5605163574;9;85.2313839197;7;36.7999992371;51.0;10;68.0582984686;
64;7;29.5282783508;46.4653739929;10;87.4409046173;8;36.7999992371;55.0;9;68.810875535;
65;7;29.8248329163;48.4250564575;11;89.0230264664;8;36.7999992371;59.0;9;69.4058299065;
66;7;31.0;47.4283370972;11;89.6925799847;8;36.7999992371;63.0;10;69.8089334965;
67;7;30.0;49.4931564331;11;90.1267280579;8;36.7999992371;67.0;11;69.9244248867;
68;7;30.0;51.5610961914;12;91.4611258507;8;36.7999992371;71.0;12;70.0411673784;
69;7;32.0;51.6321182251;12;91.6820557117;9;36.7999992371;75.0;12;70.1590437889;
70;7;33.0;51.7061462402;13;91.912252903;9;36.7999992371;79.0;13;70.2779324055;
71;7;32.0;54.7830734253;14;92.1514846087;10;36.7999992371;83.0;15;70.3977066278;
72;7;33.0;54.8627624512;15;92.3994371891;10;36.7999992371;87.0;14;70.5182360411;
73;8;33.0;54.9450378418;13;92.6557155848;10;37.7999992371;88.0;13;70.6393865347;
74;8;32.0;57.0296974182;10;92.9198428392;10;36.7999992371;92.0;13;70.7610213757;
75;8;32.0;59.1165008545;9;93.1912631989;10;36.7999992371;96.0;14;71.8830013275;
76;8;32.0;61.2051773071;9;93.4693449736;10;38.7999992371;97.0354232788;14;72.06518507;
77;8;32.0;63.2954368591;9;93.7533872128;10;38.7999992371;101.4920578;14;72.2503948212;
78;8;32.0;65.3869476318;7;94.0426276922;10;38.7999992371;104.589202881;13;72.4385567904;
79;8;32.0;67.4793701172;7;94.3362511396;10;38.7999992371;107.674713135;16;72.6295895576;
80;8;33.0;66.5723419189;8;95.6334009171;10;38.7999992371;110.76007843;17;72.8234030008;
81;8;34.0;66.6654891968;8;95.9731895924;10;39.7999992371;110.776382446;17;73.0198978186;
82;8;34.0;69.7584381104;7;96.3158957958;10;38.7999992371;112.913925171;19;73.218965292;
83;8;35.0;69.8508148193;9;96.6606113911;10;39.7999992371;111.014221191;21;73.4204856157;
84;8;35.0;69.9422607422;9;97.0064314604;10;39.7999992371;111.097984314;17;73.6243276596;
85;8;34.0;74.0323944092;10;97.3524683714;10;38.7999992371;113.337036133;18;73.830348134;
86;7;35.0;71.3424072266;10;97.6978604794;11;39.7999992371;112.481246948;19;74.0383917093;
87;7;35.0;70.4846191406;9;98.041782856;12;39.7999992371;111.626876831;18;74.2482893467;
88;6;34.0;64.9441680908;10;95.5999643803;13;38.7999992371;112.425735474;17;77.4962201118;
89;6;34.0;63.0501022339;10;95.8212913275;14;40.7999992371;112.682449341;17;78.3799598217;
90;6;33.0;64.1538848877;11;96.0374211073;14;41.7999992371;112.945495605;18;79.3116476536;
91;6;32.0;64.2553253174;12;96.248000145;14;40.7999992371;117.214035034;18;80.2902753353;
92;6;35.0;60.3542556763;11;96.4527482986;14;41.7999992371;118.487167358;17;81.3140923977;
93;5;31.0;55.6720657349;12;95.0409002304;15;41.7999992371;118.995742798;25;84.9374845028;
94;5;30.0;56.7388153076;12;95.178838253;15;42.7999992371;123.494125366;26;86.2190029621;
95;5;31.0;55.8022651672;12;95.3095765114;15;45.7999992371;125.007888794;26;88.5450311899;
