Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;12.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;7.0;11.0;4;20.0;1;13.0;10.0;5;20.0;
3;1;8.0;10.0;4;20.0;1;13.0;10.0;6;20.0;
4;1;9.0;10.0;4;20.0;1;14.0;10.0;5;20.0;
5;1;9.0;10.0;4;20.0;1;15.0;10.0;5;20.0;
6;1;10.0;10.0;4;20.0;1;16.0;10.0;5;20.3999996185;
7;1;11.0;10.0;4;20.0;1;17.0;10.1999998093;5;20.7264003754;
8;1;11.0;10.0;2;20.3999996185;1;17.4358406067;10.3632001877;5;21.8194274902;
9;1;11.1199998856;10.1999998093;2;20.7264003754;1;18.0916557312;10.9097137451;5;22.7316036224;
10;2;11.2179203033;10.5631999969;1;21.9903717041;1;19.0916557312;11.3658018112;5;23.4745616913;
11;2;11.597111702;10.4951858521;1;23.0819120407;1;20.0916557312;11.7372808456;5;24.0673980713;
12;2;11.9245738983;11.0209560394;1;23.99553442;1;21.0916557312;12.0336990356;5;24.5325260162;
13;2;13.9245738983;11.4571752548;2;24.7449600697;1;21.7195167542;12.2662630081;5;24.892534256;
14;2;15.9245738983;11.8107032776;2;25.3503712416;1;21.9355201721;12.446267128;5;25.0;
15;2;16.9627056122;12.0916318893;2;25.8344515562;1;22.0;12.5;5;25.0;
16;2;17.9761257172;12.3113050461;2;26.2195074558;1;23.9355201721;12.5;5;25.0;
17;2;18.9898986816;12.4808797836;2;26.3048160076;1;24.9355201721;12.5;5;25.0;
18;2;20.0040187836;12.5;2;26.3530313969;1;25.9355201721;12.5;6;25.0;
19;2;21.0184822083;12.5;2;26.4023760557;1;26.9355201721;12.5;6;25.0;
20;2;21.9207134247;12.5;3;26.4528282881;1;27.0;12.5;6;25.0;
21;2;21.9358482361;12.5;3;26.5043625832;1;27.0;12.5;6;25.0;
22;2;21.9513092041;12.5;3;26.5569496155;1;27.0;12.5;6;25.0;
23;2;21.9670848846;12.5;3;26.6105561256;1;27.0;12.5;6;25.0;
24;2;21.9831676483;12.5;3;26.6651450396;1;27.0;12.5;6;25.0;
25;3;21.5;12.99954319;3;26.72067523;1;27.0;12.5;6;25.0;
26;4;21.5;12.5;2;26.7771017551;1;27.0;12.5;6;25.0;
27;4;21.5;12.5;2;26.8343759775;1;27.0;12.5;7;25.0;
28;4;21.5;13.4171876907;2;26.8924454451;1;27.0;12.5;7;25.0;
29;4;22.0677337646;12.5;2;26.9512542486;1;27.0;12.5;8;25.0;
30;4;21.5;13.4756269455;2;27.0107431412;1;27.0;12.5;8;25.0;
