Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;11.0;10.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;11.0;10.0;5;20.0;2;7.0;11.8999996185;4;22.0;
3;1;11.0;10.0;5;20.0;2;8.14999961853;10.6999998093;4;22.0900000334;
4;1;11.0;10.0;5;20.0;2;8.31349945068;10.5;4;22.1871190071;
5;1;12.0;10.0;5;20.0;2;8.32806777954;10.5;4;22.2917383909;
6;2;13.4499998093;10.0;4;21.0;2;9.44064044952;10.5;4;22.4042263031;
7;2;14.4499998093;10.0;4;21.4999996424;2;10.0409517288;10.5;4;22.5249304771;
8;2;14.6750001907;10.1999998093;4;21.9353003502;2;10.0681095123;10.5;4;23.0894187689;
9;2;14.8708848953;10.3632001877;4;23.1829590797;2;10.1951189041;10.7100000381;4;23.5836213827;
10;2;15.4323320389;10.9097137451;4;24.267437458;2;10.3063154221;10.8792181015;4;23.9926425219;
11;2;17.4323310852;11.3658018112;4;25.2018244267;2;10.3983440399;11.0;4;25.8316864967;
12;2;19.4323310852;11.7372808456;4;26.0066431761;2;10.8121290207;11.7700004578;5;27.4540388584;
13;2;20.6914024353;12.0336990356;5;26.7056586742;2;12.541469574;12.4126424789;5;28.8682081699;
14;2;21.7966518402;12.2662630081;4;27.3226804733;2;14.541469574;12.9308347702;5;30.1005516052;
15;2;22.9123077393;12.446267128;4;27.7113106251;2;16.541469574;13.3366470337;5;31.1863336563;
16;2;24.0388336182;12.5;4;28.0173821449;2;17.8257961273;13.6469516754;5;32.1621966362;
17;2;25.1765651703;12.5;4;28.3487696648;2;18.9405918121;13.879781723;5;32.9572491646;
18;2;26.3256893158;12.5;4;28.7054548264;2;20.0653820038;14.0;5;33.5542383194;
19;2;26.9174537659;12.5;5;29.0869145393;2;21.1997051239;14.0;5;34.1899633408;
20;2;27.0891113281;12.5;5;29.4920539856;2;21.692741394;14.0;5;34.8591008186;
21;2;27.2714233398;12.5;5;29.9191560745;2;21.843296051;14.0;5;35.5546751022;
22;2;27.4636192322;12.5;5;30.3658571243;2;21.9998016357;14.0;5;36.2682390213;
23;2;27.6646347046;12.5;5;30.8291530609;2;22.1603527069;14.0;6;36.9902019501;
24;2;27.8731193542;12.5;5;31.3054442406;2;22.3227958679;14.0;6;37.7102985382;
25;2;28.0874500275;12.5;5;31.790620327;2;22.4848175049;14.0;6;38.4181499481;
26;2;28.3057785034;12.5;5;32.2801818848;2;22.6440830231;14.0;6;39.1038570404;
27;2;28.5260810852;12.5;5;32.7693967819;2;22.7983665466;14.0;6;39.758556366;
28;2;28.7462291718;12.5;5;33.2534770966;2;22.9456748962;14.0;6;40.374874115;
29;2;28.9640655518;12.5;5;33.7277650833;2;23.0843467712;14.0;6;40.947227478;
30;2;29.1774940491;12.5;5;34.187912941;2;23.2131252289;14.0;7;41.4719495773;
31;2;29.3845596313;12.5;5;34.6300430298;2;23.3311882019;14.0;7;41.9472465515;
32;2;29.5835189819;12.5;5;35.0508718491;2;23.438129425;14.0;7;42.3730211258;
33;2;29.7728919983;12.5;5;35.4477939606;2;23.5339279175;14.0;7;42.7505970001;
34;2;29.9515075684;12.5;6;35.8189210892;2;23.6188831329;14.0;7;43.0823974609;
35;2;30.1185150146;14.5;6;36.1630792618;2;23.6935386658;14.0;7;43.3716182709;
36;2;30.2733860016;16.5;7;36.4797668457;2;23.7586135864;14.0;7;43.6219272614;
