Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
73;6;28.5282783508;40.7822494507;19;78.7082929611;3;16.0499992371;34.7999992371;20;42.5342378616;
74;6;30.8248329163;43.7640228271;20;80.1346502304;3;16.0;35.7999992371;20;42.2808146477;
75;6;33.0;46.7476234436;21;80.6850032806;3;16.0;36.7999992371;21;42.0527334213;
76;6;32.0;49.7328605652;21;81.1455110312;3;16.0;37.7999992371;22;41.8474593163;
77;6;32.0;52.7195739746;20;81.5768728256;3;17.0;38.7999992371;23;41.6627135277;
78;6;32.0;55.7076148987;22;81.9788233042;4;16.0;39.7999992371;22;42.9563984871;
79;7;32.0;57.6968536377;22;82.3518766165;4;16.0;40.7999992371;23;43.9590654373;
80;6;32.0;59.6871681213;22;82.6971797943;5;17.0;41.7999992371;21;44.7320170403;
81;6;32.0;61.6784515381;23;83.0163537264;5;18.0;42.7999992371;21;45.1614527702;
82;6;32.0;63.6706085205;24;83.311347723;5;19.0;43.7999992371;22;45.3647341728;
83;6;32.0;65.6635437012;24;83.5843018293;5;19.3141307831;44.7999992371;22;45.5588145256;
84;6;32.0;67.6571960449;24;83.83743608;5;19.4014663696;45.7999992371;22;45.7433390617;
85;6;32.0;69.651473999;26;83.9772863388;5;19.4845027924;46.7999992371;23;45.9180798531;
86;6;33.0;68.6463241577;27;84.0698583126;5;19.5631370544;47.7999992371;24;46.0829277039;
87;6;32.0;70.6416931152;27;84.165926218;5;19.6373176575;48.7999992371;24;46.2378835678;
88;6;32.0;72.6375274658;27;84.2653298378;5;19.7070465088;49.7999992371;24;46.3830442429;
89;7;33.0;71.6337738037;27;84.3678927422;5;19.7723693848;50.7999992371;26;46.5185947418;
90;7;32.0;73.6303939819;28;84.4734230042;5;19.8333683014;51.7999992371;27;46.6447896957;
91;7;32.0;75.6273498535;28;84.5817117691;5;19.8901557922;52.7999992371;27;46.7619447708;
92;7;33.0;74.6246185303;28;84.6925337315;5;18.8901557922;51.7999992371;27;46.8704223633;
93;7;32.0;76.6221618652;30;84.8056480885;5;18.8901557922;51.7999992371;30;46.970621109;
94;7;32.0;78.6199417114;30;84.9207983017;5;19.8901557922;52.7999992371;30;47.0;
95;7;32.0;82.2259216309;30;86.0377144814;5;18.8901557922;51.7999992371;31;47.0;
96;7;33.0;85.2233276367;31;86.2161133289;5;16.0;51.7999992371;31;47.0;
97;7;34.0;88.220993042;31;86.398665905;5;16.0;52.7999992371;31;47.0;
98;7;34.0;91.2189025879;33;86.5851386786;5;17.0;50.7999992371;32;47.0;
99;9;34.0;94.217010498;32;86.7752845287;5;16.0;51.7999992371;33;47.0;
100;9;34.0;97.2153091431;32;86.9688435793;5;17.0;52.7999992371;33;47.0;
