Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
73;4;22.6375007629;23.0;18;51.3399991989;9;39.9000015259;58.7157897949;8;103.924921751;
74;5;24.6375007629;25.0;17;51.2011828423;9;38.0499992371;59.6872596741;9;106.193426013;
75;5;22.9500007629;27.0;17;51.0815517902;9;39.0499992371;63.6872596741;9;107.464807749;
76;6;24.9500007629;30.0;15;51.9793061018;9;39.7999992371;67.8724822998;9;108.67508769;
77;6;27.9500007629;33.0;16;52.0003201962;9;40.7999992371;71.9273529053;10;109.820806146;
78;6;29.8866882324;34.0;16;52.045994997;9;41.7999992371;69.9834060669;10;110.901601553;
79;6;30.6375007629;35.0;16;52.1157394648;9;42.7999992371;72.0405426025;10;111.919674754;
80;6;31.1277351379;36.0;16;52.2090873718;9;42.7999992371;73.0986404419;12;112.879112363;
81;6;31.1062107086;36.0;17;52.3256611824;9;42.7999992371;78.1575927734;13;113.785204411;
82;6;31.0868396759;36.0;17;53.4651479721;9;42.7999992371;83.2172851562;18;114.643821359;
83;6;30.0694046021;38.0;19;55.0348031521;9;43.7999992371;82.2775650024;20;115.438322783;
84;6;30.1967697144;40.0;19;56.4116828442;9;42.7999992371;87.3383026123;20;116.065453887;
85;6;30.5677947998;40.595123291;20;57.6273692846;9;42.7999992371;92.3993606567;20;116.55635941;
86;6;32.635974884;42.8049659729;20;58.6417739391;9;44.7999992371;91.3761672974;20;117.058525562;
87;6;34.6750030518;41.9690628052;20;59.2367880344;9;42.7999992371;92.4847259521;22;117.570217609;
88;6;35.4243164062;42.0;21;59.7145299911;9;42.7999992371;94.5946960449;23;118.089524269;
89;6;33.125;43.0;22;60.214353323;9;44.7999992371;92.242477417;23;118.614387035;
90;6;32.125;44.0;20;60.7397209406;9;42.7999992371;95.5650177002;25;119.142636299;
91;6;31.125;45.0;20;61.2894220352;11;42.7999992371;98.7651596069;22;119.67203331;
92;6;30.125;46.0;19;61.8617662191;11;42.7999992371;102.34488678;22;120.200314999;
93;6;29.7250003815;47.0;20;62.4545747042;11;42.7999992371;105.80480957;22;120.725241423;
94;6;29.7250003815;48.0;19;63.0651972294;11;42.7999992371;109.261283875;23;121.244641066;
95;6;29.7250003815;49.0;19;63.6905508041;11;43.7999992371;109.712280273;22;121.756454945;
96;6;28.1802959442;51.0;18;64.3271822929;11;42.7999992371;113.155853271;21;122.25877285;
97;6;25.7250003815;53.0;18;64.9713554382;12;42.7999992371;113.590255737;20;122.749867201;
98;6;25.0;55.1139030457;19;65.6191534996;12;43.7999992371;112.013877869;23;123.228214264;
99;6;26.525177002;56.0;21;66.2665982246;12;42.7999992371;114.425308228;25;124.190544367;
100;5;23.0;55.0;21;58.8891050816;13;42.7999992371;117.172012329;20;132.780626535;
