Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
74;9;42.9000015259;86.0593414307;10;101.629242778;4;18.25;31.5;12;34.3962053061;
75;9;44.3905334473;87.0593414307;10;102.242810607;4;19.25;31.5;14;34.6663411856;
76;9;42.9000015259;91.0593414307;12;102.889081955;5;22.25;32.5;13;35.9477878809;
77;9;42.9000015259;94.0593414307;12;103.572548866;5;24.25;34.0;14;36.3606902361;
78;9;42.9000015259;97.0593414307;10;104.297644615;5;22.25;37.0;14;36.7981785536;
79;9;43.9000015259;97.0593414307;12;105.06842041;6;21.25;41.0;13;37.2613320351;
80;9;42.9000015259;100.059341431;11;105.888143539;6;20.25;42.7288513184;14;39.2254385948;
81;9;42.9000015259;103.059341431;13;106.758838654;6;21.0;43.7838249207;15;40.8760026693;
82;9;43.9000015259;103.059341431;14;107.680788755;6;21.7810726166;44.8420829773;14;42.2708171606;
83;9;49.3680725098;106.059341431;14;108.652051449;6;20.0;45.0;15;43.4723180532;
84;9;52.4652061462;109.059341431;16;109.637135506;7;21.0;46.9686889648;14;44.3660821915;
85;11;54.7637138367;112.059341431;12;125.593223333;7;21.9418106079;48.0371017456;14;45.0730259418;
86;11;56.8593254089;115.059341431;13;127.635190964;7;20.0;48.0;14;45.8080568314;
87;11;58.9585266113;117.259338379;16;129.604486465;7;20.0;49.0;15;46.5702745914;
88;11;61.0599555969;118.799995422;17;131.475126266;7;21.0;51.0;15;47.3583693504;
89;11;62.2475128174;119.799995422;19;133.227044582;7;20.0;51.0;16;48.1705839634;
90;11;62.422706604;120.799995422;21;134.846261024;7;21.0;53.0;17;49.004683733;
91;11;62.5846252441;120.799995422;23;136.324558258;8;22.0;54.5170440674;16;49.8579394817;
92;11;62.7324562073;120.799995422;26;137.658899784;8;22.2843875885;55.6075515747;17;50.7271311283;
93;12;62.8658943176;120.799995422;25;138.850691795;8;20.2843875885;55.0;17;51.6085679531;
94;13;62.9850730896;121.799995422;23;140.521975517;9;20.0;56.0;15;52.4981365204;
95;13;63.1521949768;130.799987793;24;141.161258221;9;21.8517971039;58.0;14;53.391371727;
96;13;63.2161254883;135.799987793;25;141.732999325;9;21.0;59.0;10;53.6542153358;
97;13;64.2733001709;137.399993896;25;143.050559998;9;20.9411735535;59.0;6;54.9689750671;
98;13;63.4050559998;141.399993896;27;143.413841248;9;21.0;62.0;6;55.3553206921;
99;14;63.4413871765;145.399993896;26;151.93452549;8;20.0;55.0;5;47.9106838703;
100;14;65.5484542847;147.399993896;27;153.543285847;8;20.0;58.0;6;47.9491345882;
