Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
87;9;33.4500007629;62.4602203369;17;68.2295278311;4;21.6112060547;36.0;18;32.6632535458;
88;10;33.4500007629;63.5054588318;18;68.5647240877;4;20.649230957;37.0;18;32.8350768089;
89;10;33.4500007629;63.60496521;18;68.9010958672;4;19.6878910065;38.0;19;33.0094771385;
90;10;33.4500007629;65.6006317139;18;69.2381808758;4;18.7271308899;39.0;19;33.1861798763;
91;10;33.4500007629;66.6505126953;19;69.5755089521;4;16.5999984741;40.0;17;33.3648900986;
92;10;33.4500007629;67.7018280029;19;69.9126023054;4;16.0;41.0;17;33.5452952385;
93;10;33.4500007629;68.7545547485;19;70.2489780188;4;16.0;42.0;16;33.7270662785;
94;10;33.4500007629;70.80859375;20;70.5841491222;4;16.0;43.0;15;33.9098598957;
95;11;33.4500007629;73.80859375;19;70.9176279306;4;16.0;44.0;16;34.0933218002;
96;11;33.4500007629;76.80859375;19;71.2489272356;4;16.0;45.0;16;34.2770886421;
97;11;33.4500007629;79.80859375;20;71.577563405;4;16.0;46.0;17;34.4607918262;
98;11;33.4500007629;82.80859375;21;72.9030587673;4;16.0;47.0;18;34.6440598965;
99;11;34.4500007629;86.6685638428;22;73.2649431229;4;16.0;48.0;18;34.8265223503;
100;11;35.4500007629;89.0262756348;23;73.5722488165;4;16.0;49.0;20;35.0078127384;
