Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
69;9;45.2000007629;77.347442627;14;104.699818373;8;48.784942627;81.8191299438;22;95.5080747604;
70;9;45.9696273804;78.7990722656;14;106.120289683;8;50.0901107788;83.9878845215;24;97.131754756;
71;9;47.0614013672;78.9794158936;16;107.494826555;8;51.7586593628;83.1578445435;25;98.4052306414;
72;9;40.2000007629;76.3218536377;15;95.4346345663;9;50.9136772156;85.3285903931;24;112.320812225;
73;9;40.2000007629;77.1844024658;16;96.5027496815;9;51.961025238;88.499710083;24;113.070024014;
74;10;40.2000007629;79.5062942505;15;97.5519702435;9;52.9843635559;90.7707977295;26;113.763620019;
75;10;40.2000007629;79.8378829956;15;98.5110673904;12;53.0081748962;92.4095535278;23;114.295425653;
76;10;40.2000007629;83.5062942505;16;99.4033374786;12;52.2999992371;94.262260437;24;114.757306337;
77;10;40.2000007629;85.7098083496;17;100.28205204;12;52.2999992371;95.4527206421;24;115.090554118;
78;10;40.2000007629;87.7650909424;18;101.143219233;12;52.2999992371;95.6418838501;27;115.382654667;
79;11;40.2000007629;89.8215179443;13;116.907307386;12;52.2999992371;96.6211471558;28;115.672139168;
80;11;41.2000007629;92.8789825439;13;119.660294533;12;51.2999992371;99.7039871216;28;115.958464503;
81;11;43.2000007629;96.9373855591;15;121.362445354;12;51.2999992371;102.78565979;28;117.241117239;
82;11;44.2000007629;100.996604919;15;122.942194462;12;52.2999992371;105.865989685;31;117.579618931;
83;11;44.2000007629;105.056503296;15;124.392627835;13;53.2999992371;108.94480896;30;117.916490316;
84;11;44.2000007629;109.116958618;20;125.713468075;13;51.2999992371;112.021980286;31;118.251396775;
85;12;45.2000007629;109.177818298;18;126.909620166;13;50.2999992371;116.097351074;31;118.584035397;
86;12;44.2000007629;111.50629425;19;127.989554524;15;55.9584007263;122.170814514;30;118.914136291;
87;12;45.0072517395;117.50629425;20;128.963789463;15;58.891418457;128.242248535;30;119.241458774;
88;12;44.2000007629;120.50629425;21;129.843666911;15;60.9241447449;130.38432312;31;119.565792799;
89;12;45.0622596741;124.50629425;20;130.541738033;15;61.5565834045;131.537643433;33;119.88695395;
90;12;46.0895767212;127.50629425;21;131.075940013;15;60.5886993408;135.686416626;32;120.204783678;
91;12;48.1166763306;127.906295776;23;131.58615005;15;61.6204833984;136.830581665;33;120.519144893;
92;12;46.1434936523;128.188110352;23;132.073560715;15;61.6519165039;137.970077515;33;120.829918027;
93;12;47.1699752808;127.254364014;28;132.539459467;15;60.6829948425;142.104812622;35;121.137000084;
94;12;49.1960601807;124.322769165;30;132.893934011;15;61.7137069702;143.234832764;35;121.440299034;
95;12;49.2216873169;124.393257141;30;133.201783657;15;61.7440338135;144.360122681;35;121.739732265;
96;12;50.2468147278;124.465759277;29;136.828745842;15;61.773979187;145.480712891;35;121.998121262;
97;12;51.334197998;124.633750916;30;140.33544755;15;61.7998123169;146.570663452;37;122.231461525;
98;12;52.0651741028;124.815689087;30;143.685607433;15;61.8231506348;151.66708374;40;122.45955801;
99;12;52.5058822632;125.011825562;32;146.853097439;15;62.8459587097;153.759094238;40;122.630718231;
100;12;52.9123458862;123.011825562;28;150.821956873;15;63.8630714417;155.791992188;39;122.803453922;
101;12;52.5012130737;120.011825562;30;153.345398903;15;64.8803482056;157.824554443;41;122.97749114;
102;12;52.5012130737;123.801826477;28;154.46333313;15;65.8977508545;159.856689453;39;123.152540922;
103;12;52.3212127686;123.811820984;28;154.68626678;15;66.9152603149;161.888427734;40;124.34235239;
104;12;53.1592140198;124.421821594;28;155.537832737;15;68.0342330933;163.995361328;40;125.556379318;
105;12;52.0134124756;126.469825745;27;156.10993588;15;70.1556396484;163.090255737;40;126.786981106;
106;12;51.8821907043;128.218505859;25;156.695619941;15;70.2787094116;165.196212769;40;128.026098967;
107;12;53.4628829956;127.087272644;28;157.212360859;15;71.4026107788;164.305511475;40;130.265467644;
108;10;51.3565940857;102.962882996;28;142.090910554;17;72.5265426636;164.410217285;37;147.056330442;
