Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;14.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;12.0;5;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;11.0;5;20.0;1;8.0;11.0;6;20.0;
5;1;10.0;10.0;5;20.0;1;8.0;10.0;6;20.0;
6;1;11.0;10.0;4;20.0;1;9.0;10.0;6;20.0;
7;1;12.0;10.0;3;20.0;1;9.5;10.0;6;20.0;
8;1;13.0;10.0;3;20.3999996185;2;9.5;10.3000001907;5;21.3999996185;
9;1;14.0;10.1999998093;3;20.7264003754;2;9.81500053406;10.1999998093;5;21.8264003992;
10;2;14.3268795013;10.6632003784;2;22.8194274902;2;9.91094017029;10.3632001877;5;22.1992716789;
11;2;15.2687425613;10.9097137451;2;23.7616035938;2;9.99483585358;10.4951858521;5;23.4054436684;
12;2;15.6927223206;11.3658018112;2;24.5351526737;2;10.2662248611;11.0209560394;5;24.4501843452;
13;2;18.2822418213;11.7372808456;2;25.1591641903;2;12.0683965683;11.4571752548;5;25.3486692905;
14;2;20.2822418213;12.0336990356;2;25.6560432911;2;14.0683965683;11.8107032776;5;26.1225088835;
15;2;21.3243255615;12.2662630081;2;26.0483692884;2;16.0683956146;12.0916318893;5;26.7957427502;
16;2;22.3388690948;12.446267128;2;26.1887089014;2;17.2117881775;12.3113050461;5;27.3919057846;
17;2;23.3536624908;12.5;2;26.2221269608;2;18.2696170807;12.4808797836;5;27.7113106251;
18;2;24.3687000275;12.5;2;26.2560760975;2;19.3328781128;12.5;6;28.0173821449;
19;2;25.3839759827;12.5;2;26.2905418873;2;20.3039112091;12.5;6;28.3487696648;
20;2;25.8307437897;12.5;4;26.3255085945;2;20.3784732819;12.5;6;28.7054548264;
21;2;25.8464794159;12.5;4;26.3609591722;2;20.4587268829;12.5;6;29.0869145393;
22;2;25.8624305725;12.5;4;26.3968753815;2;20.5445556641;12.5;7;29.4920539856;
23;2;25.8785934448;12.5;4;26.4332377911;3;20.6357116699;12.5;6;29.9191560745;
24;2;25.8949565887;12.5;4;26.4700255394;3;20.7318096161;12.5;6;30.3658571243;
25;2;23.9115104675;13.5;5;26.5072168112;3;20.8323173523;12.5;6;30.8291530609;
26;2;22.9282474518;14.5;6;26.5447884798;3;20.9365596771;12.5;7;31.3054442406;
27;2;21.9451541901;15.5;6;26.5827163458;3;21.0437240601;12.5;7;31.790620327;
28;2;20.962223053;16.5;6;26.6209751368;3;21.1528892517;12.5;7;32.2801818848;
29;3;19.9794387817;17.5;6;26.6595385075;3;17.625;14.5;7;32.7693967819;
30;3;18.9967918396;18.5;6;26.6983793974;3;16.625;16.5;7;33.2534770966;
31;3;18.0142707825;19.5;6;26.7374696732;3;15.625;18.5;7;33.7277650833;
32;3;17.0318603516;20.5;6;26.7767804861;3;14.625;20.5;7;35.187912941;
