Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;14.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;13.0;4;20.0;
3;1;8.0;12.0;5;20.0;1;8.0;12.0;4;20.0;
4;1;9.0;11.0;5;20.0;1;8.0;11.0;4;20.0;
5;1;10.0;10.0;5;20.0;1;8.0;10.0;4;20.0;
6;1;11.0;10.0;5;20.0;1;9.0;10.0;4;20.0;
7;2;13.0;10.3000001907;4;21.0;1;9.5;10.0;4;20.0;
8;2;15.0;10.0;4;21.3999996185;2;9.5;10.3000001907;3;21.3999996185;
9;2;17.0;10.1999998093;4;21.7264003754;2;9.81500053406;10.1999998093;3;21.7264003754;
10;2;17.7768802643;10.3632001877;4;22.8394274712;2;9.88844013214;10.3632001877;3;21.9903717041;
11;2;18.2777423859;10.9097137451;4;23.7717995644;2;9.94783401489;10.4951858521;3;23.0819120407;
12;2;18.6973114014;11.3658018112;4;24.5351434946;2;10.1934309006;11.0209560394;3;23.99553442;
13;2;21.2868309021;11.7372808456;4;25.1485489607;2;11.9660997391;11.4571752548;3;24.7449600697;
14;2;23.2868309021;12.0336990356;3;25.6344225407;2;13.9660997391;11.8107032776;2;25.3503712416;
15;2;24.3145961761;12.2662630081;3;26.0153459311;2;15.9660997391;12.0916318893;1;25.8344515562;
16;2;25.3240089417;12.446267128;3;26.1438889503;0;0;0;0;0;
