Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;2;6.0;14.3000001907;3;21.0;1;6.0;14.0;4;20.0;
2;2;7.30000019073;13.0;3;21.0900000334;1;7.0;13.0;6;20.0;
3;2;8.32699966431;12.0;3;21.1871190071;1;8.0;12.0;5;20.0;
4;2;9.35613536835;11.0;3;21.2917383909;1;8.0;11.0;5;20.0;
5;2;10.3875217438;10.0;3;21.4042263031;1;8.0;10.0;5;20.0;
6;2;11.631901741;10.0;3;21.5249304771;1;9.0;10.0;5;20.0;
7;2;12.6862182617;10.0;3;21.6541694403;1;9.5;10.0;5;20.0;
8;2;13.7443761826;10.0;3;22.2087649107;1;9.5;10.0;5;20.3999996185;
9;2;14.8139448166;10.1999998093;3;22.7014135122;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;15.2156352997;10.3632001877;2;24.0319356918;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;15.814371109;10.9097137451;2;25.2049109936;2;9.72283363342;10.7951860428;4;23.0419120789;
12;2;16.3422107697;11.3658018112;2;26.2329595089;2;10.184431076;11.0209560394;4;23.944350481;
13;2;18.9317321777;11.7372808456;4;27.1358840466;2;11.954583168;11.4571752548;3;24.6819975376;
14;2;20.9317321777;12.0336990356;4;27.9364440441;2;13.9545841217;11.8107032776;3;25.2750298977;
15;2;22.3505058289;12.2662630081;4;28.6571342945;2;15.9545841217;12.0916318893;3;25.746127367;
16;2;23.5128135681;12.446267128;4;29.1499218941;2;16.9756240845;12.3113050461;3;26.1175945997;
17;2;24.6862068176;12.5;5;29.5586924553;2;17.9828968048;12.4808797836;3;26.1887089014;
18;2;25.8701553345;12.5;5;29.9890928268;2;18.9902935028;12.5;4;26.2221269608;
19;2;27.063835144;12.5;5;30.4386553764;2;19.8999786377;12.5;4;26.2560760975;
20;2;27.6973953247;12.5;5;30.9042773247;2;19.907617569;12.5;5;26.2905418873;
21;2;27.9069252014;12.5;5;31.3822712898;2;19.9153709412;12.5;5;26.3255085945;
22;2;28.1220207214;12.5;5;31.86845541;2;19.9232387543;12.5;5;26.3609591722;
23;2;28.3408050537;12.5;6;32.3582825661;2;19.9312152863;12.5;6;26.3968753815;
24;2;28.5612258911;12.5;6;32.8469986916;2;19.9392967224;12.5;5;26.4332377911;
25;2;26.7811489105;13.5;6;33.3298244476;2;19.947479248;12.5;5;26.4700255394;
26;2;25.9984207153;14.5;6;33.8021402359;2;19.9557552338;12.5;5;26.5072168112;
27;2;24.9984207153;13.5;6;34.2596635818;2;19.9641227722;12.5;4;26.5447884798;
28;3;24.9984207153;14.5;5;34.6986026764;2;19.9725780487;12.5;4;26.5827163458;
29;3;23.9984207153;13.5;5;35.1157779694;2;17.9811115265;13.5;4;26.6209751368;
30;3;23.9984207153;14.5;5;35.5086975098;2;16.9897193909;14.5;4;26.6595385075;
31;3;22.9984207153;13.5;6;35.8755874634;2;15.9983959198;15.5;4;26.6983793974;
32;3;23.25;14.5;6;36.215385437;2;15.0071353912;16.5;5;26.7374696732;
33;3;22.25;13.5;6;36.5276908875;3;14.3909301758;17.5;4;26.7767804861;
34;3;22.25;13.5;6;36.8126907349;3;14.3997755051;18.5;4;26.8162822723;
35;3;21.25;13.5;6;37.0710706711;3;14.4086637497;19.5;4;26.8559447527;
36;3;21.25;14.5;6;37.3039131165;3;14.4175872803;20.5;4;26.8957372904;
37;4;21.25;15.5;5;37.5125980377;3;14.4265403748;21.5;4;26.9356285334;
38;4;23.25;17.5;6;37.6987104416;3;14.4355163574;22.5;4;26.9755871296;
39;4;25.25;19.5;6;37.8639574051;3;14.4445075989;23.5;5;27.015581131;
40;4;27.0387802124;20.5;6;38.0;3;14.4535055161;24.5;5;27.0555787086;
41;4;28.1000003815;21.5;6;38.0;3;14.4625053406;25.5;6;27.0955479145;
42;4;29.1000003815;22.5;7;38.0;3;14.4714984894;26.5;6;27.135456562;
43;4;30.1000003815;22.5;7;38.0;3;14.4804782867;27.5;6;27.17527318;
44;4;31.1000003815;22.5;7;39.0;3;15.4894361496;29.2000007629;6;28.2149660587;
45;4;32.0999984741;23.5;8;39.0499999523;3;16.4983673096;29.5;6;28.2945039272;
46;4;33.0999984741;24.5;8;39.1019749641;3;17.7412643433;27.5;7;28.3750400543;
47;4;33.5958900452;25.5;9;39.1559499502;3;16.7593841553;28.5;8;28.4565460682;
48;4;33.0999984741;26.5;9;39.2119446993;3;16.7777233124;29.5;8;28.5389910936;
49;4;33.6453742981;27.5;9;39.269973278;3;17.7962722778;27.5;8;28.6223422289;
50;4;33.0999984741;28.3889808655;10;39.3300433159;3;16.8150272369;28.5;10;28.7065634727;
51;5;33.6985206604;27.5;9;39.3921557665;3;17.2829933167;28.5;11;28.7916171551;
52;5;33.0999984741;28.4745101929;10;39.4563041925;3;18.2935829163;29.5;11;28.8774628639;
53;5;33.0999984741;28.5194129944;11;39.5224741697;3;19.3044319153;30.5;12;28.9640573263;
54;5;33.0999984741;28.5657310486;11;39.5906432867;3;20.5763778687;31.5;12;29.0513547659;
55;5;33.0999984741;28.6134490967;11;39.6607804298;3;21.3268852234;32.5;13;29.1393067837;
56;5;33.8473510742;27.5;12;39.7328453064;3;22.5563430786;31.5;14;29.2278623581;
57;5;33.0999984741;28.5;12;39.8067884445;3;22.2259559631;31.5;14;29.3169677258;
58;5;33.0999984741;28.7647514343;12;41.3267549276;3;21.9873752594;30.5;15;29.4065665007;
59;5;34.5970420837;28.0;12;42.5930321217;3;22.2418193817;29.5;15;29.4965996742;
60;5;32.815864563;29.0;12;44.6417565346;4;22.0121517181;28.5;14;29.5870056152;
61;5;32.8804969788;30.6872596741;13;45.5710785389;4;22.024848938;29.4669322968;14;29.6777204275;
62;6;32.9481697083;31.6872596741;12;46.2116513252;4;21.625;30.4903411865;14;29.7686775923;
63;6;33.2714996338;33.6872596741;13;46.6502524614;4;22.0508003235;29.5133628845;14;29.8598085642;
64;6;32.8250999451;35.6872596741;13;47.0702466965;4;21.625;30.535987854;14;29.9510426521;
65;6;30.4295082092;38.6872596741;12;47.3635548353;4;22.286567688;28.9435081482;15;30.0423073769;
66;7;29.4500007629;40.6872596741;13;47.6199651957;4;22.759519577;27.5;15;30.1315076351;
67;7;29.4500007629;39.6872596741;13;47.8845734596;4;21.625;29.5;15;30.1926498413;
68;7;28.9801006317;40.6872596741;13;48.1568499804;4;21.625;31.0348548889;15;30.2542052269;
69;7;26.4500007629;42.6872596741;14;48.43618536;4;21.625;31.1779441833;15;31.3161010742;
70;7;25.4500007629;44.6872596741;15;48.7218953371;4;22.625;32.2212715149;16;31.428262949;
71;8;24.75;46.6872596741;11;69.0132263899;5;24.625;34.2647857666;15;32.5425896645;
72;9;25.75;46.6872596741;10;71.1093645096;5;25.625;36.308429718;15;32.7090293169;
73;9;24.75;48.6872596741;10;72.9790494442;5;25.625;38.3521575928;15;32.8794990778;
74;9;24.75;51.6872596741;9;74.5979773998;5;25.625;40.395904541;16;33.0539597273;
75;9;24.75;54.6872596741;9;75.9682955742;5;25.625;42.3286056519;17;33.2323604822;
76;9;24.75;57.6872596741;11;77.1114768982;5;25.625;42.4142913818;17;33.4146391153;
77;9;24.75;59.6872596741;11;78.059607029;5;25.625;42.5012664795;17;33.600720048;
78;9;25.0;61.6872596741;12;79.847846508;5;25.625;42.5894737244;18;33.7905142307;
79;9;27.0;64.6872558594;12;81.4711613655;5;26.2720737457;39.5999984741;20;35.1584260464;
80;9;30.0;68.6872558594;9;85.4945464134;5;25.8500003815;41.141998291;20;36.3167420626;
81;9;32.0;72.6872558594;8;88.7747910023;5;26.0255012512;42.5735549927;20;37.2997703552;
82;9;33.0;76.6872558594;2;88.5446244478;5;26.8743247986;41.1356277466;18;38.1431773901;
83;9;33.0637664795;80.6872558594;2;88.372954011;5;28.1647949219;39.1745529175;17;38.7317273617;
84;8;24.0;72.6872558594;4;58.4611661434;6;26.7435684204;41.2648124695;15;69.1402573586;
85;8;24.0;72.6872558594;4;59.5670346022;6;28.5763320923;42.0;15;69.3670723438;
86;8;23.0;72.387260437;4;59.5960458517;6;28.7888393402;44.3831596375;15;69.621970892;
87;9;23.0;74.6872558594;3;60.6553220153;6;26.8124370575;47.4211807251;17;69.9023325443;
88;9;23.0;73.9542617798;4;60.6412830353;6;26.2999992371;51.2359085083;19;70.2056596279;
89;9;23.0;72.3172531128;5;60.6607151031;6;24.8614025116;52.3567047119;19;70.5295557976;
90;9;22.2952461243;74.2542572021;8;60.7097305059;6;24.2999992371;54.4758529663;20;70.8717093468;
91;10;23.0;73.197555542;7;60.7848350406;7;23.2730312347;54.4163360596;20;71.2298791409;
92;10;23.0;72.1465301514;7;60.8828849792;7;23.0;54.545135498;21;71.6018836498;
93;10;24.0;72.1006011963;10;60.9561724067;7;24.0;57.5785598755;19;71.9856002331;
94;10;25.0;72.0840759277;11;61.0150547624;7;25.0;59.931930542;20;72.3789536953;
95;10;26.0;70.9944000244;10;61.0947015584;7;26.0;61.2777519226;20;72.7799198627;
96;8;23.1937103271;65.410736084;11;59.5717630982;9;27.0;63.4681549072;18;74.7692486048;
97;8;23.3155536652;65.410736084;10;59.6474486887;11;29.0;64.6561431885;15;76.5415765047;
98;8;23.1270942688;65.7594146729;10;59.7370724082;11;31.0;66.8414154053;15;78.9650700092;
99;8;24.0;65.9787368774;15;59.8388238996;11;33.0;70.0071792603;15;80.1971099377;
100;9;25.0;65.9219436646;13;59.9510392547;10;35.0;73.1586380005;15;81.2314450741;
101;9;24.0;66.7245483398;14;60.0721924752;10;35.5833702087;76.3073959351;20;81.8384010792;
102;9;24.0833854675;67.7245483398;15;60.2008783072;10;35.5999984741;78.4532012939;20;82.3908028603;
103;9;23.0;68.8913269043;15;60.3358072042;10;35.5999984741;80.5958404541;19;82.9433618784;
104;9;23.0;70.8746490479;15;60.4757914394;10;35.5999984741;81.7351074219;20;83.4954094887;
105;9;22.0;68.8596343994;15;60.6197430938;11;35.5999984741;82.870803833;16;85.0463278294;
106;10;23.0;70.7245483398;14;60.7666637301;12;35.5999984741;80.9227600098;16;85.6255483627;
107;10;24.0;72.7245483398;14;60.9156370834;12;36.5999984741;80.9723815918;18;85.8031392097;
108;10;23.0;73.7245483398;14;61.0658254772;12;37.4799995422;84.0197219849;19;86.0186057091;
109;10;23.0;75.5201568604;17;61.2164663225;12;36.4799995422;85.0648117065;19;86.2316429615;
110;10;22.0;65.410736084;17;62.4382950813;12;36.4799995422;87.082611084;19;86.4516862631;
111;10;25.0;68.410736084;18;63.9373978078;12;37.1873207092;88.5369873047;20;86.7003885508;
112;10;28.0;71.410736084;18;65.4462955743;12;36.1873207092;87.6058502197;19;86.9742851257;
113;10;29.0;74.6872558594;20;66.9489817843;12;36.1873207092;87.6725158691;13;87.2701771259;
114;10;31.0352249146;77.6872558594;18;68.4299471602;12;36.9739570618;92.8046112061;14;87.5850872993;
115;10;30.0;80.6872558594;20;69.8748516068;12;36.9165611267;93.884437561;13;89.0627372265;
116;10;30.0;83.7701721191;23;71.2710568458;12;37.20885849;94.961265564;14;89.2928344011;
117;10;32.0383987427;84.6872558594;22;72.6079983935;12;37.1279716492;93.961265564;13;89.5455133915;
118;10;31.0;88.6204223633;20;74.8773729429;12;36.0551757812;92.961265564;12;89.6412060261;
119;11;34.0406723022;87.8270950317;17;76.1331650093;11;34.9896583557;91.961265564;11;89.7662103176;
120;11;37.0;90.2108917236;16;77.3144905642;11;34.9306907654;91.0;13;89.9028357267;
121;12;36.0;93.4982681274;13;78.4195351079;10;34.8776245117;92.0;12;89.9943245053;
122;13;38.0;94.7773971558;13;82.0098530278;9;33.8298606873;91.0;12;87.6130019426;
