Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;6.0;14.0;4;20.0;2;11.5999994278;16.0;3;33.0;
2;1;7.0;13.0;6;20.0;2;11.5999994278;16.0;3;32.762399435;
3;1;8.0;12.0;6;20.0;2;11.552479744;15.8719997406;3;32.55055058;
4;1;9.0;11.0;6;20.0;2;11.5101099014;15.7567996979;3;32.1557610035;
5;1;10.0;10.0;6;20.0;2;12.6190166473;15.5507202148;3;31.8022933006;
6;1;11.0;10.0;6;20.0;2;13.6242589951;15.3652477264;3;31.4860240221;
7;1;12.0;10.0;6;20.0;2;14.445807457;15.1983232498;3;31.2888357639;
8;1;13.0;10.0;6;20.3999996185;2;14.3866510391;15.0908908844;3;31.1132249832;
9;1;14.0;10.1999998093;6;20.7264003754;2;14.3339672089;14.9942016602;3;31.9551024437;
10;1;14.3268795013;10.3632001877;6;21.8194274902;2;16.4031143188;15.3965854645;3;32.571557641;
11;1;14.8187427521;10.9097137451;6;22.7316036224;2;18.4031143188;15.6858615875;3;32.9105199575;
12;1;15.2292222977;11.3658018112;6;23.4745616913;2;20.4031143188;15.8360004425;4;32.9499727488;
13;1;16.8187427521;11.7372808456;6;24.0673980713;2;21.4379272461;15.8360004425;5;32.9901781082;
14;1;17.8187427521;12.0336990356;5;24.5325260162;3;22.4499874115;15.8360004425;4;33.0311183929;
15;1;18.8187427521;12.2662630081;5;24.892534256;3;23.4622707367;15.8360004425;5;33.072773695;
16;1;19.8187427521;12.446267128;5;25.0;3;23.5016002655;16.2562332153;5;33.1151221991;
17;1;20.8187427521;12.5;5;25.0;3;23.9345359802;15.8360004425;6;33.1581399441;
18;1;21.8187427521;12.5;6;25.0;3;23.9474411011;15.8360004425;6;33.2018005848;
19;1;22.8187427521;12.5;7;25.0;3;23.9605407715;15.8360004425;7;33.246076107;
20;1;23.25;12.5;7;25.0;3;23.9738235474;15.8360004425;8;33.2909361124;
21;1;23.25;12.5;7;25.0;3;23.9872817993;15.8360004425;8;33.3363482952;
22;1;23.25;12.5;7;25.0;3;24.0009040833;15.8360004425;9;33.3822785616;
23;1;23.25;12.5;8;25.0;3;23.5016002655;16.6911392212;9;33.4286907911;
24;1;23.25;12.5;8;25.0;3;24.0286064148;15.8360004425;10;33.4755471945;
25;1;23.25;12.5;8;25.0;3;23.5016002655;16.7377738953;10;33.5228083134;
26;1;21.25;13.5;8;25.0;3;24.056842804;15.8360004425;10;33.5704331398;
27;1;20.25;14.5;8;25.0;3;23.5016002655;16.7852172852;10;33.6183793545;
28;1;19.25;15.5;8;25.0;3;24.0855140686;15.8360004425;10;33.6666032076;
29;1;18.25;16.5;8;25.0;3;23.5016002655;16.8333015442;10;33.7150599957;
30;1;17.25;17.5;8;25.0;3;22.1145172119;16.8360004425;10;33.7637040615;
31;1;16.25;18.5;9;25.0;3;21.1291122437;17.8360004425;10;33.8124887943;
32;1;15.25;19.5;9;25.0;3;20.1437473297;18.8360004425;11;33.8613669872;
33;1;14.25;20.5;9;25.0;3;19.1584091187;19.8360004425;11;33.9102911949;
34;1;13.25;21.5;9;25.0;3;18.1730880737;20.8360004425;12;33.9592137337;
35;1;12.25;22.5;9;25.0;3;17.1877632141;21.8360004425;11;34.0080866814;
36;2;13.0;24.2000007629;8;26.0;3;16.2024269104;22.8360004425;11;34.0568621159;
37;2;14.0;24.5;9;26.0399999619;3;15.2170581818;23.8360004425;9;34.1054928303;
38;2;14.468000412;25.5;9;26.0811839104;3;14.730047226;24.8360004425;9;34.1539316177;
39;2;14.4865322113;26.5;10;26.1235535145;3;14.7445793152;25.8360004425;10;34.2021324635;
40;2;14.5055990219;27.5;11;26.1671074629;3;14.7590389252;26.8360004425;10;34.2500498295;
41;2;14.5251979828;28.5;11;26.211841464;4;15.6960735321;25.8360004425;9;50.29763937;
42;2;14.5453281403;29.5;12;26.2577478886;4;17.0;26.8360004425;10;50.9848573208;
43;2;15.0;28.3804225922;13;26.3048160076;4;19.0;27.8360004425;12;51.5907678604;
