Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;6.0;14.0;4;20.0;2;11.0880002975;14.720000267;3;30.4400005341;
2;1;7.0;13.0;6;20.0;2;11.0880002975;14.720000267;3;30.4320005178;
3;1;8.0;12.0;6;20.0;2;11.086400032;14.720000267;3;30.4248005152;
4;1;9.0;11.0;6;20.0;2;11.0849609375;14.720000267;3;30.4183205366;
5;1;10.0;10.0;6;20.0;2;12.1814966202;14.720000267;3;30.2012888789;
6;1;11.0;10.0;6;20.0;2;13.1778268814;14.617600441;3;30.00595963;
7;1;12.0;10.0;5;20.0;2;14.0017881393;14.5254402161;3;29.9157637954;
8;1;13.0;10.0;5;20.3999996185;2;13.9747285843;14.4852962494;3;29.8345867395;
9;2;14.0;10.5;4;21.7264003754;2;13.9503755569;14.4491662979;3;30.9417388439;
10;2;14.7768793106;10.3632001877;4;22.9494274855;2;15.9770412445;14.9944295883;3;31.7631447911;
11;2;15.3272428513;10.9097137451;4;24.0070346594;2;17.9770412445;15.3967514038;2;32.358494401;
12;2;15.8031663895;11.3658018112;4;24.9122858047;2;19.9770412445;15.6859788895;3;32.6755598783;
13;2;18.3926868439;11.7372808456;4;25.6857330799;2;20.9922447205;15.8360004425;4;32.6927050352;
14;2;20.3926868439;12.0336990356;4;26.3512378931;3;21.9973888397;15.8360004425;3;32.7099682093;
15;2;21.6371631622;12.2662630081;4;26.9327886105;3;23.0025672913;15.8360004425;4;32.7273441553;
16;2;22.7368564606;12.446267128;4;27.2842636108;3;23.8182029724;15.8360004425;4;32.7448276281;
17;2;23.846660614;12.5;4;27.5518820286;3;23.5016002655;16.1578483582;4;32.7624131441;
18;2;24.9670906067;12.5;5;27.8440244198;3;23.5016002655;16.1631240845;4;32.7800951004;
