Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;2;6.0;14.3000001907;3;21.0;1;11.3999996185;16.0;4;32.0;
2;2;7.30000019073;13.0;3;21.0599999428;2;11.5999994278;16.0;5;33.0;
3;2;8.31799983978;12.0;3;21.1229639053;2;11.5999994278;16.0;5;32.9095994234;
4;2;9.33688926697;11.0;2;21.1889609098;2;11.5819196701;15.8719997406;5;32.8702924252;
5;2;10.3566884995;10.0;2;21.2580518723;2;12.7558078766;15.7567996979;5;32.8827621937;
6;2;11.5661230087;10.0;2;21.3302885294;2;13.8217563629;15.6531200409;5;32.9481207132;
7;2;12.5986299515;10.0;2;21.4057120085;2;14.8844366074;15.5598077774;5;33.1766321659;
8;2;13.6325702667;10.0;2;21.8984082937;2;14.9529895782;15.5218267441;5;33.4569454193;
9;2;14.6742839813;10.1999998093;2;22.3222295046;2;15.0370836258;15.4876441956;5;35.1815192699;
10;2;15.0450029373;10.3632001877;2;23.5493727922;2;17.1972484589;16.1171722412;5;36.6250255108;
11;2;15.5972185135;10.9097137451;2;24.6046164036;2;19.1972465515;16.5693645477;5;37.8740305901;
12;2;16.0720787048;11.3658018112;2;25.4997940063;2;21.1972465515;16.884393692;5;38.8486676216;
13;2;18.6615982056;11.7372808456;2;26.2541379929;2;22.755695343;17.0200004578;6;39.6387958527;
14;2;20.6615982056;12.0336990356;2;26.8901216984;2;23.9927330017;17.0200004578;6;40.5145149231;
15;2;21.8796615601;12.2662630081;3;27.4303069115;2;25.255449295;17.0200004578;6;41.4705085754;
16;3;22.9607410431;12.446267128;2;27.7271471024;2;26.4411525726;17.0200004578;6;42.4966239929;
17;3;24.0459594727;12.5;2;27.925488472;3;26.7489871979;17.0200004578;5;43.5776662827;
