Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;6.0;12.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;11.0;4;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;10.0;4;21.0;1;8.0;10.0;5;20.0;
4;1;8.14999961853;10.5;4;21.8400001526;1;9.0;10.0;4;20.0;
5;2;8.27600002289;11.1199998856;3;23.5301437378;1;9.0;10.0;4;20.0;
6;2;9.50100040436;11.2650718689;3;24.1166050434;1;10.0;10.0;4;20.0;
7;2;10.4262361526;11.543302536;3;24.5889341831;1;11.0;10.0;4;20.0;
8;2;10.5325098038;11.7641716003;3;25.212254405;1;11.0;10.0;4;20.3999996185;
9;2;10.6727571487;12.0549411774;3;25.7109264135;1;11.1199998856;10.1999998093;3;20.7264003754;
10;2;10.7849578857;12.2827939987;3;26.1074465513;1;11.2179203033;10.3632001877;3;20.9903717041;
11;2;10.8741750717;12.4589796066;3;26.2348128557;1;11.2971115112;10.4951858521;3;22.0419120789;
12;2;13.7948913574;12.5;3;26.2813059092;1;11.6125736237;11.0209560394;4;22.9143505096;
13;2;15.7948913574;12.5;3;26.328953743;1;13.2971115112;11.4571752548;4;23.6214065552;
14;2;16.8262710571;12.5;4;26.3777402639;1;14.2971115112;11.8107032776;4;24.1832637787;
15;3;17.8372478485;12.5;3;26.4276455641;2;16.2971115112;12.2916316986;3;25.6226100922;
16;3;18.527256012;12.5;3;26.4786461592;2;18.2971115112;12.3113050461;3;26.0017595291;
17;3;19.8599510193;12.5;3;26.5307145119;2;19.6091117859;12.4808797836;3;26.0811839104;
18;3;19.9694099426;12.5;3;26.5838193893;2;20.6214675903;12.5;3;26.1235535145;
19;3;19.9813594818;12.5;3;26.6379255056;2;21.6341781616;12.5;5;26.1671074629;
20;3;19.9935340881;12.5;3;26.6929937601;3;21.0651187897;12.5;3;41.211841464;
21;3;20.0059242249;12.5;3;26.7489811182;3;22.0771980286;13.5;3;42.0077478886;
22;3;20.0185203552;12.5;3;26.8058408499;3;23.08959198;14.5;3;42.7241904736;
23;3;20.0313148499;12.5;3;26.8635222912;3;23.1023006439;15.5;3;43.3603212833;
24;3;20.04429245;12.5;3;26.9219712019;3;23.1153182983;16.5;5;43.9186457396;
25;3;20.0574436188;12.5;3;26.9811300039;3;23.1286411285;17.5;5;44.4041546583;
26;3;18.0707550049;13.5;3;27.0409376621;3;23.1422634125;17.8853988647;6;44.8234524727;
27;3;18.625;13.5;4;27.1013302803;3;23.1561775208;17.9957275391;6;45.1839675903;
28;3;19.625;13.5506649017;4;27.1622409821;3;23.170375824;18.9957275391;6;45.4933190346;
29;3;19.625;13.581120491;4;27.2236001492;3;23.1848506927;19.9957275391;6;45.6651450396;
30;4;20.625;14.1118001938;3;28.285336256;3;23.1995887756;20.9957275391;6;45.72067523;
31;4;20.1392002106;13.5;2;28.3973753452;3;23.2145824432;21.9957275391;5;45.7771017551;
32;4;20.625;14.0249996185;2;28.5116174221;3;22.75;23.8131942749;5;45.8343759775;
33;4;19.4151134491;13.5;2;28.628010869;3;22.75;24.743812561;6;45.8924454451;
34;4;18.4413032532;14.5;3;28.7464977503;3;23.2609596252;23.8999996185;6;45.9512542486;
35;5;18.625;14.10597229;2;28.8670144081;3;23.2768383026;23.8999996185;7;46.0107431412;
36;5;17.4950790405;13.5;4;28.9894902706;3;22.75;24.8249416351;7;46.0708494186;
