Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;6.0;12.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;10.0;5;21.0;2;8.0;10.1999998093;4;21.0;
4;2;8.14999961853;10.6999998093;4;22.8400001526;2;9.19999980927;10.0;4;21.0299999714;
5;2;8.42599964142;10.9200000763;4;23.6101437807;2;9.20600032806;10.0;4;21.0605909824;
6;2;9.51900005341;11.2650718689;4;24.252141118;2;10.3181772232;10.0;4;21.091766119;
7;2;10.4567317963;11.543302536;4;24.785192728;2;11.3275299072;10.0;4;21.1235172749;
8;2;10.5766677856;11.7641716003;4;25.4766200781;2;11.3370552063;10.0;4;21.5670698881;
9;2;10.7322397232;12.0549411774;4;26.0503197908;2;11.4701213837;10.1999998093;4;21.9382035732;
10;2;10.8613214493;12.2827939987;4;26.5291198492;2;11.5814609528;10.3632001877;4;22.2480803728;
11;2;10.9690513611;12.4589796066;5;26.7463183403;2;11.6744241714;10.4951858521;4;23.3592649698;
12;2;13.8897686005;12.5;5;26.8904539347;2;12.0077791214;11.0209560394;4;24.2933903933;
13;2;15.8897686005;12.5;3;27.0437612534;2;14.0077791214;11.4571752548;4;25.0641713142;
14;2;16.9871025085;12.5;3;27.2063677311;2;16.0077800751;11.8107032776;4;25.691778779;
15;2;18.02368927;12.5;3;27.3783240318;2;17.0651283264;12.0916318893;4;26.198879838;
16;2;19.0623779297;12.5;3;27.559592247;2;18.0854549408;12.3113050461;4;26.6077592373;
17;2;20.1031646729;12.5;3;27.7500362396;2;19.1063728333;12.4808797836;4;26.7176665068;
18;2;20.2437591553;12.5;4;27.9494128227;2;20.1278743744;12.5;4;26.7912226915;
19;2;19.625;13.3848237991;4;28.1573636532;2;21.1499404907;12.5;4;26.8666112423;
20;2;19.625;13.4472093582;4;28.3734104633;2;21.5;13.0599832535;5;26.943765521;
21;2;20.3840179443;12.5;4;28.5969524384;2;22.0831298828;12.5;6;27.0226092339;
22;3;19.625;13.5;4;28.8272669315;2;22.1067829132;12.5;7;27.1030561924;
23;4;19.625;12.5;3;29.0635137558;2;22.1309165955;12.5;7;27.1850111485;
24;4;19.625;12.5;4;29.3047437668;2;21.5;13.155503273;7;27.2683691978;
25;4;17.625;14.5;4;29.5499100685;3;22.1805114746;12.5;6;27.3530163765;
26;4;16.625;15.8649730682;4;29.7978844643;3;21.5;12.5;6;27.4388306141;
27;4;16.625;15.5;4;30.0474758148;3;22.2316493988;12.5;6;27.5256814957;
28;4;15.760682106;16.5;4;30.2974534035;3;22.2577037811;12.5;6;27.6134316921;
29;4;15.1919269562;17.5;3;31.5465683937;3;21.5;13.5;7;27.7019374371;
30;4;15.0;19.5;2;31.9235810041;3;21.5;13.8509683609;7;27.7910490036;
31;4;16.0;21.5;2;32.3127144575;3;21.5;13.8955249786;7;27.8806123734;
32;4;16.0;23.5;2;32.7142481804;3;21.5;13.9403057098;7;27.9704699516;
33;4;16.0;24.638261795;2;34.1285641193;3;21.5;13.9852352142;7;28.0604612827;
34;4;17.0;26.255115509;2;34.586132884;3;22.418138504;12.5;7;28.1504247189;
35;4;18.0;27.3837089539;3;35.0580801964;3;22.4451274872;12.5;7;28.2401983738;
36;4;18.0;28.5089130402;2;35.5449569225;3;21.5;13.5;7;29.329621315;
37;4;19.0;26.6303462982;2;36.0472841263;3;22.5;14.1648101807;7;29.468534708;
38;4;18.0;27.7476997375;3;36.5654860735;3;23.5;14.2092676163;7;29.6087579727;
39;5;18.0;28.8607311249;4;37.0998140574;3;24.5;14.8043785095;7;29.750164628;
40;6;19.0;26.3749008179;3;37.6502621174;3;25.5;14.2971076965;6;29.8926285505;
41;6;18.0;28.0731563568;3;38.2164785862;3;26.5;14.340341568;6;30.0360238552;
42;6;19.0;27.0901317596;3;38.7976834774;3;27.8809928894;17.340341568;6;30.1802256107;
43;6;19.0;26.1073646545;3;39.3925971985;3;28.0540676117;20.340341568;6;30.3251100779;
44;6;19.2982387543;24.4620933533;2;39.9993854761;3;28.0975322723;23.340341568;5;30.470554471;
45;6;19.9177417755;25.1804790497;2;40.6156382561;3;27.7042751312;25.5;6;30.6164373159;
46;6;20.946062088;26.1804790497;3;41.2383768559;3;26.5;28.5;6;30.7626389265;
47;6;21.9723491669;28.1804790497;3;41.8641042709;3;27.5;27.5;6;30.909040451;
48;6;22.9966888428;30.1804790497;4;42.4888986349;3;26.5;28.5;6;31.0555238724;
49;6;24.358291626;32.180480957;4;43.0423895121;3;26.5;29.5;6;31.2019720078;
50;6;25.0249996185;34.180480957;4;43.5678414106;3;27.5;28.4033946991;7;31.3482692242;
51;6;26.006111145;32.5;4;44.0863958597;3;27.8397159576;28.4412765503;6;31.4942990541;
52;6;25.6499996185;33.3104858398;4;44.593485117;4;28.8602714539;28.5;5;32.639945507;
53;7;27.0233955383;33.5;3;47.0849245787;4;29.8802089691;29.5;6;32.8250927925;
54;7;28.6499996185;36.3491897583;3;47.8170592785;4;29.8995227814;30.5;7;33.0108084679;
55;7;29.6499996185;38.3687362671;3;48.5577317476;4;29.9182052612;31.5;7;33.1969769001;
56;7;29.9369716644;40.3883895874;4;49.3074846268;5;29.936252594;32.5;6;33.3834799528;
57;7;29.973487854;42.4081420898;5;50.0676323175;5;27.9536685944;33.5;6;33.5701943636;
58;7;29.6499996185;43.4279708862;5;50.8401707411;5;26.9704494476;34.5;6;33.7569937706;
59;7;29.6499996185;43.4093551636;5;51.6276437044;5;25.9866027832;35.5;6;33.9366393089;
60;7;30.1090564728;44.4678153992;7;52.4329607487;5;25.0;36.5;6;34.0734992027;
