Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;6.0;12.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;10.0;5;21.0;1;8.0;10.0;6;20.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;9.0;10.0;6;20.0;
5;2;8.27600002289;11.1199998856;4;23.5301437378;1;9.0;10.0;6;20.0;
6;2;9.50100040436;11.2650718689;4;24.1166050434;2;10.0;10.1999998093;5;21.0;
7;2;10.4262361526;11.543302536;4;24.5889341831;2;11.0;10.0;4;21.0;
8;2;10.5325098038;11.7641716003;4;25.212254405;2;11.0;10.0;4;22.2200007439;
9;2;10.6727571487;12.0549411774;4;25.7109264135;2;11.3600006104;10.6000003815;4;23.2577958107;
10;2;10.7849578857;12.2827939987;4;26.1074465513;2;11.6652793884;11.1087999344;4;24.1185404062;
11;2;10.8741750717;12.4589796066;4;26.2348128557;2;11.9173870087;11.5289793015;4;25.7504080534;
12;2;12.8741750717;12.5;4;26.2813059092;2;12.3975954056;12.329325676;4;27.0992633104;
13;2;14.8741750717;12.5;4;26.328953743;2;14.3975954056;12.9878778458;4;28.1769090891;
14;2;15.9055557251;12.5;4;26.3777402639;2;16.3975944519;13.5105419159;4;29.0147181749;
15;2;16.9165325165;12.5;4;26.4276455641;2;17.3478050232;13.9130096436;4;29.6530689001;
16;2;17.9277610779;12.5;4;26.4786461592;2;17.5292854309;14.2154760361;4;30.1331124306;
17;2;18.9392356873;12.5;4;26.5307145119;2;19.3478050232;14.4385232925;4;30.2905315161;
18;2;19.9509506226;12.5;5;26.5838193893;2;20.3478050232;14.5;5;30.3254981041;
19;2;19.9813594818;12.5;5;26.6379255056;2;21.3478050232;14.5;5;30.3609485626;
20;2;19.9935340881;12.5;5;26.6929937601;2;22.3478050232;14.5;5;30.3968646526;
21;2;20.0059242249;12.5;5;26.7489811182;2;22.7000007629;14.5;5;30.433226943;
22;2;20.0185203552;12.5;5;26.8058408499;2;22.7000007629;14.5;5;30.4700145721;
23;2;20.0313148499;12.5;6;26.8635222912;3;22.7000007629;14.5;4;30.5072057247;
24;3;20.04429245;12.5;5;26.9219712019;3;22.7000007629;14.5;4;30.5447772741;
25;3;20.0574436188;12.5;5;26.9811300039;3;22.7000007629;14.5;6;30.5827050209;
26;3;20.0707550049;12.5;5;27.0409376621;4;22.7000007629;14.5;5;30.6209636927;
27;3;19.625;13.5;5;27.1013302803;4;22.7000007629;14.5;5;30.6595270634;
28;3;19.625;13.5506649017;5;27.1622409821;4;22.7000007629;14.5;5;30.6983678341;
29;3;19.625;13.581120491;5;27.2236001492;4;22.7000007629;14.5;5;30.7374579906;
30;3;19.625;13.6118001938;5;27.285336256;4;22.7000007629;14.5;5;30.7767686844;
31;3;20.1392002106;12.5;5;27.3473753929;4;22.7000007629;14.5;6;31.8162703514;
32;3;19.625;13.5;5;27.409642458;4;23.7000007629;15.0;6;31.9659328461;
33;3;20.1671695709;12.5;5;27.4720609188;4;24.7000007629;15.0550003052;6;32.1266043186;
34;3;20.1812133789;12.5;5;27.534553051;4;24.7000007629;15.115439415;6;32.2990504503;
35;3;19.625;13.5;5;27.5970411301;4;24.7000007629;15.1817169189;6;32.484031558;
36;3;20.2093353271;12.5;5;27.6594469547;4;25.1525382996;14.5;6;32.6822860241;
37;3;19.625;13.5;5;27.7216928005;4;24.7000007629;15.3333587646;6;32.89451015;
38;3;20.2373809814;12.5;6;27.7837014198;4;24.7000007629;15.4194717407;6;33.1213355064;
39;3;19.625;13.5;6;27.8453965187;4;25.3077411652;14.5;6;33.3633015156;
40;3;19.625;13.9226980209;6;27.9067034721;4;25.3683586121;14.5;7;34.6208274364;
41;3;21.2790088654;13.0;5;28.967549324;4;25.7000007629;16.0;7;34.9641803503;
42;3;22.2926979065;13.0;5;29.0678632259;4;27.5037689209;20.0;7;35.3275939226;
43;3;21.625;14.0200004578;5;29.1687607765;4;27.9219303131;24.0;7;35.7110741138;
44;3;22.5629711151;17.0200004578;5;29.2701778412;4;28.0251693726;28.0;9;36.1143702269;
45;3;22.5857906342;20.0200004578;5;29.372050643;4;26.7000007629;32.0;9;36.5369467735;
46;3;22.6087112427;23.0200004578;5;29.4743152857;4;26.7000007629;36.0;9;36.9779618979;
47;3;22.6317214966;26.0200004578;5;29.5769081116;4;28.1454620361;34.5;11;37.4362539053;
48;3;22.6548042297;27.5;5;29.6797659397;4;27.1744861603;35.5;11;37.9103400707;
49;3;22.6779460907;27.5;6;29.7828259468;4;26.7000007629;37.3415641785;11;38.3984262943;
50;3;22.7011356354;27.5;6;29.8860253096;4;26.7000007629;37.9370040894;12;38.8984305859;
51;3;22.7243556976;27.5;6;29.9893018007;4;27.2701759338;37.2180862427;12;39.40802145;
52;3;22.747592926;27.5;7;30.0925934315;4;27.7000007629;36.2180862427;13;39.9246683121;
53;3;22.7708339691;27.5;7;30.1958379745;5;26.4070358276;36.2180862427;10;51.9457027912;
54;3;22.7940635681;27.5;7;30.2989737988;5;28.4408664703;35.5;10;52.9283866882;
55;3;22.8172702789;27.5;7;30.4019392729;5;30.3307361603;36.5;11;53.8733685017;
56;3;22.8404350281;27.5;8;30.5046727657;5;30.4621143341;37.5;11;54.7771635056;
57;3;22.8635501862;27.5;8;30.6071128845;5;30.5926189423;38.5;11;55.6374411583;
58;3;22.8866004944;27.5;8;30.7091978788;5;30.721572876;39.5;11;56.4529154301;
59;3;22.909570694;27.5;9;30.8108659983;5;30.8483581543;40.5;12;57.2232091427;
60;3;22.9324455261;27.5;9;30.9120556116;5;30.972410202;41.5;12;57.948700428;
