Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;6.0;12.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;11.0;5;20.0;
3;2;8.0;10.1999998093;4;22.0;1;8.0;10.0;5;20.0;
4;2;8.29999923706;10.5;4;22.8600001335;1;9.0;10.0;5;20.0;
5;2;8.42899990082;10.9200000763;4;23.5703396797;1;9.0;10.0;5;20.0;
6;2;9.5100440979;11.2650718689;4;24.1471868753;1;10.0;10.0;5;20.0;
7;2;10.4331178665;11.543302536;4;24.6094940901;1;11.0;10.0;5;20.0;
8;2;10.5371360779;11.7641716003;4;25.2225904465;1;11.0;10.0;5;20.3999996185;
9;2;10.6750831604;12.0549411774;4;25.7104232311;1;11.1199998856;10.1999998093;5;20.7264003754;
10;2;10.7848453522;12.2827939987;4;26.0954813957;2;11.2179203033;10.5631999969;4;21.9903717041;
11;2;10.8714828491;12.4589796066;5;26.210757494;2;11.597111702;10.4951858521;4;23.0719120502;
12;2;13.7921991348;12.5;5;26.2445284128;2;11.9215736389;11.0209560394;4;23.9749414921;
13;2;15.7921991348;12.5;5;26.2788209915;2;13.9215736389;11.4571752548;5;24.7131726742;
14;2;16.8149909973;12.5;5;26.3136199713;2;15.9215736389;11.8107032776;5;25.3067810535;
15;2;17.8228206635;12.5;5;26.348908782;2;16.94962883;12.0916318893;5;25.7784451246;
16;2;18.8307609558;12.5;5;26.3846695423;2;17.9593238831;12.3113050461;5;26.1504684687;
17;2;19.8388061523;12.5;5;26.4208831787;2;18.9691867828;12.4808797836;5;26.2221269608;
18;2;19.9446983337;12.5;6;26.4575294256;2;19.9792118073;12.5;5;26.2560760975;
19;2;19.625;12.9372587204;6;26.4945867062;2;20.989397049;12.5;5;26.2905418873;
20;2;19.625;12.9483757019;6;26.5320322514;2;21.8871631622;12.5;6;26.3255085945;
21;2;19.969707489;12.5;6;26.5698423386;2;21.8976516724;12.5;6;26.3609591722;
22;2;19.625;12.9709529877;7;26.6079919338;2;21.9082870483;12.5;6;26.3968753815;
23;3;19.9867973328;12.5;6;26.6464552879;2;21.9190635681;12.5;6;26.4332377911;
24;4;19.625;12.9939365387;5;26.6852053404;2;21.5;12.9299716949;6;26.4700255394;
25;4;19.625;13.0055618286;5;26.7242144346;2;21.5;12.9410076141;6;26.5072168112;
26;4;17.625;14.0172643661;4;26.7634538412;2;21.9521656036;12.5;7;26.5447884798;
27;4;16.625;15.3817272186;4;26.8028943539;2;21.9634361267;12.5;7;26.5827163458;
28;4;15.625;16.4014472961;4;26.8425058126;2;21.5;13.2913579941;7;26.6209751368;
29;4;14.625;17.4212532043;4;26.8822578192;3;21.9862918854;12.5;6;26.6595385075;
30;4;14.0;18.4411296844;4;26.9221191406;3;19.5;14.3297691345;6;26.6983793974;
31;4;14.0;19.4610595703;4;26.9620585442;3;18.5;15.3491897583;6;26.7374696732;
32;4;14.0;20.4810295105;4;27.0020442009;3;17.5;16.3687343597;6;26.7767804861;
33;4;14.0;21.5010223389;4;27.0420441628;3;16.5;17.3883895874;6;26.8162822723;
34;4;14.0;22.5210227966;4;27.0820264816;3;15.5;18.4081420898;6;26.8559447527;
35;4;14.0;23.5410137177;4;27.1219592094;3;15.0567836761;18.5;7;26.8957372904;
36;4;15.0;25.0609798431;3;28.1618103981;3;14.5687217712;19.5;7;26.9356285334;
37;4;16.0;26.0809059143;4;28.2415485382;3;14.5806884766;20.5;7;26.9755871296;
38;5;17.0;24.1207752228;3;28.3223261833;3;14.5926761627;21.5;7;27.015581131;
39;5;16.0;25.1611633301;4;28.4041142464;3;14.6046743393;22.5;7;27.0555787086;
40;5;16.0;26.2020568848;4;28.4868811369;3;14.6166734695;23.5;7;27.0955479145;
41;5;17.0;24.2434406281;3;28.5705925226;3;14.6286640167;24.5;8;28.135456562;
42;5;16.0;25.2852954865;4;29.6552119255;3;16.0;24.0;8;28.2252731323;
43;5;17.0;26.3276062012;4;29.7907001972;3;16.6525821686;23.5;8;28.3169410229;
44;5;19.0;24.370349884;4;29.9289906025;3;16.6644897461;25.0509872437;9;28.4104539156;
45;5;18.0;25.4135074615;4;30.070063591;3;17.0;24.0779743195;9;28.5058008432;
46;5;18.0;26.4570560455;4;30.2138917446;3;16.6881561279;24.10597229;9;28.6029658318;
47;5;19.0;24.5009727478;4;30.3604393005;3;17.6998977661;24.10597229;8;28.7019269466;
48;5;20.9203548431;26.5009727478;4;30.5096611977;3;18.7115650177;25.10597229;8;28.8026565313;
49;5;21.3503131866;28.5009727478;5;30.6615029573;4;19.0;26.10597229;7;28.9051197767;
50;5;22.960603714;30.5009727478;6;30.8159003258;4;20.0;27.10597229;7;29.0092753172;
51;5;23.3746566772;32.5009727478;6;30.9727779627;4;21.456741333;27.5;7;29.1150747538;
52;5;24.2391662598;33.2264137268;8;31.1320499182;4;22.477191925;27.5;8;29.2224617004;
53;5;24.646818161;32.5;9;31.2936197519;4;23.4982337952;27.5;8;29.3313717842;
54;5;23.625;34.4171905518;9;31.4573787451;4;24.0198535919;27.5;9;29.441732645;
55;5;24.6880207062;32.5;11;31.6232069731;4;24.0420360565;27.5;9;29.5534636974;
56;5;24.2696609497;33.4756278992;13;31.7909731865;4;24.3012733459;28.4412765503;10;29.6664756536;
57;5;23.625;34.5053710938;12;31.960534215;4;23.5;28.4800319672;10;29.7806708813;
58;5;24.7501049042;32.5;14;32.1317358017;4;24.1117744446;27.5;11;29.8959434032;
59;5;24.2912197113;33.5;14;32.3044128418;5;23.5;28.5;9;30.0121791363;
60;5;24.7914886475;32.5;14;32.4564805031;5;24.1606826782;27.5;9;30.1292560101;
