Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;6.0;12.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;11.0;5;20.0;2;7.0;11.3999996185;4;21.0;
3;2;8.0;10.1999998093;4;22.0;2;8.19999980927;10.0;4;21.0599999428;
4;2;8.29999923706;10.5;4;22.870000124;2;9.21199989319;10.0;4;21.1229639053;
5;2;8.43050003052;10.9200000763;4;23.5907347202;2;9.22459316254;10.0;4;21.1889609098;
6;2;9.51463317871;11.2650718689;4;24.178371191;2;10.3566884995;10.0;4;21.2580518723;
7;2;10.4401340485;11.543302536;4;24.6518604755;2;11.377415657;10.0;4;21.3302885294;
8;2;10.5466680527;11.7641716003;4;25.2769526243;2;11.3990869522;10.0;4;21.8190145493;
9;2;10.6873140335;12.0549411774;4;25.7773911953;2;11.5457038879;10.1999998093;4;22.2388005257;
10;2;10.7999124527;12.2827939987;4;26.175667882;2;11.6716403961;10.3632001877;4;22.6008902788;
11;2;10.8895254135;12.4589796066;5;26.3047758341;2;11.7802667618;10.4951858521;4;23.8036500216;
12;2;13.8102416992;12.5;5;26.3529902697;2;12.1410951614;11.0209560394;4;24.838842392;
13;2;15.8102416992;12.5;5;26.4023339748;2;14.1410951614;11.4571752548;5;25.7205557823;
14;2;16.8427810669;12.5;5;26.4527852535;2;15.6125736237;12.6503629684;5;26.469255209;
15;2;17.854133606;12.5;5;26.5043187141;2;16.6125736237;13.0060281754;5;27.1078031063;
16;2;18.8657283783;12.5;5;26.556904912;2;17.6125736237;13.3053817749;5;27.658561945;
17;2;19.8775596619;12.5;5;26.6105105877;2;18.6125736237;13.5596008301;5;27.9207231998;
18;2;19.625;12.9831533432;6;26.6650986671;2;19.6125736237;13.6682891846;5;28.156696558;
19;2;19.625;12.9995298386;6;26.7206280231;2;20.6125736237;13.7626781464;6;28.4042859077;
20;2;19.625;13.0161886215;6;26.777053833;2;21.5;14.2021427155;6;28.6628656387;
21;3;19.625;13.0331163406;5;26.8343273401;2;21.5;14.3314323425;6;28.9316151142;
22;3;19.625;13.0502986908;6;26.8923960924;3;21.5;14.4658079147;5;29.2095170021;
23;4;20.0507888794;12.5;5;26.9512042999;3;21.5;14.6047582626;5;29.4953637123;
24;4;20.0640220642;12.5;5;27.0106925964;3;21.5;14.7476816177;5;29.7877707481;
25;4;18.0774059296;13.5;5;27.0707983971;3;21.5;14.8938856125;6;30.0851979256;
26;4;17.0909290314;14.5;5;27.1314563751;3;21.5;15.0425987244;6;30.3859772682;
27;4;17.625;13.5;5;27.1925981045;3;21.5;15.1929883957;6;30.6883473396;
28;4;18.625;13.5962991714;5;28.2541532516;3;21.5;16.1929893494;6;30.9904928207;
29;4;18.1321849823;13.5;5;28.4860488176;3;21.5;16.6933441162;6;31.2905869484;
30;4;18.1461105347;14.5;5;28.745121479;3;21.5;16.9034118652;6;32.5868368149;
31;4;18.625;14.1834554672;5;29.034832716;3;21.5;15.9034109116;6;32.9175248146;
32;4;17.5328369141;13.5;6;29.3588491678;3;22.5;15.9034109116;6;33.2422327995;
33;4;16.9807415009;14.5;6;29.7209563255;3;21.9726696014;15.9034109116;6;33.5595114231;
34;4;17.0622138977;15.5;6;30.1249320507;3;21.0678539276;16.5;6;33.8680862188;
35;4;17.1531105042;16.5;6;30.5743713379;3;19.7307872772;16.0835533142;6;34.1668771505;
36;5;17.6053218842;15.5;5;31.0724608898;3;19.0943393707;15.5;7;34.4550116062;
37;5;16.7470016479;15.5;5;31.62169981;3;18.5;15.1288738251;7;34.7318274975;
38;5;17.4898834229;16.5;5;32.2235786915;3;19.5;15.1524085999;7;34.9968693256;
39;5;17.6253051758;17.5;5;32.8782317638;3;18.9059104919;13.5;7;35.2498768568;
40;5;17.6608066559;16.5;5;33.5840930939;3;18.5;14.2011880875;7;35.4907711744;
41;5;17.6744403839;16.5;6;34.337603569;3;19.5;15.2264137268;7;35.7196354866;
42;5;17.0;16.5;6;35.133014679;4;20.5;16.2521820068;6;35.9366903305;
43;5;17.7013092041;15.5;6;35.9623494148;4;21.9670848846;16.5;7;36.1422734261;
44;5;17.0;15.5;6;36.8155641556;5;22.983165741;19.5;6;36.3368149996;
45;5;18.7275505066;14.5;6;37.6809363365;5;23.5;22.5;6;36.5208165646;
46;5;17.7404022217;13.5;6;38.5456621647;5;23.5;25.5;6;36.6948311329;
47;5;19.7530574799;16.5;6;40.3966197968;5;24.0331306458;28.5;6;36.8343759775;
48;5;22.239238739;20.5;7;41.3512037992;5;23.5;31.5;6;36.8924454451;
49;5;24.4247703552;24.5;7;42.2835539579;5;24.0677337646;32.5;6;36.9512542486;
50;5;25.8887996674;28.5;7;43.1857755184;5;24.0853767395;33.5;7;37.0107431412;
51;5;27.0918006897;31.5;8;44.0523939133;5;24.5;32.5;8;37.0708494186;
52;5;27.547662735;32.5;9;44.8804920912;5;24.1212539673;32.5;7;37.1315076351;
53;5;27.6888999939;33.4093551636;9;45.6695892811;5;23.5;34.5;8;37.1926498413;
54;5;28.2756576538;32.5;9;46.4213111401;5;25.1577949524;31.5;9;37.2542052269;
55;5;27.5987205505;33.5;10;47.138920784;5;23.5;33.5;9;37.3161010742;
56;6;27.7496929169;34.4034767151;9;47.8267865181;5;24.1948299408;33.5;9;37.3782629967;
57;6;27.2543373108;33.5;10;48.4898507595;5;25.2134780884;31.5;9;38.4406147003;
58;6;28.0334854126;32.5;10;49.1331484318;5;25.2321853638;33.5;9;38.5230793953;
59;6;27.3801651001;33.5;11;49.7613973618;5;26.2509231567;35.5;9;38.6057753563;
60;6;27.4293727875;32.5;11;50.263862133;5;27.2696743011;34.5;10;38.6886183023;
61;6;27.4500007629;32.5;11;50.6789975166;5;25.5;37.5;8;38.7715233564;
62;6;27.4500007629;32.5;11;52.1151270866;5;26.3071117401;38.5;8;38.8544065952;
63;6;26.4500007629;34.5;11;52.5895996094;6;27.5;39.0509490967;5;39.9371842146;
64;6;27.4500007629;36.5;11;53.0793352127;7;27.5;41.4685897827;5;40.1097732782;
65;6;25.8590431213;39.5;11;53.5804883242;7;28.6897659302;42.0719451904;5;40.2892112732;
66;6;25.8636322021;42.5;15;54.0887526274;7;28.856136322;42.0825614929;6;40.4757996798;
67;7;25.625;43.9030418396;14;55.8912359476;6;25.5;39.5920333862;6;39.2656027079;
68;7;26.872926712;44.9888534546;15;56.512163043;6;25.5;40.6328010559;6;39.3466411829;
69;7;29.625;42.0481643677;15;57.1342401505;6;26.5;38.6733207703;6;40.7894434929;
70;7;27.625;45.0565948486;16;59.7377940416;6;26.771402359;38.6257171631;7;42.9912399054;
71;10;28.8500003815;49.453086853;13;63.0283995867;6;27.0340003967;42.0266571045;7;44.0462374687;
72;11;30.0255012512;53.655166626;12;65.0982096195;6;28.2123565674;45.0759735107;7;44.9333857298;
73;11;31.3977680206;52.5298843384;13;66.9268392324;6;31.3458442688;42.5684356689;8;45.5382039547;
74;11;30.5120506287;55.5430984497;14;68.4024492502;6;31.5181045532;44.6697769165;8;45.9452821016;
75;12;30.2593841553;53.5404968262;13;69.6136194468;6;32.5546989441;46.680896759;8;46.335960269;
76;12;31.5424461365;51.8479156494;12;70.6926442385;6;31.3999996185;49.3571968079;8;46.7111792564;
77;12;30.5508270264;52.827671051;13;71.5637712479;7;30.3999996185;49.4060897827;9;47.0719488859;
78;12;30.5557956696;54.3072624207;14;72.4059489965;7;28.3999996185;51.5614051819;9;47.3445981741;
79;12;28.5933628082;54.2538337708;14;73.2190845013;7;27.3999996185;53.6722984314;10;47.5678392649;
80;12;25.2593841553;58.0276870728;14;74.0038232803;7;27.3999996185;52.7839202881;11;47.7922697067;
81;13;24.0;60.235332489;13;74.7613186836;7;27.3999996185;53.78150177;12;48.0176233053;
82;13;25.0;60.3927078247;14;75.4930102825;8;28.3999996185;54.8385047913;11;48.243635416;
83;13;24.0;63.4180641174;15;76.2004349232;8;30.3999996185;52.8970756531;11;48.4700428247;
84;13;24.0;63.4449996948;15;76.8850752115;8;30.3999996185;54.9571800232;14;48.6965831518;
85;13;25.0;61.4734992981;11;77.4662054777;8;31.3999996185;57.0187606812;12;48.9229961634;
86;13;24.0;64.5035247803;12;77.9705700874;8;32.4000015259;58.0593147278;12;49.1490223408;
87;14;26.0;63.5427093506;11;78.4752042294;8;31.3999996185;61.1124725342;13;49.3744040728;
88;14;28.525177002;63.4159240723;12;78.9781574011;8;31.3999996185;64.1669235229;14;49.5988839865;
89;14;30.5496807098;64.7352294922;13;79.4774786234;9;32.4000015259;64.2225875854;11;49.8222056627;
90;14;32.375;64.7329864502;13;79.9712585211;9;31.3999996185;67.2793655396;9;50.0441129208;
91;14;32.8372306824;65.7082519531;12;80.4059767723;9;31.3999996185;70.3371582031;10;50.2643511295;
92;14;31.875;68.509979248;12;80.8259268999;9;32.4000015259;70.3958435059;11;50.4826668501;
93;14;33.2470092773;67.6922149658;12;82.2382129431;9;32.0794487;70.9454116821;12;50.6988067627;
94;14;33.9314651489;70.6663665771;11;82.7013674974;10;32.1064910889;72.9454116821;12;50.9125213623;
95;14;34.2570114136;75.6641464233;11;84.1570792198;10;31.7337608337;73.8256835938;11;51.1235626936;
96;14;33.875;80.1283416748;11;85.7043430805;10;30.7611961365;73.8702392578;13;51.3316881657;
97;14;34.6361961365;85.4943771362;11;88.4012517929;10;29.7887268066;73.9131164551;14;51.4995589256;
98;14;38.2014007568;92.5031433105;12;89.3485308886;10;28.8162899017;72.935798645;15;51.643014431;
99;14;44.8080368042;92.594543457;12;90.3449399471;10;28.8438148499;72.9463653564;16;51.7858457565;
100;14;46.5463066101;98.5801391602;12;91.3957324028;10;29.2712364197;72.9568405151;16;51.9277493954;
