Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;6.0;12.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;10.0;4;21.0;1;8.0;10.0;5;20.0;
4;2;8.14999961853;10.6999998093;3;22.8400001526;1;9.0;10.0;5;20.0;
5;2;8.42599964142;10.9200000763;3;23.5701436996;1;9.0;10.0;5;20.0;
6;2;9.51000022888;11.2650718689;3;24.1677889824;1;10.0;10.0;5;20.0;
7;2;10.4377527237;11.543302536;3;24.6518967152;1;11.0;10.0;5;20.0;
8;2;10.5466766357;11.7641716003;3;25.2882254124;1;11.0;10.0;5;20.3999996185;
9;2;10.6898508072;12.0549411774;3;25.8007466793;1;11.1199998856;10.1999998093;5;20.7264003754;
10;2;10.8051681519;12.2827939987;3;26.211971283;2;11.2179203033;10.5631999969;4;21.9903717041;
11;2;10.897693634;12.4589796066;4;26.3549081087;2;11.597111702;10.4951858521;4;23.1719120741;
12;2;13.8184099197;12.5;4;26.4178448915;2;11.9515733719;11.0209560394;4;24.1897815466;
13;2;15.8184099197;12.5;4;26.4828127623;2;13.9515733719;11.4571752548;5;25.0591306686;
14;2;16.8608894348;12.5;4;26.5497941971;2;15.9515733719;11.8107032776;5;25.8015987873;
15;2;17.8759613037;12.5;4;26.6187632084;2;17.0980739594;12.0916318893;5;26.441321969;
16;2;18.8914775848;12.5;4;26.6896851063;2;18.1581878662;12.3113050461;5;27.0020139217;
17;2;19.9074344635;12.5;4;26.7625159025;2;19.2246494293;12.4808797836;5;27.2842636108;
18;2;20.021566391;12.5;5;26.8372021914;2;20.2978534698;12.5;5;27.5518820286;
19;2;20.0383701324;12.5;5;26.9136811495;2;21.3781375885;12.5;5;27.8440244198;
20;2;20.0555782318;12.5;5;26.9918802977;2;22.3532066345;12.5;6;28.1613030434;
21;2;20.0731735229;12.5;5;27.0717172623;2;22.4483909607;12.5;5;28.5039470196;
22;2;20.0911369324;12.5;5;27.1531002522;2;22.5511837006;12.5;5;28.871723175;
23;2;20.1094474792;12.5;5;27.2359278202;2;22.6615161896;12.5;5;29.263862133;
24;2;20.1280841827;12.5;6;27.320089817;2;22.7791595459;12.5;5;29.6789975166;
25;2;20.14702034;12.5;6;27.4054670334;2;22.9036998749;12.5;5;30.1151270866;
26;2;20.166229248;12.5;6;27.4919323921;2;23.034538269;12.5;5;30.5695996284;
27;2;19.625;13.5;6;27.5793509483;2;21.5;13.5;5;31.0391392708;
28;2;20.2053546906;12.5;6;27.6675815582;2;22.5;12.5;4;31.5199065208;
29;2;20.2252063751;12.5;6;27.7564766407;2;23.4559726715;12.5;4;32.007601738;
30;2;20.2452068329;12.5;6;27.8458836079;2;21.6022796631;13.5;4;32.4976010323;
31;2;20.2653236389;12.5;6;27.9356460571;2;20.6022796631;13.5;4;32.9851250648;
32;2;19.625;13.5;6;28.0256047249;2;21.5;14.5;4;33.465420723;
33;2;20.3057613373;12.5;6;28.1155982018;2;21.5;15.5;4;33.9339466095;
34;2;19.625;13.5;6;28.2054646015;2;21.5;16.5;5;34.3865451813;
35;2;20.3462295532;12.5;7;28.2950425148;2;20.5;15.5;5;34.8195896149;
36;2;19.625;13.5;7;28.3841719627;2;20.5;15.5;6;35.2300891876;
37;2;20.3864383698;12.5;7;28.4726960659;2;20.5;15.5;6;35.6157541275;
38;2;19.625;13.5;8;28.5604617596;2;19.6847267151;16.5;6;35.9750175476;
39;2;19.625;14.2802305222;8;28.647320509;2;18.7925052643;17.5;6;36.307009697;
40;2;20.4456481934;12.5;8;28.7331302166;3;18.8921031952;19.2000007629;6;37.6115064621;
41;2;20.4649543762;12.5;8;28.8177554607;3;18.8921031952;18.2000007629;6;37.8888463974;
42;2;19.625;13.5;9;28.9010682106;3;18.6921024323;17.5;6;38.1398382187;
43;2;20.50274086;12.5;9;28.9829490185;3;19.6921024323;18.5;6;38.3656587601;
44;2;20.5211639404;14.5;9;29.0632872581;3;20.7096977234;19.5;6;38.5677556992;
45;2;20.5392398834;16.5;9;29.1419816017;3;21.7703266144;21.5;6;38.747756958;
46;2;20.5569458008;18.5;10;29.218940258;3;22.8243274689;23.5;11;38.9073896408;
47;2;20.5742607117;20.5;10;29.2940821648;4;23.4849948883;25.5;6;59.0;
48;2;20.59116745;22.5;10;29.3673357964;4;25.5100002289;28.5;6;60.2000007629;
49;2;20.6076507568;22.5;11;29.4386396408;4;27.5100002289;30.1399993896;6;61.2175998688;
50;2;20.6236934662;22.5;11;29.5079426765;4;29.2600002289;30.9182395935;6;62.0579586029;
51;2;20.6392860413;22.5;11;29.5752038956;4;30.2600002289;30.8342037201;6;62.736333847;
52;2;20.6544208527;22.5;13;29.6403913498;4;31.2600002289;30.7663650513;7;63.273645401;
53;2;20.6690883636;22.5;13;29.7034826279;4;32.2600021362;30.7126350403;7;63.6926937103;
54;2;20.6832828522;22.5;13;29.7644639015;4;33.2600021362;30.6707305908;7;64.0;
55;2;20.6970043182;22.5;13;29.8233304024;4;33.8850021362;30.6399993896;8;64.0;
56;2;20.7102489471;22.5;13;29.8800849915;4;33.8850021362;30.6399993896;8;64.0;
57;2;20.7230186462;22.5;13;29.9347376823;4;33.8850021362;30.6399993896;9;64.0;
58;2;19.625;23.5;14;29.9873056412;5;34.8850021362;31.6399993896;9;65.0;
59;2;19.625;24.5;15;30.0;5;35.8850021362;32.6399993896;10;65.0399999619;
60;3;20.625;22.5;14;30.0;5;35.8850021362;33.6399993896;10;65.0811839104;
61;3;20.75;22.5;14;30.0;5;36.1769180298;34.6399993896;10;65.1235535145;
