Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;6.0;12.0;4;20.0;1;6.0;12.0;4;20.0;
2;2;7.0;11.1999998093;4;21.0;1;7.0;11.0;5;20.0;
3;2;8.14999961853;10.0;4;22.0399999619;1;8.0;10.0;4;20.0;
4;2;8.30599975586;10.5;4;22.921184063;1;9.0;10.0;4;20.0;
5;2;8.43817806244;10.9200000763;3;23.6536972523;1;9.0;10.0;4;20.0;
6;2;9.52880001068;11.2650718689;3;24.2537125349;1;10.0;10.0;4;20.0;
7;2;10.4570856094;11.543302536;3;24.7401846647;2;11.0;10.1999998093;3;21.0;
8;2;10.5665407181;11.7641716003;3;25.379748702;2;11.3000001907;10.0;3;21.4999996424;
9;2;10.7104434967;12.0549411774;3;25.8955206871;2;11.4499998093;10.1999998093;3;21.9353003502;
10;2;10.8264923096;12.2827939987;3;26.310000658;2;11.5805902481;10.3632001877;3;22.3176362514;
11;2;10.9197502136;12.4589796066;4;26.4561861753;2;11.6952905655;10.4951858521;3;23.5373773575;
12;2;13.8404664993;12.5;4;26.5223525763;2;12.0612134933;11.0209560394;3;24.5968167782;
13;2;15.8404664993;12.5;4;26.590518117;2;14.0612134933;11.4571752548;4;25.5111111403;
14;2;16.8851242065;12.5;4;26.6606516838;2;16.0612125397;11.8107032776;4;26.3018171787;
15;2;17.9009037018;12.5;4;26.7327131033;2;17.2481403351;12.0916318893;4;26.9928781986;
16;2;18.9171161652;12.5;4;26.8066529036;2;18.3236541748;12.3113050461;4;27.6076834202;
17;2;19.9337539673;12.5;4;26.882412076;2;19.4063510895;12.4808797836;4;27.9463441372;
18;2;20.0485420227;12.5;5;26.9599220753;2;20.4964771271;12.5;4;28.2720229626;
19;2;19.625;13.0879764557;5;27.0391044617;2;21.5941810608;12.5;4;28.6230447292;
20;2;19.625;13.1117315292;5;27.1198713779;2;22.5869140625;12.5;5;28.9990065098;
21;2;20.1019706726;12.5;5;27.2021250725;2;21.5;13.5;4;29.3989467621;
22;2;20.1204776764;12.5;6;27.2857589722;2;22.5;12.5;4;29.8212919235;
23;3;20.139295578;12.5;5;27.3706576824;2;22.9463882446;12.5;4;30.2638244629;
24;4;19.625;13.2111968994;4;27.4566969872;2;23.0791473389;12.5;4;30.7236814499;
25;4;17.625;13.5;4;27.5437452793;2;21.5;12.5;5;31.19739151;
