Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;2;10.5999994278;14.0;3;26.7535991669;1;6.0;14.0;4;20.0;
2;2;10.3507194519;13.0;3;26.8501751423;1;7.0;13.0;6;20.0;
3;2;10.3700351715;12.8767995834;3;26.9550189972;1;8.0;12.0;6;20.0;
4;2;10.3910036087;12.8767995834;3;27.0686274767;1;8.0;11.0;6;20.0;
5;2;11.5452280045;12.8767995834;3;27.0539501905;1;8.0;10.0;6;20.0;
6;2;12.5801458359;12.8112640381;3;27.0610142946;1;9.0;10.0;6;20.0;
7;2;13.1183042526;12.752281189;2;27.1771227121;2;9.5;10.3000001907;5;21.0;
8;2;13.153137207;12.7373886108;2;27.3074020147;2;9.72500038147;10.0;5;21.469999671;
9;2;13.1922206879;12.723985672;2;28.4750812054;2;9.83075046539;10.1999998093;5;21.8705514669;
10;2;13.5425243378;13.2092924118;2;29.4401907921;2;9.92087364197;10.3632001877;5;22.2129640579;
11;2;15.3155097961;13.584897995;3;30.2399506569;2;9.99791717529;10.4951858521;5;23.3718163967;
12;2;17.3155097961;13.8691329956;3;30.9116961956;2;10.2586593628;11.0209560394;5;24.3595588207;
13;2;19.3155097961;14.0804729462;3;31.2798407078;2;12.0480051041;11.4571752548;4;25.1902494431;
14;2;20.5397205353;14.1310396194;3;31.5647125244;2;14.0480051041;11.8107032776;3;25.884378314;
15;2;21.6251811981;14.1310396194;3;31.8670675755;2;16.0480060577;12.0916318893;3;26.4648982286;
16;2;22.7158889771;14.1310396194;4;32.1862032413;2;17.137348175;12.3113050461;3;26.9543362856;
17;2;23.6558589935;14.1310396194;4;32.5210676193;2;18.171163559;12.4808797836;2;27.1521308422;
18;2;23.756319046;14.1310396194;4;32.8702454567;2;19.2070636749;12.5;3;27.3210272789;
19;2;23.8610725403;14.1310396194;4;33.2319602966;2;20.1472320557;12.5;3;27.4992582798;
20;2;23.969587326;14.1310396194;4;33.6040911674;2;20.1873321533;12.5;3;27.6867210865;
21;2;24.0812263489;14.1310396194;5;33.9842066765;2;20.229511261;12.5;3;27.8832085133;
22;2;24.1952610016;14.1310396194;5;34.3696188927;3;20.2737216949;12.5;2;28.0884003639;
23;2;24.3108844757;14.1310396194;6;34.7574515343;3;20.3198890686;12.5;3;28.3018581867;
24;2;24.4272346497;14.1310396194;6;35.1447205544;4;20.3679180145;12.5;2;28.5230212212;
25;2;24.5434150696;14.1310396194;6;35.5284247398;4;20.417678833;12.5;3;28.7512066364;
26;2;24.6585273743;14.1310396194;6;35.9056391716;4;20.4690208435;12.5;3;28.9856116772;
27;3;24.7716903687;14.1310396194;5;36.2736034393;4;20.5217628479;12.5;3;29.2253217697;
28;3;24.8820800781;14.1310396194;5;36.6298017502;4;20.5756969452;12.5;3;29.4693202972;
29;3;24.9889392853;14.1310396194;5;36.9720315933;4;18.6305961609;13.5;4;29.716504097;
30;3;25.0916080475;14.1310396194;5;37.2984495163;4;17.686214447;14.5;5;29.9657006264;
31;3;25.1895332336;14.1310396194;5;37.6076040268;5;16.7422828674;15.5;4;30.2156887054;
32;3;25.2822799683;14.1310396194;5;37.8984441757;5;15.7985305786;16.5;4;30.4652233124;
33;3;25.3695316315;14.1310396194;5;38.1703090668;5;15.229675293;17.5;4;30.7130589485;
