Turn;Planet_count_KI_1_SP_CHATO;Research_KI_1_SP_CHATO;Industry_KI_1_SP_CHATO;Ships_KI_1_SP_CHATO;Population_KI_1_SP_CHATO;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;13.0;10.0;4;20.0;2;6.0;12.8999996185;3;22.0;
2;2;13.3999996185;10.0;4;21.0;2;7.15000009537;11.6999998093;3;22.0900000334;
3;2;13.3999996185;10.0;5;21.0599999428;2;8.16349983215;10.6999998093;3;22.1871190071;
4;2;14.6359996796;10.0;5;21.1229639053;2;8.32806777954;10.5;3;22.2917383909;
5;2;15.6737785339;10.0;5;21.1889609098;2;8.34376049042;10.5;3;22.4042263031;
6;2;16.7133769989;10.0;5;21.6699410677;2;9.46595096588;10.5;3;22.5249304771;
7;2;17.761964798;10.1999998093;5;22.0818096399;2;10.0681095123;10.5;3;22.6541694403;
8;2;18.24908638;10.3632001877;5;23.2920063734;2;10.0971889496;10.5;3;23.2287653685;
9;2;18.9752025604;10.9097137451;5;24.3297555447;2;10.2264719009;10.7100000381;3;23.7334493399;
10;2;20.9752025604;11.3658018112;5;25.2069878578;2;10.3400268555;10.8792181015;3;24.1532578468;
11;2;22.9752025604;11.7372808456;5;25.9430538416;2;10.4344825745;11.0;3;26.0129473209;
12;2;24.217048645;12.0336990356;5;26.5605664253;2;10.8529129028;11.7700004578;3;27.6574776173;
13;2;24.936340332;12.2662630081;5;27.0822491646;2;12.5872430801;12.4126424789;3;29.0951218605;
14;2;25.2493495941;12.446267128;5;27.3607378006;2;14.5872430801;12.9308347702;3;30.3518810272;
15;2;25.4164428711;12.5;5;27.5410807133;2;16.5872421265;13.3366470337;4;31.4625301361;
16;2;27.4601688385;12.5;5;27.7306177616;3;17.8879413605;13.6469516754;4;32.4630823135;
17;2;28.573890686;12.5;5;27.9291167259;3;19.0082912445;13.879781723;4;33.2818861008;
18;2;29.6929893494;12.5;5;28.136231184;3;20.138425827;14.0;4;33.9008235931;
19;2;30.8172588348;12.5;6;28.3514947891;3;21.2776870728;14.0;4;34.5557665825;
20;2;31.0108966827;12.5;6;28.5743191242;3;21.7750473022;14.0;4;35.2404661179;
21;2;31.1445922852;12.5;6;28.8039934635;3;21.9291038513;14.0;4;35.9471020699;
22;3;31.2823963165;12.5;5;29.039689064;3;22.0880966187;14.0;4;36.6665449142;
23;3;31.4238128662;12.5;5;29.2804670334;3;22.2499713898;14.0;4;37.3887672424;
24;3;31.5682792664;12.5;5;29.5252895355;3;22.4124717712;14.0;4;38.1033678055;
25;3;31.7151737213;12.5;6;29.7730360031;3;22.5732574463;14.0;4;38.8001594543;
26;4;31.8638210297;12.5;5;30.022521019;3;22.7300338745;14.0;4;39.4697523117;
27;4;32.0135116577;12.5;5;30.2725157738;3;22.8806934357;14.0;4;40.1040582657;
28;4;32.1635093689;12.5;5;30.5217733383;3;23.0234127045;14.0;4;40.6966657639;
29;4;32.3130645752;12.5;5;30.769051075;3;23.1567497253;14.0;5;41.2430458069;
30;4;32.4614295959;12.5;5;31.0131368637;3;23.2796840668;14.0;6;41.7405805588;
31;4;32.6078834534;14.5;5;31.252872467;3;23.3916301727;14.0;6;42.1884441376;
32;4;32.7517242432;16.5;5;32.4871754646;3;23.4923992157;14.0;6;42.5873603821;
33;4;33.8923034668;19.5;5;32.7800583839;4;24.5821552277;14.5;6;43.9393005371;
34;4;35.0290336609;22.5;5;33.0691769123;4;25.6613426208;14.5;6;44.4071542025;
35;4;35.8415031433;25.5;5;33.3538758755;4;25.7306098938;14.5799999237;6;44.8581568003;
36;4;36.0123252869;26.5;6;33.6336193085;4;26.0930862427;14.0;6;45.2990169525;
37;4;36.1801681519;27.5;6;33.9079935551;4;25.8425998688;14.7770614624;6;45.7366806269;
38;4;36.3447952271;27.5;6;34.1767014265;4;26.2907524109;14.0;6;46.0669906139;
39;4;36.5060195923;27.5;6;34.4395589828;4;26.3650722504;14.0;5;46.375654459;
40;4;36.663734436;27.5;7;34.6964838505;4;26.4345226288;14.0;6;46.7230784893;
41;4;36.8178901672;27.5;7;34.947486043;4;26.5126914978;17.0;6;47.1118502617;
