Turn;Planet_count_KI_1_SP_CHATO;Research_KI_1_SP_CHATO;Industry_KI_1_SP_CHATO;Ships_KI_1_SP_CHATO;Population_KI_1_SP_CHATO;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
79;6;41.0999984741;53.0;14;70.0;3;25.8499984741;34.0;18;66.0;
80;6;41.0999984741;55.0;15;70.0;3;24.8499984741;33.0;18;66.0;
81;6;41.0999984741;57.0;15;70.0;3;24.8499984741;33.0;17;66.0;
82;6;40.0999984741;57.0;17;70.0;3;24.8499984741;33.0;17;66.0;
83;7;40.0999984741;58.0;18;70.0;3;25.7999992371;34.0;17;66.0;
84;7;41.0999984741;60.0;18;70.0;3;26.7999992371;35.0;16;66.0;
85;7;40.0999984741;60.0;18;70.0;3;26.7999992371;36.0;16;66.0;
86;7;40.0999984741;61.0;20;70.0;3;26.7999992371;37.0;17;66.0;
87;7;41.0999984741;63.0;21;70.0;3;26.7999992371;38.0;18;66.0;
88;7;41.0999984741;64.3499984741;19;71.4699993134;3;26.7999992371;39.0;18;66.0;
89;7;41.5410003662;65.8645019531;18;72.8777446747;3;26.7999992371;40.0;18;66.0;
90;8;42.9633216858;64.8645019531;12;74.2056159973;3;26.7999992371;41.0;20;66.0;
91;8;42.3616867065;66.8645019531;9;75.4399833679;3;26.7999992371;42.0;21;66.0;
92;8;42.7319946289;68.8645019531;8;77.5716171265;3;26.7999992371;43.0;21;66.0;
93;8;44.0714836121;71.8645019531;5;79.6356801987;3;27.7999992371;41.0;21;66.0;
94;9;46.378704071;75.8645019531;3;80.6525440216;3;26.7999992371;42.0;22;66.0;
95;9;48.6534080505;76.8645019531;3;81.5677645206;3;26.7999992371;43.0;22;66.0;
96;9;47.8963737488;80.8645019531;4;83.3866431713;3;27.7999992371;41.0;18;66.0;
97;9;49.109172821;85.8645019531;5;84.1763356924;3;26.7999992371;42.0;15;66.0;
98;9;50.2939300537;90.8645019531;5;83.8880823851;3;26.7999992371;43.0;13;66.0;
99;9;51.453125;92.8645019531;7;83.9307370186;3;27.7999992371;41.0;14;66.0;
100;9;51.5893745422;94.8645019531;6;83.9998347759;3;26.7999992371;42.0;13;66.0;
