Turn;Planet_count_KI_1_SP_CHATO;Research_KI_1_SP_CHATO;Industry_KI_1_SP_CHATO;Ships_KI_1_SP_CHATO;Population_KI_1_SP_CHATO;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
76;9;45.5249977112;70.4973754883;19;97.375878334;3;18.2749996185;37.0;12;47.0;
77;10;48.5249977112;68.6327514648;15;97.480243206;3;19.2749996185;35.0;14;47.0;
78;10;45.5249977112;71.2904129028;17;97.5655794144;3;18.2749996185;36.0;14;47.0;
79;11;45.5249977112;76.2904129028;17;97.628036499;3;18.2749996185;37.0;14;47.0;
80;11;45.5249977112;73.3659133911;17;97.690372467;3;19.2749996185;35.0;15;47.0;
81;11;44.5249977112;76.3659133911;17;97.7525100708;3;18.2749996185;36.0;13;47.0;
82;11;45.5249977112;79.8797988892;19;97.8143725395;3;18.2749996185;37.0;13;47.0;
83;11;45.5249977112;77.9138183594;19;97.8758842945;3;19.2749996185;35.0;13;47.0;
84;11;44.5249977112;79.9476547241;20;98.936971426;3;18.2749996185;36.0;14;47.0;
85;11;46.5249977112;83.9812545776;22;99.2775617838;3;18.2749996185;37.0;15;47.0;
86;11;49.5249977112;82.1545715332;22;99.6247221231;3;19.2749996185;35.0;15;47.0;
87;11;49.5249977112;81.1875915527;23;99.9778296947;3;18.2749996185;36.0;16;48.4099998474;
88;11;47.5249977112;86.2202529907;21;100.33623445;3;18.4032497406;37.0;17;49.5084953308;
89;12;49.5249977112;85.252532959;21;101.699268103;3;18.5102500916;38.0;17;50.35313797;
90;12;50.5249977112;85.0861358643;21;103.126250386;4;18.598400116;39.0;16;50.7567005157;
91;12;50.5249977112;91.1780166626;23;103.559464335;4;19.6702575684;37.0;17;51.0;
92;13;51.5249977112;92.2730407715;23;103.998301506;4;18.7250003815;38.0;18;51.0;
93;14;50.5249977112;94.3034744263;23;104.442155957;4;18.7250003815;39.0;18;51.0;
94;14;49.5249977112;99.333366394;23;104.890426993;4;19.7250003815;37.0;18;51.0;
95;14;49.5249977112;101.293914795;24;106.342520595;4;18.7250003815;38.0;19;51.0;
96;14;50.5249977112;104.275474548;24;106.867848754;4;18.7250003815;39.0;19;51.0;
97;14;52.5249977112;107.358695984;24;107.399978399;4;19.7250003815;37.0;20;51.0;
98;14;51.5249977112;107.906196594;24;107.938465834;4;18.7250003815;38.0;20;51.0;
99;14;51.5249977112;109.082626343;24;110.482852459;4;18.7250003815;39.0;20;52.0;
100;15;54.5249977112;113.264083862;24;111.145159125;4;20.7250003815;38.0;20;52.0399999619;
