Turn;Planet_count_KI_1_SP_CHATO;Research_KI_1_SP_CHATO;Industry_KI_1_SP_CHATO;Ships_KI_1_SP_CHATO;Population_KI_1_SP_CHATO;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
88;10;46.7999992371;105.764350891;26;96.0474982262;7;38.0;85.7421722412;23;111.682139277;
89;10;47.7999992371;109.180130005;26;97.4078893661;7;37.0;89.7831115723;24;111.828269243;
90;11;48.7999992371;112.605125427;28;98.7130556107;7;37.0;92.9141387939;25;111.978049874;
91;12;47.7999992371;119.037635803;28;99.9648641348;7;38.0;92.9890289307;25;112.131377339;
92;12;50.7999992371;116.47567749;29;101.060851574;8;39.0;94.0656890869;25;113.288128138;
93;12;48.7999992371;119.917060852;29;102.062348962;8;39.0;98.1440658569;27;113.628157973;
94;12;48.7999992371;123.359359741;30;103.038674235;8;40.0;99.2240753174;25;114.001577616;
95;12;51.7999992371;121.800010681;26;103.98735714;8;40.0;98.2744293213;22;114.412472367;
96;12;52.7999992371;120.236373901;27;105.906014562;8;39.0;103.326217651;22;114.865196347;
97;13;49.7999992371;127.665740967;26;107.765433073;8;40.0;104.379371643;23;115.364267349;
98;13;54.7999992371;127.085517883;27;108.729315996;8;41.0;101.55871582;23;115.914205313;
99;13;56.7999992371;128.493225098;23;110.00593698;8;39.0;104.645477295;27;116.519304276;
100;13;55.7999992371;135.374572754;23;111.21551621;8;39.0;108.826522827;28;117.183330059;
