Turn;Planet_count_KI_1_SP_CHATO;Research_KI_1_SP_CHATO;Industry_KI_1_SP_CHATO;Ships_KI_1_SP_CHATO;Population_KI_1_SP_CHATO;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
79;9;44.8053817749;75.9373168945;22;45.8718980551;7;30.8499984741;54.4000015259;15;84.2599999905;
80;9;45.8053817749;76.0413513184;22;46.1954827309;7;32.1155014038;56.4000015259;16;84.5558120012;
81;10;43.8053817749;78.1450958252;20;70.5184385777;7;31.8499984741;57.4000015259;16;84.891949296;
82;10;45.8053817749;79.2484436035;19;72.5205266476;7;32.8499984741;60.4000015259;18;85.2732024193;
83;10;47.8053817749;80.6993637085;19;74.2076871395;7;32.8499984741;63.4000015259;18;86.7045292854;
84;10;45.8053817749;82.8700256348;20;75.5966914892;7;33.7999992371;67.4000015259;20;87.2508877516;
85;10;45.7999992371;85.042098999;20;77.7002625465;7;34.7999992371;71.4000015259;20;87.8599661589;
86;10;46.7999992371;84.6748123169;20;79.6323503256;7;32.7999992371;70.4000015259;22;88.5360147953;
87;11;47.7999992371;86.3321609497;18;96.4346392155;7;31.7999992371;71.4000015259;22;89.2823492289;
88;11;50.7999992371;87.0131378174;20;98.9198484421;8;30.7999992371;73.4000015259;17;118.850901484;
89;11;53.7999992371;88.7164382935;21;102.295122385;8;29.75;76.4000015259;18;123.263608813;
90;12;51.7999992371;91.2993621826;22;105.642312765;8;29.75;79.5089263916;19;127.041176796;
91;12;51.7999992371;97.9021759033;24;107.954314709;8;29.75;82.5841369629;19;130.141228557;
92;12;51.7999992371;104.523162842;26;110.16988194;8;29.75;85.6626663208;19;132.650057316;
93;12;54.7999992371;103.019271851;28;112.289290547;8;29.75;88.7444229126;20;134.709374785;
94;12;53.7999992371;108.530204773;32;114.315723062;8;30.0;90.8292694092;21;136.351420522;
95;12;54.7999992371;115.053695679;33;116.253897429;8;31.0;92.9170455933;22;137.529579878;
96;12;57.7999992371;115.587158203;33;118.109002709;8;32.0;95.0075531006;22;138.707892418;
97;12;56.7999992371;122.127708435;34;119.787257791;8;33.0;97.1005477905;23;139.869716644;
98;12;57.7999992371;128.672241211;35;121.300262809;8;34.0;99.1957626343;23;140.99960041;
99;12;59.2777099609;132.217498779;36;122.781717181;8;36.0;98.2928848267;24;142.084290504;
100;12;60.4204673767;133.466033936;36;124.226961851;8;36.0;100.391586304;24;143.113452911;
