Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
72;2;21.6499996185;22.5;21;34.0;6;34.725189209;47.531463623;13;67.0327758789;
73;2;21.6499996185;22.5;22;34.0;6;36.0748291016;49.5977172852;14;68.4532539845;
74;2;21.6499996185;22.5;22;34.0;6;37.3918838501;50.8034057617;13;69.745626688;
75;2;21.6499996185;22.5;22;34.0;6;36.3918838501;52.9261665344;14;70.9049100876;
76;2;21.6499996185;22.5;23;34.0;6;36.3918838501;55.0483932495;13;71.9337477684;
77;2;21.6499996185;22.5;24;35.1800003052;6;38.3918838501;54.1700172424;13;72.8404507637;
78;2;21.9155006409;23.0;24;36.1270771027;6;37.3918838501;56.2909622192;14;73.6368455887;
79;2;20.0910015106;24.3899993896;24;36.8760938644;6;36.3918838501;58.4111404419;15;74.336378336;
80;2;20.1592674255;25.6872596741;24;37.463435173;6;36.0400009155;60.1856994629;15;74.9526445866;
81;2;20.2593841553;26.9097423553;24;37.7747268677;6;36.0400009155;61.3738555908;16;75.3435440063;
82;3;21.2999992371;25.0;24;37.8944940567;6;36.0400009155;62.5541687012;16;75.5686540604;
83;3;22.2999992371;24.0;24;38.0;7;37.0400009155;63.7011222839;15;90.7900083065;
84;3;22.5499992371;24.0;24;38.0;7;40.0400009155;62.845954895;16;92.0573616028;
85;3;22.5499992371;24.0;24;38.0;7;43.0400009155;62.9884872437;18;93.2254652977;
86;3;22.5499992371;24.0;24;38.0;8;46.0400009155;63.1285552979;17;94.2835633755;
87;3;22.5499992371;24.0;24;38.0;8;46.0400009155;64.4805755615;17;95.2278084755;
88;3;22.5499992371;24.0;25;38.0;8;47.0400009155;65.5412445068;18;96.0603079796;
89;3;22.5499992371;24.0;25;38.0;8;48.2959976196;66.6097183228;19;96.756182909;
90;3;22.5499992371;24.0;26;38.0;8;49.2959976196;67.666305542;19;97.3197779655;
91;3;22.5499992371;24.0;26;38.0;8;50.2959976196;68.7068328857;20;97.8028378487;
92;3;22.5499992371;24.0;26;38.0;9;51.2959976196;69.7545928955;19;99.2164368629;
93;3;22.5499992371;24.0;26;38.0;9;53.2959976196;71.6546325684;19;99.5276263952;
94;3;22.5499992371;24.0;26;38.0;9;54.2959976196;73.8461761475;20;99.7005791664;
95;3;22.5499992371;24.0;27;38.0;10;55.2959976196;75.9499359131;20;99.8739506006;
96;3;22.5499992371;24.0;27;38.0;10;56.7959976196;75.0518188477;20;100.047557712;
97;3;20.5499992371;25.0;27;38.0;10;55.7959976196;77.1516113281;21;100.221230507;
98;3;19.5499992371;26.0;27;38.0;10;55.7959976196;79.2491455078;24;100.394810677;
99;3;18.5499992371;27.0;27;38.0;10;56.7959976196;77.4941864014;24;101.236827493;
100;3;17.5499992371;28.0;28;38.0;10;55.7959976196;79.8647766113;24;102.08264339;
