Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;6.0;12.0;4;20.0;1;11.3999996185;16.0;4;32.0;
2;1;7.0;11.0;4;20.0;1;11.3999996185;16.0;6;32.0;
3;1;8.0;10.0;4;21.0;2;11.5999994278;16.0;5;32.5391998291;
4;1;8.14999961853;10.5;4;21.8400001526;2;11.5078401566;15.7695999146;5;31.9847840071;
5;1;8.27600002289;10.9200000763;4;22.5301437378;2;12.6150836945;15.4803199768;5;31.4885593653;
6;1;9.27600002289;11.2650718689;4;23.086605072;2;13.6224269867;15.2199678421;5;30.9123741388;
7;2;10.194486618;11.7433023453;3;24.5283432007;2;14.2737121582;14.9201154709;5;30.4728187323;
8;2;10.5188770294;11.7641716003;3;25.1498823166;2;14.1418457031;14.6884403229;5;30.0798659325;
9;2;10.6587238312;12.0549411774;3;25.6467719078;2;14.0239601135;14.479932785;5;30.0600734949;
10;2;10.7705230713;12.2827939987;3;26.0415127277;2;16.1640605927;14.4450435638;5;30.0489042997;
11;2;10.8593406677;12.4589796066;3;26.1671074629;2;18.1640605927;14.4136428833;4;30.0456637144;
12;2;13.7800559998;12.5;3;26.211841464;2;20.1640605927;14.3853826523;4;30.0497192144;
13;2;15.7800559998;12.5;3;26.2577478886;2;21.2120113373;14.3599481583;4;30.0604974031;
14;2;16.8102493286;12.5;3;26.3048160076;2;22.2289791107;14.3370571136;5;30.0774766207;
15;2;17.8208408356;12.5;3;26.3530313969;2;23.0232429504;14.3164558411;5;30.1001769304;
16;2;18.8316879272;12.5;3;26.4023760557;2;23.0300521851;14.297914505;5;30.1281598806;
17;2;19.8427906036;12.5;3;26.4528282881;2;23.0384483337;14.2812271118;5;30.1610225439;
18;2;19.9518871307;12.5;6;26.5043625832;3;23.0483055115;14.2662086487;4;30.1983898878;
19;3;19.9634819031;12.5;3;41.5569496155;3;22.5516147614;14.7605934143;4;30.239918232;
20;3;20.9753131866;12.5;5;42.3605561256;3;23.071975708;14.2405261993;6;30.2852839231;
21;4;21.9873752594;12.5;4;43.0845195055;4;23.0855846405;14.2295780182;5;30.3341832161;
22;4;22.625;12.99954319;4;43.7279651165;4;23.1002540588;14.2197246552;5;30.3863303661;
23;4;24.0121517181;12.5;5;44.293371439;4;23.1159000397;14.2108564377;5;30.4414558411;
24;4;25.024848938;12.5;5;44.7857023478;4;22.5217247009;15.2028751373;5;30.4993028641;
25;4;23.625;14.0503129959;5;45.2115353346;4;23.1497898102;14.1956920624;5;30.5596256256;
26;4;23.1725959778;14.5;5;45.5782722235;4;23.1678886414;14.1892271042;6;31.6221895218;
27;4;22.255109787;15.5;5;45.8935060501;4;24.1866550446;14.6834087372;6;31.8638235331;
28;4;21.3260383606;16.5;5;46.0708494186;4;24.5069046021;15.766699791;6;32.1365178823;
29;4;20.2749996185;18.5;5;46.1315076351;4;23.6437835693;15.1781721115;6;32.4441069365;
30;4;20.2749996185;19.5657539368;6;46.1926498413;4;21.5069046021;17.9896774292;6;32.7906957865;
31;4;20.2749996185;20.5963249207;6;46.2542052269;4;20.5069046021;19.408121109;6;33.1805567741;
32;4;20.2749996185;21.6271018982;6;46.3161010742;4;19.5069046021;20.6064872742;6;33.617982626;
33;4;20.2749996185;22.6580505371;6;46.3782629967;4;18.5069046021;21.8282928467;7;34.1070730686;
34;4;20.2749996185;23.6891307831;6;46.4406147003;4;17.5069046021;23.0756225586;8;34.6514527798;
35;4;20.2749996185;24.7203063965;7;46.5030794144;4;17.3680553436;22.915063858;9;35.2539274693;
36;4;20.2749996185;25.7515392303;7;46.5655794144;4;17.0;23.1781730652;9;35.916082859;
37;4;21.2749996185;23.7827892303;7;46.628036499;5;17.3774299622;24.6911964417;8;36.6378488541;
38;4;20.2749996185;24.8140182495;8;46.690372467;5;16.0;25.1781730652;9;37.417069912;
39;4;20.2749996185;25.8451862335;8;46.7525100708;5;16.9541130066;27.1781730652;9;38.2491452694;
40;4;21.2749996185;23.8762550354;9;46.8143725395;5;18.9770374298;27.1781730652;9;39.126812458;
41;4;20.2749996185;24.9071865082;10;46.8758842945;5;18.0;28.1781730652;9;40.0401394367;
42;4;20.2749996185;25.9379425049;10;46.936971426;5;21.0;29.1781730652;9;40.9767849445;
43;4;21.2749996185;25.9379425049;11;46.9975619316;5;22.0;29.1781730652;10;41.9225604534;
44;5;22.2749996185;26.9379425049;11;47.0575861931;5;21.0;30.1781730652;10;43.8622534275;
45;5;23.2749996185;27.9379425049;11;47.1169772148;5;25.0;30.1388988495;10;44.9414621592;
46;5;24.2749996185;28.9379425049;12;47.1756706238;6;26.1093673706;32.1381149292;12;46.0091364384;
47;5;25.9895248413;28.5;13;47.2336053848;6;28.5339813232;32.1374053955;12;47.0559754372;
48;5;26.6275615692;27.5;13;47.2907235622;6;26.9492969513;35.1367683411;13;48.0754985809;
49;5;25.8999996185;28.5;13;47.346971035;6;29.0214958191;34.1361961365;13;49.0643548965;
50;5;25.8999996185;29.1734848022;13;47.4022974968;6;30.2942657471;34.1356811523;14;50.0222687721;
51;5;25.8999996185;29.2011489868;13;47.4566559792;6;31.4066066742;34.1352157593;14;50.9516432285;
52;5;26.6777477264;27.5;13;48.5100040436;6;28.7094326019;36.1347961426;15;52.8569312096;
53;5;26.8999996185;29.5;13;48.6523030996;6;28.4193000793;38.1344223022;15;53.7896825075;
54;5;27.8999996185;31.2811508179;13;48.8006372452;6;31.5500812531;36.1340827942;16;54.7118531466;
55;5;28.9801425934;30.5;14;48.9553574324;6;31.3045787811;38.1340827942;16;55.6292703152;
56;5;27.8999996185;32.5;15;49.116805315;7;31.9577293396;39.1335067749;13;80.5467164516;
