Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;6.0;12.0;4;20.0;1;11.3999996185;16.0;4;32.0;
2;1;7.0;11.0;5;20.0;1;11.3999996185;16.0;6;32.0;
3;1;8.0;10.0;6;21.0;1;11.3999996185;16.0;6;31.7439994812;
4;1;8.14999961853;10.5;6;21.8400001526;1;11.3487997055;15.8719997406;6;31.5135993958;
5;1;8.27600002289;10.9200000763;6;22.5301437378;1;12.3487997055;15.7567996979;6;31.3062400818;
6;1;9.27600002289;11.2650718689;6;23.086605072;2;13.6487998962;15.6531200409;5;31.9148159027;
7;1;10.194486618;11.543302536;6;23.5283432007;2;14.5744447708;15.4574079514;5;31.6738141775;
8;2;10.2938766479;11.9641714096;5;25.1098823547;2;14.5021438599;15.3240671158;4;31.4598771334;
9;2;10.6497240067;12.0549411774;5;25.6555880308;2;14.4379634857;15.2040605545;4;31.4470688105;
10;2;10.7725067139;12.2827939987;5;26.1050782204;2;16.5250377655;15.1725349426;4;31.4424107075;
11;2;10.8736419678;12.4589796066;5;26.2917383909;2;18.5250377655;15.1441612244;4;31.4452879429;
12;2;12.8736419678;12.5;5;26.4042263031;2;20.5250396729;15.1186246872;4;31.4551433325;
13;2;14.8736419678;12.5;5;26.5249304771;2;21.5735969543;15.0956420898;5;31.4714692831;
14;2;15.9496498108;12.5;5;26.6541694403;2;22.5909042358;15.0749578476;4;31.490555644;
15;2;16.978729248;12.5;5;26.7922235727;2;23.4471664429;15.0563421249;5;31.5149891376;
16;2;18.0097904205;12.5;5;26.9393253326;2;23.0237541199;15.4703321457;5;31.5443785191;
17;2;19.0428886414;12.5;5;27.0956480503;2;23.4633140564;15.0245094299;6;31.5730705261;
18;2;20.0780620575;12.5;6;27.261295557;2;23.4719219208;15.0109386444;6;31.6056952477;
19;2;19.625;13.1783885956;6;27.4362905025;2;23.4817085266;14.9987249374;7;31.6419421434;
20;2;19.625;13.230887413;6;27.6205644608;2;23.4925823212;14.9877319336;7;31.6815264225;
21;2;20.2146263123;12.5;6;27.8139474392;2;23.5044574738;14.9778385162;8;31.724181056;
22;2;20.2581386566;12.5;6;28.016159296;2;23.5172538757;14.9689350128;8;31.7696533203;
23;2;19.625;13.4048480988;6;28.2268030643;2;23.5308952332;14.9609212875;8;31.8177087307;
24;2;19.625;13.4680404663;7;28.445360899;2;23.5453128815;14.9537086487;8;31.8681271076;
