Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;2;11.5999994278;16.0;3;33.0;1;6.0;14.0;4;20.0;
2;2;11.5999994278;16.0;3;33.0399999619;1;7.0;13.0;6;20.0;
3;2;11.6079998016;16.0;3;33.0811839104;1;8.0;12.0;6;20.0;
4;2;11.6162366867;16.0;3;33.1235535145;1;8.0;11.0;6;20.0;
5;2;12.7370653152;16.0;3;33.1671074629;1;8.0;10.0;6;20.0;
6;2;13.7501316071;16.0;3;33.211841464;1;9.0;10.0;5;20.0;
7;2;14.763551712;16.0;3;33.8977472782;1;9.5;10.0;5;20.0;
8;2;15.1693239212;16.3199996948;3;34.3048160076;1;9.5;10.0;5;20.3999996185;
9;2;15.2914447784;16.5;3;36.0552254915;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;17.2135677338;17.3250007629;3;37.3227233887;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;19.2135677338;17.9053878784;3;38.2199163437;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;21.2135677338;18.2973766327;3;38.7450162172;1;9.95943069458;11.0209560394;5;22.9143505096;
13;2;22.3155040741;18.5;3;38.8716168404;1;11.7228336334;11.4571752548;5;23.6214065552;
14;2;23.3534851074;18.5;3;39.0050327778;1;12.7228336334;11.8107032776;5;24.1832637787;
15;2;24.3935089111;18.5;2;39.1452841759;1;13.7228336334;12.0916318893;5;24.6226100922;
16;2;25.435585022;18.5;3;39.2923374176;1;14.7228336334;12.3113050461;5;24.9617595673;
17;2;25.7877006531;18.5;3;39.4460997581;1;15.7228336334;12.4808797836;5;25.0;
18;2;25.8338298798;18.5;4;39.6064147949;1;16.7228336334;12.5;6;25.0;
19;2;25.8819255829;18.5;4;39.773058176;1;17.625;12.5;6;25.0;
20;3;26.9319171906;18.5;3;40.9457349777;1;17.625;12.5;7;25.0;
21;3;27.9837207794;18.5;4;41.2040776014;1;17.625;12.5;7;25.0;
22;3;28.3612232208;18.5;3;41.4731820822;1;17.625;12.5;7;25.0;
23;3;28.4419555664;18.5;3;41.7527785301;1;17.625;12.5;8;25.0;
24;3;28.5258331299;18.5;3;42.0425165892;1;17.625;12.5;8;25.0;
25;3;27.1000003815;20.1770839691;3;42.3419661522;2;17.625;12.5;8;25.0;
26;3;28.537311554;18.5;4;42.6506193876;2;17.625;12.5;8;25.0;
27;5;27.5702953339;19.5;4;42.9678934813;2;17.625;12.5;9;25.0;
