Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;10.8880004883;14.720000267;4;29.4400005341;1;6.0;14.0;4;20.0;
2;1;10.8880004883;14.720000267;6;29.4400005341;2;7.0;13.3000001907;5;21.0;
3;1;10.8880004883;14.720000267;6;29.4400005341;2;8.14999961853;12.0;4;21.0900000334;
4;1;10.8880004883;14.720000267;6;29.4400005341;2;8.16349983215;11.0;4;21.1871190071;
5;1;11.8880004883;14.720000267;6;29.4400005341;2;8.17806816101;10.0;4;21.2917383909;
6;1;12.8880004883;14.720000267;6;28.9402885437;2;9.29064083099;10.0;4;21.4042263031;
7;1;13.6820869446;14.4701442719;6;28.5669326782;2;9.81595134735;10.0;4;21.5249304771;
8;1;13.5700798035;14.2834663391;6;28.1227760315;2;9.84310913086;10.0;4;22.0694183111;
9;2;13.7368326187;14.0613880157;5;29.0154647827;2;9.96561908722;10.1999998093;4;22.5515855551;
10;2;15.8700799942;14.0077323914;5;28.9556843042;2;10.0741062164;10.3632001877;4;22.983014226;
11;2;17.8700790405;13.9594421387;4;28.9065352678;2;10.1711778641;10.4951858521;4;24.2738182545;
12;2;19.8700790405;13.9159812927;4;28.8670482635;2;10.4616098404;11.0209560394;4;25.4089095592;
13;2;20.9040737152;13.8768663406;4;28.8363507986;2;12.2841091156;11.4571752548;4;26.4029755592;
14;2;21.9159870148;13.8416633606;4;28.8136518002;2;14.2841091156;11.8107032776;4;27.276881218;
15;2;22.6440944672;13.8099803925;4;28.7982378006;2;16.2841091156;12.0916318893;4;28.0536293983;
16;2;22.6394710541;13.7814655304;4;28.7894635201;2;17.4948120117;12.3113050461;4;28.755402565;
17;2;22.636838913;13.7558021545;6;28.7867439985;2;18.5764026642;12.4808797836;4;29.1808357239;
18;2;22.6360244751;13.7327051163;6;28.7895487547;2;19.663520813;12.5;5;29.5913586617;
19;2;22.6368637085;13.7119178772;7;28.7973959446;2;20.6580562592;12.5;5;30.0233430862;
20;2;22.6392211914;13.6932096481;8;28.8098449707;2;20.7552528381;12.5;6;30.4742712975;
21;2;22.6429519653;13.6763715744;8;28.8264981508;2;20.856710434;12.5;6;30.9409928322;
22;2;22.6479511261;13.6612176895;8;28.846989274;2;20.9617233276;12.5;6;31.4197778702;
