Turn;Planet_count_KI_1_SP_HUMAN;Research_KI_1_SP_HUMAN;Industry_KI_1_SP_HUMAN;Ships_KI_1_SP_HUMAN;Population_KI_1_SP_HUMAN;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;9.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;11.0;4;20.0;
3;1;9.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
4;1;9.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
5;1;10.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
6;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
7;1;11.0;10.0;5;20.3999996185;1;9.5;10.0;5;20.0;
8;1;11.1199998856;10.1999998093;5;20.7264003754;1;9.5;10.0;5;20.3999996185;
9;1;11.2179203033;10.3632001877;4;20.9903717041;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;11.597111702;10.4951858521;3;23.0419120789;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;11.9125738144;11.0209560394;3;23.964350462;2;9.72283363342;10.6951856613;4;23.0419120789;
12;2;12.1893053055;11.4571752548;3;24.7233815193;2;10.184431076;11.0209560394;4;24.0443505049;
13;2;14.9275741577;11.8107032776;4;25.3392137289;2;10.4099788666;11.4571752548;4;24.8968375921;
14;2;16.9275741577;12.0916318893;3;25.8345547915;2;10.6017885208;11.8107032776;4;25.6209878922;
15;2;17.9761562347;12.3113050461;3;26.2317328453;2;12.6017885208;12.0916318893;4;26.2409451008;
16;2;18.9935646057;12.4808797836;3;26.3300433159;2;14.6017885208;12.3113050461;4;26.7804714441;
17;2;20.0115871429;12.5;3;26.3921557665;2;15.0256061554;12.4808797836;4;27.0402543545;
18;2;21.0302200317;12.5;3;26.4563041925;2;16.7738742828;12.5;4;27.2842636108;
19;2;21.9368915558;12.5;4;26.5224741697;2;17.8287754059;12.5;5;27.5518820286;
20;2;21.956741333;12.5;4;26.5906432867;2;18.8889884949;12.5;5;27.8440244198;
21;2;21.977191925;12.5;4;26.6607804298;2;19.9547214508;12.5;5;28.1613030434;
22;2;21.9982337952;12.5;4;26.7328453064;2;20.3362922668;12.5;5;28.5039470196;
23;2;22.0198535919;12.5;4;26.8067884445;2;20.4133872986;12.5;5;28.871723175;
24;2;22.0420360565;12.5;5;26.8825509548;2;20.496137619;12.5;5;29.263862133;
25;3;21.5;13.0647649765;5;26.9600640535;3;20.5843696594;12.5;5;29.6789975166;
26;3;21.5;13.088019371;6;27.0392494202;3;20.6777744293;12.5;5;30.1151270866;
27;3;22.1117744446;12.5;5;27.120018959;3;20.7759037018;12.5;5;30.5695996284;
28;4;21.5;13.5;4;27.2022752762;3;20.8781604767;12.5;5;31.0391392708;
29;4;22.1606826782;12.5;5;27.2859115601;3;20.9838066101;12.5;5;31.5199065208;
30;4;21.5;13.5;5;27.3708124161;3;21.0919799805;12.5;5;32.007601738;
31;4;21.5;13.6854057312;5;27.4568536282;3;21.2017097473;12.5;5;32.4976010323;
32;4;21.5;13.7284269333;6;27.5439035892;3;21.3119602203;12.5;5;32.9851250648;
33;4;20.2631721497;13.5;7;27.6318233013;3;21.4216537476;12.5;6;33.465420723;
34;4;19.2895469666;14.5;7;27.7204678059;4;21.5297203064;12.5;5;33.9339466095;
35;4;18.3161411285;15.5;8;27.8096864223;4;21.635137558;12.5;5;34.3865451813;
36;4;17.3429069519;16.5;8;27.8993241787;4;21.7369728088;12.5;5;34.8195896149;
37;4;16.3697967529;17.5;8;27.989222765;4;21.8344078064;12.5;5;35.2300891876;
38;4;15.3967666626;18.5;9;28.079221487;4;21.9267692566;12.5;5;35.6157541275;
39;4;14.9237661362;19.5;9;28.1691586971;4;22.0135440826;12.5;5;35.9750175476;
40;4;14.9507474899;20.5;9;28.258872509;4;22.094379425;12.5;6;36.307009697;
41;5;14.9776620865;21.5;8;28.348202467;4;22.1690769196;12.5;6;36.6115064621;
42;5;15.0044612885;22.5;8;28.4369900227;4;22.2375888824;12.5;6;36.8888463974;
43;5;15.0310974121;23.5;8;28.0250804424;4;22.2999916077;12.5;7;37.1398382187;
44;5;14.9075241089;24.5;8;28.1150741577;4;22.356464386;12.5;8;37.3656587601;
45;5;15.0;23.5;8;28.2049417496;4;20.4072723389;13.5;8;37.5677556992;
46;5;16.9614830017;23.5;9;28.2945218086;4;21.4527454376;15.5;8;37.747756958;
47;5;17.9883575439;23.5;10;28.383654356;4;22.4932441711;17.5;9;37.9073896408;
48;5;18.0;23.5;10;28.4721825123;4;22.5291633606;19.5;9;38.0;
49;5;19.0;23.5;10;28.5599529743;4;22.5499992371;21.5;9;38.0;
50;5;21.0;22.5;11;28.6468174458;4;22.5499992371;22.5;10;38.0;
51;6;23.094045639;23.5;10;29.2326338291;4;22.5499992371;22.5;10;38.0;
52;6;23.5;24.5;10;29.362092495;4;22.5499992371;22.5;10;38.0;
53;6;24.8086280823;25.5;11;29.4922389984;4;22.5499992371;22.5;11;38.0;
54;6;24.5233154297;26.5;12;29.6229188442;4;22.5499992371;22.5;10;38.0;
55;6;24.8868751526;27.5;11;29.2539790869;4;22.5499992371;22.5;10;38.0;
56;6;23.5;29.0835533142;11;29.3886376619;4;22.5499992371;22.5;11;38.0;
57;6;24.8165912628;27.5;10;29.5242314339;5;22.5499992371;22.5;10;38.0;
58;6;24.8572692871;27.5;9;29.6605894566;5;22.5499992371;22.5;11;38.0;
59;6;23.5;29.1524085999;12;30.7975389957;5;22.5499992371;22.5;11;38.0;
60;6;25.9059104919;28.5;12;30.9649077654;5;22.5499992371;22.5;11;38.0;
61;6;26.55975914;30.2011871338;12;31.1331151724;5;22.5499992371;22.5;11;39.0;
62;6;26.5859088898;31.2264137268;13;31.3019843102;5;23.5499992371;23.5;12;39.0299999714;
