Turn;Planet_count_KI_1_SP_HUMAN;Research_KI_1_SP_HUMAN;Industry_KI_1_SP_HUMAN;Ships_KI_1_SP_HUMAN;Population_KI_1_SP_HUMAN;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;9.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;2;9.19999980927;10.0;4;21.0;1;8.0;10.0;5;20.0;
4;2;9.19999980927;10.0;4;21.0599999428;1;8.0;10.0;5;20.0;
5;2;10.3179998398;10.0;4;21.1229639053;2;8.0;10.1999998093;4;21.0;
6;2;11.336889267;10.0;4;21.1889609098;2;9.22500038147;10.0;4;21.0599999428;
7;2;11.3566884995;10.0;4;21.6699410677;2;9.73849964142;10.0;4;21.1229639053;
8;2;11.5009822845;10.1999998093;4;22.0818096399;2;9.75266647339;10.0;4;21.6001901627;
9;2;11.62454319;10.3632001877;4;22.4358423948;2;9.86004257202;10.1999998093;4;22.0082015991;
10;2;11.7307529449;10.4951858521;4;23.611035943;2;9.95184516907;10.3632001877;4;22.3582868576;
11;2;12.0833110809;11.0209560394;4;24.615765214;2;10.0306148529;10.4951858521;4;23.5279067755;
12;2;14.0833110809;11.4571752548;4;25.4640146494;2;10.2937793732;11.0209560394;5;24.5268628597;
13;2;16.0833110809;11.8107032776;5;26.1761806011;2;12.0856485367;11.4571752548;5;25.3691681623;
14;2;17.2104492188;12.0916318893;5;26.7751014233;2;14.0856485367;11.8107032776;5;26.0752547979;
15;2;18.2583217621;12.3113050461;5;27.2831678391;2;16.0856494904;12.0916318893;5;26.6680037975;
16;2;19.3089962006;12.4808797836;5;27.4996597767;2;17.1830482483;12.3113050461;5;27.1698563099;
17;2;20.3624725342;12.5;5;27.687142849;2;18.2196559906;12.4808797836;5;27.3801496029;
18;2;21.4187164307;12.5;5;27.883649826;2;19.2583675385;12.5;5;27.5615134239;
19;2;22.3650951385;12.5;6;28.0888605118;2;20.2013397217;12.5;6;27.7520513535;
20;2;22.4266586304;12.5;5;28.3023359776;2;20.2442111969;12.5;6;27.9515185356;
21;2;22.4906997681;12.5;5;28.5235154629;2;20.2890911102;12.5;6;28.1595556736;
22;3;22.5570545197;12.5;4;28.7517154217;2;20.335899353;12.5;6;28.3756833076;
23;3;22.6255149841;12.5;3;28.986133337;2;20.3845291138;12.5;7;28.5992991924;
24;3;21.5;13.5;2;29.22585392;2;20.4348430634;12.5;7;28.8296794891;
25;3;22.5;12.5;3;29.4698610306;2;20.4866771698;12.5;8;29.0659828186;
26;3;19.5;14.5;3;29.7170505524;2;20.5398464203;12.5;8;29.3072590828;
27;3;19.5;14.5;3;29.9662499428;3;20.5941333771;12.5;7;29.5524601936;
28;3;18.9898757935;15.5;3;30.2162384987;3;20.6493034363;12.5;7;29.8004574776;
29;3;18.0648708344;16.5;3;30.4657707214;3;19.625;13.5;6;30.0500593185;
30;3;17.1397323608;17.5;3;30.7136011124;3;20.625;12.5;6;30.3000340462;
31;3;16.2140808105;18.5;3;31.9585089684;3;20.8175086975;12.5;6;30.5491337776;
32;3;15.0;21.0;3;32.2293217182;3;20.8735542297;12.5;6;30.7961182594;
33;3;16.0;23.0149993896;3;32.4955289364;3;20.9291267395;12.5;6;31.0397801399;
34;3;17.0;25.0302963257;3;32.7561137676;3;20.9839515686;12.5;6;31.278968811;
35;3;18.0;26.3780574799;4;33.0101644993;3;19.625;13.5;5;31.5126113892;
