Turn;Planet_count_KI_1_SP_HUMAN;Research_KI_1_SP_HUMAN;Industry_KI_1_SP_HUMAN;Ships_KI_1_SP_HUMAN;Population_KI_1_SP_HUMAN;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;9.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;11.0;4;20.0;
3;1;9.0;10.0;5;20.0;1;8.0;10.0;4;20.0;
4;1;9.0;10.0;5;20.0;1;8.0;10.0;4;20.0;
5;1;10.0;10.0;5;20.0;1;8.0;10.0;4;20.0;
6;1;11.0;10.0;5;20.0;1;9.0;10.0;4;20.0;
7;1;11.0;10.0;5;20.3999996185;1;9.5;10.0;4;20.0;
8;2;11.4200000763;10.1999998093;4;21.7264003754;1;9.5;10.0;3;20.3999996185;
9;2;11.5179204941;10.3632001877;4;21.9903717041;1;9.59000015259;10.1999998093;3;20.7264003754;
10;2;11.597111702;10.4951858521;4;23.0719120502;1;9.66343975067;10.3632001877;3;20.9903717041;
11;2;11.9215736389;11.0209560394;4;23.9749414921;1;9.72283363342;10.4951858521;3;22.0419120789;
12;2;13.9215736389;11.4571752548;4;24.7131726742;1;9.95943069458;11.0209560394;3;22.9143505096;
13;2;15.9215736389;11.8107032776;5;25.3067810535;1;11.7228336334;11.4571752548;3;23.6214065552;
14;2;16.94962883;12.0916318893;5;25.7784451246;1;12.7228336334;11.8107032776;3;24.1832637787;
15;2;17.9593238831;12.3113050461;5;26.1504684687;1;13.7228336334;12.0916318893;4;24.6226100922;
16;2;18.9691867828;12.4808797836;5;26.2221269608;2;14.7228336334;12.3113050461;3;24.9617595673;
17;2;19.9792118073;12.5;5;26.2560760975;2;15.7228336334;12.4808797836;4;25.0;
18;2;20.989397049;12.5;5;26.2905418873;2;16.7228336334;12.5;5;25.0;
19;2;21.8871631622;12.5;6;26.3255085945;2;17.625;12.5;6;25.0;
20;2;21.8976516724;12.5;6;26.3609591722;2;17.625;12.5;6;25.0;
21;2;21.9082870483;12.5;6;26.3968753815;2;17.625;12.5;6;25.0;
22;2;21.9190635681;12.5;6;26.4332377911;3;18.625;12.8000001907;6;26.0;
23;2;21.9299716949;12.5;6;26.4700255394;3;19.625;12.5;6;26.1699999571;
24;2;21.9410076141;12.5;5;26.5072168112;3;19.888250351;12.5;6;26.3669109344;
25;2;21.5;12.5;5;26.5447884798;3;19.625;12.5;6;26.5942704678;
26;2;19.5;13.5;6;26.5827163458;3;19.625;12.5;7;26.8558222055;
27;2;18.5;14.5;7;26.6209751368;3;19.625;12.5;6;27.1554293633;
28;3;17.5;15.5;5;26.6595385075;3;19.625;12.5;6;27.4969480038;
29;3;16.5;16.5;5;26.6983793974;3;19.625;12.5;6;27.8840510845;
30;3;15.5;17.5;6;26.7374696732;3;17.625;13.5;6;28.3200027943;
31;3;14.5;18.5;6;26.7767804861;3;16.625;14.5;6;28.8073790073;
32;3;14.0;19.5;6;26.8162822723;3;15.625;15.5;6;29.3477458954;
33;3;14.0;20.5;6;26.8559447527;3;14.625;16.5;6;29.9413113594;
34;3;14.0;21.5;6;26.8957372904;3;14.0;17.5;6;30.586581707;
35;3;14.0;22.5;6;26.9356285334;3;14.0;18.5;6;31.2800674438;
36;3;14.0;23.5;5;26.9755871296;3;14.0;19.5;5;32.0160870552;
37;3;14.0;24.5;6;27.015581131;3;14.0;20.5;6;32.7867279053;
38;3;15.0;22.5;6;27.0555787086;3;14.0;21.5;6;33.5820074081;
39;3;14.0;23.5;6;27.0955479145;3;14.0;22.5;6;34.3902606964;
40;3;14.0;24.5;7;27.135456562;3;15.0;20.5;7;35.1987380981;
41;3;15.0;22.5;7;27.17527318;3;16.0;19.5;7;35.9943685532;
42;3;14.0;23.5;8;27.2149660587;3;17.0;18.5;8;36.7645931244;
43;3;14.0;24.5;8;27.2545039654;3;18.0;17.5;8;37.4981632233;
44;3;15.0;22.5;8;27.293856144;3;19.0;16.5;9;38.1857919693;
45;3;14.0;23.5;9;27.3329925537;3;17.0;17.5;9;38.8205833435;
46;3;14.0;24.5;9;27.3718836308;3;16.0;18.5;8;39.3982028961;
47;3;15.0;22.5;9;27.4105007648;3;15.0;19.5;9;39.9167966843;
48;3;14.0;23.5;10;27.4488155842;3;14.0;20.5;8;40.3767118454;
49;4;15.0;22.5;7;42.4868011475;3;14.0;21.5;8;40.780087471;
50;4;15.0;25.5;9;43.2744314671;3;14.0;22.5;8;41.1303920746;
51;4;16.0;28.5;9;43.9810557365;3;14.0;23.5;8;41.4319667816;
52;4;17.0;31.5;9;44.6058163643;3;15.0;22.5;9;41.6896247864;
53;4;18.0;34.5;10;45.1512138844;3;16.0;22.5;9;41.9083213806;
54;4;19.0;36.5;10;45.6222391129;3;17.0;22.5;10;42.0;
55;4;20.0;37.5;12;46.0255014896;3;18.0;22.5;10;42.0;
56;4;21.0;38.5;11;46.368439436;3;19.0;22.5;10;42.0;
57;4;22.0;39.5;12;46.6586873531;3;19.625;22.5;10;42.0;
58;4;23.0;41.0;12;46.8099038601;3;19.625;22.5;12;42.0;
59;5;24.0;41.4049530029;10;46.84334445;3;19.625;22.5;11;42.0;
60;5;25.0;41.421672821;11;46.8762321472;3;19.625;22.5;11;42.0;
61;5;26.0;40.0;11;46.9085543156;3;19.625;22.5;12;42.0;
62;5;27.0;40.0;9;46.940299511;3;19.625;22.5;13;42.0;
63;5;28.0;40.0;10;46.9714579582;3;20.625;22.5;13;42.0;
64;5;29.0;40.0;10;47.0;3;21.625;22.5;14;42.0;
65;5;30.0;41.0;10;48.0;3;19.625;22.5;14;42.0;
66;5;32.0;42.5;11;48.0499999523;3;20.625;22.5;14;42.0;
67;5;34.0;43.5;12;48.1019749641;3;21.625;22.5;14;42.0;
