Turn;Planet_count_KI_1_SP_HUMAN;Research_KI_1_SP_HUMAN;Industry_KI_1_SP_HUMAN;Ships_KI_1_SP_HUMAN;Population_KI_1_SP_HUMAN;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;9.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;9.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
4;1;9.0;10.0;4;20.0;2;8.0;10.1999998093;4;21.0;
5;1;10.0;10.0;4;20.0;2;8.14999961853;10.0;4;21.0299999714;
6;1;11.0;10.0;4;20.0;2;9.23174953461;10.0;4;21.0605909824;
7;1;11.0;10.0;4;20.3999996185;2;9.73863315582;10.0;4;21.091766119;
8;1;11.1199998856;10.1999998093;4;20.7264003754;2;9.74564743042;10.0;4;21.534434557;
9;2;11.5179204941;10.3632001877;3;21.9903717041;2;9.84524822235;10.1999998093;4;21.9046876431;
10;2;11.597111702;10.4951858521;3;23.0819120407;2;9.92855453491;10.3632001877;2;22.2136896849;
11;2;11.9245738983;11.0209560394;3;23.99553442;2;9.9980802536;10.4951858521;2;23.3236640692;
12;2;13.9245738983;11.4571752548;3;24.7449600697;2;10.2478246689;11.0209560394;3;24.2565786839;
13;2;15.9245738983;11.8107032776;4;25.3503712416;2;12.0248346329;11.4571752548;3;25.0261526108;
14;2;16.9627056122;12.0916318893;4;25.8344515562;2;14.0248346329;11.8107032776;2;25.6525614262;
15;2;17.9761257172;12.3113050461;3;26.2195074558;2;16.0248355865;12.0916318893;2;26.1584771872;
16;2;18.9898986816;12.4808797836;3;26.3048160076;2;17.068403244;12.3113050461;2;26.5661897659;
17;2;20.0040187836;12.5;3;26.3530313969;2;18.0838298798;12.4808797836;2;26.6749540567;
18;2;21.0184822083;12.5;3;26.4023760557;2;19.0996990204;12.5;2;26.7473965883;
19;2;21.9207134247;12.5;4;26.4528282881;2;20.018163681;12.5;3;26.8217064142;
20;2;21.9358482361;12.5;4;26.5043625832;2;20.0348834991;12.5;3;26.8978226185;
21;2;21.9513092041;12.5;4;26.5569496155;2;20.0520095825;12.5;3;26.9756746292;
22;2;21.9670848846;12.5;4;26.6105561256;2;20.0695266724;12.5;3;27.0551822186;
23;2;21.9831676483;12.5;4;26.6651450396;3;20.0874156952;12.5;2;27.1362555027;
24;2;21.9995441437;12.5;5;26.72067523;3;20.1056575775;12.5;3;27.2187950611;
25;3;21.5;13.0162029266;4;26.7771017551;4;20.1242294312;12.5;2;27.3026921749;
26;3;22.0331306458;12.5;4;26.8343759775;4;20.1431064606;12.5;2;27.3878297806;
27;3;21.5;13.4171876907;4;26.8924454451;4;20.1622619629;12.5;1;27.4740822315;
28;3;22.0677337646;12.5;4;26.9512542486;4;20.1816692352;12.5;1;27.5613162518;
29;3;21.5;13.4756269455;4;27.0107431412;4;19.625;13.5;1;27.6493918896;
30;3;21.5;13.5053710938;4;27.0708494186;4;20.221113205;12.5;1;28.7381625175;
31;3;22.1212539673;12.5;4;27.1315076351;4;20.625;14.0;1;28.9174770117;
32;3;21.5;13.5;4;27.1926498413;4;21.625;14.458738327;1;29.1042983532;
33;3;21.5;13.5963249207;4;27.2542052269;4;22.2813644409;13.0935592651;1;29.298849225;
34;3;21.5;13.6271028519;5;27.3161010742;4;22.3015995026;13.1458692551;1;29.5013365746;
35;3;22.1948299408;12.5;5;27.3782629967;4;22.321849823;13.2021131516;1;29.7119464874;
