Turn;Planet_count_KI_1_SP_HUMAN;Research_KI_1_SP_HUMAN;Industry_KI_1_SP_HUMAN;Ships_KI_1_SP_HUMAN;Population_KI_1_SP_HUMAN;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
78;11;48.5999984741;83.3579025269;14;97.9831534624;7;32.3002662659;45.0;11;61.7070841789;
79;11;47.5999984741;84.6801757812;15;98.8578658104;7;29.3579826355;50.0;12;62.9928281307;
80;11;48.5999984741;86.7052612305;15;99.6979482174;8;28.9687385559;52.0;9;64.1446669102;
81;11;47.5999984741;91.4623794556;16;100.499809146;8;28.7738628387;53.9687309265;7;65.2516009808;
82;13;47.5999984741;96.4879608154;14;101.261248231;8;26.7841529846;55.0;8;66.358745575;
83;13;48.5999984741;95.9186019897;16;101.981347919;8;27.0894680023;57.1574821472;9;67.4661370516;
84;13;47.5999984741;100.974624634;17;102.660305142;8;26.8936424255;56.1574821472;9;68.5739940405;
85;13;47.5999984741;105.912864685;18;103.299216866;8;28.9551525116;58.1574821472;10;69.6824405193;
86;13;48.5999984741;108.879043579;18;103.899855256;9;30.2999992371;61.1574821472;9;70.7912628651;
87;13;48.5999984741;111.974617004;19;104.464451313;9;29.3715229034;64.1574859619;9;72.8997247219;
88;13;48.7695159912;116.974617004;22;105.995506287;9;31.4932956696;66.1574859619;10;74.0364420414;
89;13;50.7823982239;119.974617004;23;106.535628915;9;30.6263313293;71.1619796753;11;75.0513132811;
90;13;50.7949142456;125.277565002;24;106.926519394;9;29.6263313293;74.2397003174;12;76.0455114841;
91;13;50.8000030518;130.307556152;24;107.239426374;9;30.6263313293;75.3181762695;11;77.0494241714;
92;13;50.5999984741;133.337799072;26;107.550713181;9;29.375;77.3790893555;12;78.0566655397;
93;15;50.5999984741;136.36831665;26;107.859989047;9;29.375;80.440246582;12;79.0607333183;
94;15;49.5999984741;141.224685669;24;108.166877508;9;28.375;77.5014953613;12;80.0551835299;
95;15;49.5999984741;149.690124512;21;108.471015453;9;28.375;77.5626831055;11;81.0338064432;
96;15;49.5999984741;154.316345215;22;108.772059202;9;28.375;77.925239563;12;81.9907912016;
97;15;50.5999984741;155.093322754;23;109.069681287;9;28.375;81.9858703613;12;82.9208714962;
98;15;51.5999984741;156.267120361;25;109.363576055;9;29.375;85.708770752;14;83.8194408417;
99;15;50.5999984741;156.437530518;26;109.616356373;9;30.375;85.785987854;15;84.6826434135;
100;15;50.5999984741;156.578399658;26;109.843828678;9;30.375;85.8626708984;16;85.5074225664;
