Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
83;5;22.9500007629;34.75;25;33.424369216;5;37.4000015259;45.5;14;69.4669761658;
84;5;24.9500007629;36.75;25;34.3661543131;5;35.4000015259;47.5;15;69.7807407379;
85;6;23.9500007629;37.75;25;55.9583542347;4;29.3999996185;42.5;15;49.0;
86;6;24.9500007629;41.345123291;25;56.8781576157;4;29.3999996185;43.5;15;49.0;
87;6;26.9500007629;45.5549659729;26;57.4870663881;4;29.3999996185;44.5;16;49.0;
88;7;28.3860778809;47.087638855;25;57.8297256231;5;29.3999996185;45.5;15;53.25;
89;7;29.3999996185;48.1962051392;25;58.0347024202;5;30.3999996185;47.5;15;53.3668751717;
90;7;30.3999996185;49.2000007629;24;58.2415878773;5;31.3999996185;49.5;15;53.4818606377;
91;7;31.3999996185;49.2000007629;25;58.4544661045;5;31.3999996185;51.5;16;53.5947203636;
92;7;32.4000015259;49.2000007629;25;58.6731672287;5;31.3999996185;52.5999984741;16;53.7052364349;
93;8;31.3999996185;50.2000007629;24;58.8974839449;5;30.3999996185;52.5999984741;16;53.8132104874;
94;8;30.6999988556;51.2000007629;25;59.1271713972;5;30.3999996185;52.5999984741;16;53.9184651375;
95;8;29.6999988556;52.2000007629;25;59.3619458675;5;30.3999996185;52.5999984741;18;54.0208449364;
96;8;28.6999988556;53.2000007629;26;59.6014865637;5;30.3999996185;52.5999984741;19;54.120215416;
97;8;28.2999992371;54.2000007629;26;59.8454356194;5;30.3999996185;52.5999984741;19;54.2164645195;
98;8;28.2999992371;55.2000007629;26;60.0933994055;5;29.3999996185;51.5999984741;20;54.3095021248;
99;8;28.2999992371;56.2000007629;27;61.3449510336;5;27.1000003815;53.5999984741;21;54.3992590904;
100;8;29.2999992371;58.2000007629;27;61.6596316099;5;26.1000003815;55.5999984741;22;54.4856872559;
101;8;30.2999992371;60.2000007629;27;61.9799189568;5;26.1000003815;54.5999984741;22;54.568757534;
102;8;30.2999992371;62.2000007629;28;62.30537045;5;25.1000003815;56.5999984741;23;54.6484599113;
103;8;30.2999992371;64.1999969482;28;62.6355148554;5;26.1000003815;55.5999984741;24;54.7248010635;
104;8;30.2999992371;66.1999969482;28;62.9698549509;5;26.1000003815;54.5999984741;24;54.7978038788;
105;8;30.2999992371;67.1999969482;30;63.3078714609;5;25.1000003815;56.5999984741;25;54.8675050735;
106;8;30.2999992371;68.1999969482;32;63.6490255594;5;26.1000003815;55.5999984741;25;54.9339542389;
107;8;30.2999992371;69.1999969482;32;63.9927636385;5;26.1000003815;54.5999984741;25;54.9972128868;
108;8;30.7698669434;70.1999969482;33;64.3385195732;5;25.1000003815;56.5999984741;26;55.0;
109;8;30.7953987122;71.1999969482;32;64.6857210398;5;26.1000003815;55.5999984741;25;55.0;
110;8;28.8218955994;71.1999969482;31;65.0337902308;5;26.1000003815;54.5999984741;26;55.0;
