Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;13.3000001907;4;17.0;1;6.0;14.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;7.0;13.0;6;20.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;8.0;12.0;6;20.0;
4;1;7.55000019073;10.3000001907;5;17.0;1;8.0;11.0;6;20.0;
5;1;7.55000019073;9.30000019073;5;17.0;1;8.0;10.0;6;20.0;
6;1;8.55000019073;8.5;4;17.0;1;9.0;10.0;6;20.0;
7;1;8.82499980927;8.5;4;17.0;1;9.5;10.0;5;20.0;
8;1;8.82499980927;8.5;4;17.0;2;9.5;10.3000001907;4;21.3999996185;
9;1;8.82499980927;8.5;4;17.3400001526;2;9.81500053406;10.1999998093;4;21.7264003754;
10;1;8.9015007019;8.67000007629;4;17.6278438568;2;9.88844013214;10.3632001877;4;21.9903717041;
11;1;8.96626472473;8.81392192841;4;17.869726181;2;9.94783401489;10.4951858521;4;23.0819120407;
12;1;9.02068901062;8.93486309052;4;18.786491394;2;10.1934309006;11.0209560394;4;23.99553442;
13;1;9.22696018219;9.39324569702;5;19.5780620575;2;11.9660997391;11.4571752548;4;24.7449600697;
14;1;11.0206890106;9.78903102875;5;20.2480106354;2;13.9660997391;11.8107032776;4;25.3503712416;
15;1;12.0206890106;10.1240053177;5;20.8052330017;2;15.9660997391;12.0916318893;4;25.8344515562;
16;1;13.0206890106;10.4026165009;5;21.2618598938;2;16.7228336334;12.6748571396;4;26.2195074558;
17;1;14.0206890106;10.6309299469;4;21.6314201355;2;18.0058269501;12.4808797836;4;26.3048160076;
18;1;15.0206890106;10.8157100677;4;21.9274635315;2;19.0164165497;12.5;5;26.3530313969;
19;1;16.0206890106;10.9637317657;4;22.0;2;19.9294319153;12.5;5;26.4023760557;
20;1;16.9500007629;11.0;5;22.0;2;19.625;12.920712471;5;26.4528282881;
21;1;16.9500007629;11.0;5;22.0;2;19.9518871307;12.5;5;26.5043625832;
22;1;16.9500007629;11.0;6;22.0;2;19.9634819031;12.5;6;26.5569496155;
23;1;16.9500007629;11.0;5;22.0;2;19.9753131866;12.5;7;26.6105561256;
24;1;16.9500007629;11.0;5;22.0;2;19.9873752594;12.5;8;26.6651450396;
25;1;14.9500007629;12.0;5;22.0;2;19.9996566772;12.5;8;26.72067523;
26;1;13.9500007629;13.0;6;22.0;2;20.0121517181;12.5;8;26.7771017551;
27;2;12.9500007629;14.0;6;22.0;2;20.024848938;12.5;8;26.8343759775;
28;2;12.0;15.0;6;22.0;2;19.625;13.2337503433;8;26.8924454451;
29;2;12.0;16.0;7;22.0;2;17.625;13.5;8;26.9512542486;
30;2;13.0;14.0;8;22.0;2;16.625;14.5;8;27.0107431412;
31;2;14.0;13.0;9;22.0;2;15.625;15.5;8;27.0708494186;
32;2;15.0;12.0;9;22.0;2;14.625;16.5;8;27.1315076351;
33;2;16.0;11.0;8;22.0;2;14.0;17.5;8;27.1926498413;
34;2;14.0;12.0;8;22.0;2;14.0;18.5;8;27.2542052269;
35;2;13.0;13.0;8;22.0;2;14.0;19.5;7;27.3161010742;
36;2;12.0;14.0;8;22.0;2;14.0;20.5;7;27.3782629967;
37;2;12.0;15.0;8;22.0;2;14.0;21.5;8;27.4406147003;
38;2;12.0;16.0;8;22.0;2;14.0;22.5;9;27.5030794144;
39;2;12.0;17.0;8;22.0;2;14.0;23.5;7;27.5655794144;
40;2;12.0;18.0;8;22.0;2;14.0;24.5;7;27.628036499;
41;2;12.0;19.0;8;22.0;2;14.0;25.5;8;27.690372467;
42;2;12.0;20.0;9;22.0;2;14.0;26.5;7;27.7525100708;
43;2;12.0;21.0;9;22.0;2;14.0;27.5;7;27.8143725395;
44;2;12.0;22.0;9;22.0;2;14.0;28.5;9;27.8758842945;
45;2;12.0;23.0;10;22.0;2;14.0;29.5;9;27.936971426;
46;2;12.0;24.0;10;22.0;2;15.0;27.5;8;27.9975619316;
47;2;12.0;25.0;9;22.0;3;14.674451828;28.5;8;43.0575861931;
48;2;12.0;26.0;8;22.0;3;15.0;29.5;8;43.8669772148;
49;2;12.0;27.0;6;22.0;3;17.0;27.5;8;44.5950450897;
50;2;12.0;28.0;7;22.0;3;16.7145271301;28.5;10;45.2408952713;
51;2;12.0;29.0;6;22.0;3;16.7275619507;29.5;8;45.8069932461;
52;2;12.0;30.0;7;22.0;3;17.0;29.5;9;46.2982974052;
53;2;13.0;28.0;7;22.0;3;18.753068924;30.5;9;46.7213873863;
54;2;12.0;29.0;8;22.0;3;19.0;31.5;10;47.083673954;
55;2;12.0;30.0;10;22.0;3;20.0;32.5;10;47.3927669525;
56;2;13.0;28.0;10;22.0;3;21.0;33.5;8;47.0623030663;
57;2;12.0;29.0;11;22.0;3;22.625;33.5;10;47.3910183907;
58;2;12.0;30.0;11;22.0;3;24.438041687;31.5;11;47.6636190414;
59;2;13.0;28.0;11;22.0;3;24.625;31.5;11;47.7125790119;
60;2;12.0;29.0;11;22.0;3;25.625;29.5;11;47.7603754997;
61;2;12.0;30.0;11;22.0;3;26.625;28.5;13;47.8069901466;
62;2;12.0;31.0;12;22.0;3;27.3250007629;27.5;13;47.8524079323;
63;2;12.0;32.0;11;22.0;3;27.3250007629;27.5;13;47.8966178894;
64;2;12.0;33.0;12;22.0;3;28.2017383575;27.5;14;47.9396123886;
65;2;12.0;34.0;12;22.0;3;27.3250007629;28.5;14;47.9813876152;
66;2;12.0;35.0;13;22.0;3;28.2208118439;27.5;14;48.0;
67;2;13.0;33.0;13;22.0;3;28.2250003815;27.5;16;48.0;
68;2;12.0;34.0;13;22.0;3;28.2250003815;27.5;16;48.0;
69;2;12.0;35.0;14;22.0;3;28.2250003815;27.5;16;48.0;
70;2;13.0;33.0;15;22.0;3;28.2250003815;27.5;17;48.0;
71;2;12.0;34.0;15;22.0;3;28.2250003815;27.5;17;48.0;
72;2;12.0;35.0;17;22.0;3;27.3250007629;27.5;18;48.0;
73;2;13.0;33.0;14;22.0;3;27.3250007629;27.5;17;48.0;
74;2;12.0;34.0;13;22.0;3;27.3250007629;27.5;17;48.0;
75;2;12.0;35.0;15;22.0;3;27.3250007629;27.5;17;48.0;
76;2;13.0;33.0;15;22.0;3;27.3250007629;27.5;17;48.0;
77;3;12.0;34.0;15;22.0;3;27.3250007629;27.5;18;49.6899995804;
78;3;12.0;35.0;15;22.0;3;27.7210006714;28.0;18;51.0642080307;
79;3;13.0;33.0;16;22.0;3;28.0391674042;28.3899993896;18;52.1675496101;
80;3;12.0;34.0;16;22.0;3;28.2904663086;29.6872596741;18;53.0470628738;
81;3;12.0;35.0;16;22.0;3;29.4863948822;28.9097423553;19;53.5839514732;
82;3;13.0;33.0;17;22.0;3;29.6313877106;29.0;19;53.6947021484;
83;3;12.0;34.0;17;22.0;3;29.6563072205;29.0;19;53.8029289246;
84;2;12.0;35.0;17;23.0;4;29.6806564331;29.0;18;53.9084525108;
85;2;14.0;34.0;18;23.0399999619;4;26.5999984741;31.0;18;54.0111150742;
86;2;16.0;34.0;19;23.0811839104;4;25.5999984741;33.0;19;54.1107802391;
87;2;17.2432670593;34.0;18;23.1235535145;4;24.5999984741;35.0;19;54.2073340416;
