Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
89;2;18.9500007629;31.2441539764;25;31.5398340225;11;27.9489212036;63.0;21;84.7187845707;
90;2;18.9500007629;31.4938163757;25;31.7506799698;11;28.25;67.0;21;85.3818876743;
91;2;18.9500007629;31.7257480621;26;32.7275104523;11;28.25;69.0;21;87.0062222481;
92;2;16.9500007629;33.0742607117;26;33.5529842377;11;30.625;71.0;21;87.7395612001;
93;2;17.9500007629;32.9941368103;26;34.2459640503;11;32.625;75.0;23;88.4517580271;
94;2;18.9500007629;33.5046005249;26;34.8255901337;11;33.9221725464;80.0;23;89.145365119;
95;2;19.3860778809;33.945274353;25;35.1174659729;11;32.9657974243;83.0;24;89.8239591122;
96;2;19.3999996185;34.2292137146;26;35.3267564774;11;33.0151634216;87.0;23;90.476072669;
97;2;19.3999996185;34.4594306946;25;35.5162811279;13;32.625;89.9588775635;18;91.1182205677;
98;2;19.3999996185;34.6679077148;23;35.6871500015;13;32.625;93.0409317017;18;91.7595975399;
99;2;19.3999996185;34.8558654785;19;35.8405847549;13;32.625;96.1216888428;15;92.4050195217;
100;2;19.3999996185;35.0246429443;20;35.9778661728;13;33.625;100.200996399;16;92.9799954891;
101;2;19.3999996185;35.1756515503;20;36.0;13;32.625;102.278686523;16;93.5072190762;
102;2;19.3999996185;35.2000007629;20;36.0;13;34.625;105.792327881;17;94.0693964958;
103;2;19.3999996185;35.2000007629;20;36.0;13;36.625;108.898124695;17;95.6657571793;
104;2;19.3999996185;35.2000007629;21;36.0;13;39.0;112.001083374;17;96.3544807434;
105;2;19.3999996185;35.2000007629;21;36.0;13;41.375;112.101043701;20;97.0755434036;
106;2;19.3999996185;35.2000007629;21;36.0;15;42.6276664734;113.197914124;19;97.8247960806;
107;2;19.3999996185;35.2000007629;22;36.0;15;43.375;114.2915802;19;98.5968742371;
108;2;19.3999996185;35.2000007629;22;36.0;15;44.6580619812;115.338821411;20;99.3853102922;
109;2;19.3999996185;35.2000007629;22;36.0;16;42.6743164062;117.055023193;20;100.182747245;
110;2;19.3999996185;35.2000007629;22;36.0;16;41.375;119.777038574;20;100.981244087;
111;2;19.3999996185;35.2000007629;23;36.0;16;40.7089767456;120.496894836;22;101.772651792;
112;2;19.3999996185;35.2000007629;22;36.0;17;40.7274017334;122.206428528;21;102.549021006;
113;2;19.3999996185;35.2000007629;22;36.0;17;40.746547699;123.897697449;19;103.303002715;
114;2;19.3999996185;35.2000007629;20;36.0;17;40.375;126.563354492;21;104.543824077;
115;2;19.3999996185;35.2000007629;20;36.0;17;40.375;129.543823242;21;105.77321887;
116;2;19.3999996185;35.2000007629;16;36.0;17;40.375;131.773223877;21;106.984603167;
117;2;19.3999996185;35.2000007629;13;36.0;17;40.9111633301;131.751358032;22;108.172590494;
118;2;19.3999996185;35.2000007629;10;36.0;17;40.9680862427;133.536651611;23;110.332993746;
119;2;19.3999996185;35.2000007629;11;36.0;18;42.375;134.423858643;22;112.522750616;
120;2;19.3999996185;35.2000007629;10;36.0;18;45.0956077576;134.887527466;23;114.742742062;
121;2;19.3999996185;35.2000007629;10;36.0;18;47.1662063599;137.338195801;24;116.994712234;
122;2;19.3999996185;35.2000007629;10;36.0;18;50.2412414551;141.773101807;25;118.281062722;
123;2;19.3999996185;35.2000007629;8;36.0;18;52.3205032349;146.190002441;26;119.544643641;
124;2;19.3999996185;35.2000007629;10;36.0;18;53.6276664734;148.587127686;27;120.785605073;
125;2;19.3999996185;35.2000007629;10;36.0;18;54.375;151.963195801;27;122.979918003;
126;2;19.3999996185;35.2000007629;10;36.0;18;57.8631515503;154.317398071;28;124.089491725;
127;2;19.3999996185;35.2000007629;11;36.0;18;60.271522522;156.649383545;31;125.200433731;
128;2;19.3999996185;35.2000007629;12;36.0;18;61.6350097656;158.959228516;32;126.309944272;
129;2;19.3999996185;35.2000007629;12;36.0;18;62.1373901367;161.247314453;33;127.415252328;
130;2;19.3999996185;35.2000007629;13;36.0;19;62.2663917542;163.345474243;36;128.513656259;
131;2;19.3999996185;35.2000007629;13;36.0;20;62.396232605;163.335021973;35;129.602577567;
132;2;19.3999996185;35.2000007629;13;36.0;20;63.2098388672;160.85925293;37;130.679620385;
133;2;19.3999996185;35.2000007629;14;36.0;20;64.3213348389;159.172988892;37;131.742627501;
134;2;19.3999996185;35.2000007629;15;36.0;21;65.1299591064;157.493652344;37;132.672646523;
135;2;19.3999996185;35.2000007629;15;36.0;21;65.2372894287;155.820953369;36;133.595308661;
136;2;19.3999996185;35.2000007629;14;36.0;21;65.3405990601;154.154449463;36;135.511444449;
137;2;19.3999996185;35.2000007629;12;36.0;21;66.4401779175;153.493713379;35;137.499003291;
138;2;19.3999996185;35.2000007629;11;36.0;21;68.4401779175;159.764038086;36;138.54186213;
139;2;19.3999996185;35.2000007629;7;36.0;21;72.2389221191;163.211013794;37;139.581932783;
140;2;19.3999996185;35.2000007629;6;36.0;21;75.8639221191;166.599197388;37;141.618541956;
141;2;19.3999996185;35.2000007629;5;36.0;21;83.7981567383;171.125518799;38;142.711262226;
142;2;19.3999996185;35.2000007629;5;36.0;22;90.8819580078;175.591491699;39;143.802815199;
143;2;19.3999996185;35.2000007629;6;36.0;22;95.9670410156;180.062194824;39;144.893146157;
144;2;19.3999996185;35.2000007629;6;36.0;22;95.9670410156;186.536682129;41;145.982254148;
145;2;19.3999996185;35.2000007629;6;36.0;23;100.363922119;188.01399231;40;147.070137143;
146;2;19.3999996185;35.2000007629;6;36.0;23;102.363922119;190.49319458;40;148.156748652;
147;2;19.3999996185;35.2000007629;6;36.0;23;104.852584839;194.973205566;41;149.149476886;
148;2;19.3999996185;35.2000007629;6;36.0;24;104.875;198.453063965;42;151.123291492;
149;2;19.3999996185;35.2000007629;6;36.0;24;107.875;199.581787109;43;152.152732611;
150;2;19.3999996185;35.2000007629;7;36.0;24;102.875;207.266708374;43;153.168970227;
151;3;19.3999996185;35.2000007629;6;36.0;24;103.875;207.81338501;45;155.196299791;
152;3;19.3999996185;35.2000007629;6;36.0;25;102.875;213.541809082;44;156.292902231;
153;3;19.3999996185;35.2000007629;6;36.0;25;99.875;220.978622437;45;157.399849057;
154;3;19.3999996185;35.2000007629;8;36.0;25;96.875;229.489395142;46;159.515252113;
155;3;19.3999996185;35.2000007629;7;36.0;25;98.875;235.047485352;47;160.697165251;
156;3;19.3999996185;35.2000007629;7;36.0;25;100.875;237.614730835;46;161.886556625;
157;3;19.3999996185;35.2000007629;7;36.0;25;99.875;245.189804077;49;163.081464052;
158;3;19.3999996185;35.2000007629;7;36.0;25;102.875;244.628723145;51;164.279893756;
159;2;17.3999996185;17.0;7;24.0;26;99.875;253.925582886;47;177.479834437;
160;2;15.3999996185;18.0;8;24.0;26;101.875;259.381286621;48;178.679268003;
161;2;14.3999996185;19.0;8;24.0;27;102.875;264.640655518;50;179.876185536;
162;2;13.3999996185;20.0;8;24.0;27;102.875;272.903076172;50;181.068600416;
163;2;12.3999996185;21.0;8;24.0;27;103.875;279.167999268;52;182.254561663;
164;2;12.0;22.0;8;24.0;27;103.875;284.553222656;52;183.432166219;
165;2;12.0;23.0;9;24.0;27;104.0;285.928771973;55;184.599571824;
166;2;12.0;24.0;9;24.0;27;106.300003052;285.308258057;57;185.755007744;
167;2;12.0;25.0;8;24.0;27;104.300003052;286.690856934;60;186.896784306;
168;2;12.0;26.0;8;24.0;27;103.300003052;291.075744629;61;188.023301601;
169;2;12.0;27.0;8;24.0;27;104.300003052;292.462188721;63;189.133056402;
170;2;12.0;28.0;8;24.0;27;106.300003052;288.718719482;63;196.961808443;
171;2;12.0;29.0;8;24.0;28;107.387496948;293.008911133;62;204.077246189;
172;2;12.0;30.0;8;24.0;28;110.358200073;295.227966309;62;203.719284773;
173;2;12.0;31.0;9;24.0;28;110.152389526;296.765594482;63;203.428344727;
174;2;12.0;32.0;9;24.0;29;108.967147827;306.424346924;64;210.199709654;
175;2;12.0;33.0;9;24.0;30;111.678955078;314.829620361;61;230.975119591;
176;2;12.0;34.0;9;24.0;30;117.865600586;303.430084229;63;232.896545887;
177;2;12.0;35.0;10;24.0;30;114.342987061;315.302215576;64;242.486335754;
178;2;12.0;36.0;10;24.0;30;115.78490448;330.049926758;67;250.49633944;
179;2;12.0;37.0;10;24.0;30;119.599372864;342.660095215;67;258.879756451;
180;2;12.0;38.0;10;24.0;30;123.146858215;353.166931152;67;265.89555788;
181;2;12.0;39.0;9;24.0;31;129.490783691;337.287872314;65;265.923888564;
182;2;13.0;36.5999984741;7;24.0;31;123.781166077;347.087890625;66;274.144213021;
183;0;0;0;0;0;31;126.427391052;364.287872314;65;281.32922262;
