Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;14.1000003815;4;23.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;13.1000003815;6;23.0;1;7.0;11.6999998093;5;21.0;
3;2;8.0;12.5;5;24.0;2;8.0;10.8999996185;3;22.0;
4;2;9.19999980927;11.5;5;24.1725000143;2;8.29999923706;10.5;3;22.0900000334;
5;2;9.83450031281;11.5;5;24.3727337122;2;8.31349945068;10.5;3;22.1871190071;
6;2;11.0118207932;11.5;5;24.6044136286;2;9.41710090637;10.5;3;22.2917383909;
7;2;12.0813245773;11.5;5;24.8714777231;2;10.0156412125;10.5;3;22.4042263031;
8;2;12.4614429474;11.5;5;25.6567120552;2;10.0409517288;10.5;3;22.9589728117;
9;2;12.697013855;11.7299995422;5;26.3926081657;2;10.1657686234;10.7100000381;3;23.4430115223;
10;2;12.9177827835;11.9106416702;5;28.1322476864;2;10.2746782303;10.8792181015;3;23.8415006399;
11;2;13.4396743774;12.5274600983;5;29.7106893063;2;10.3643379211;11.0;3;25.6606454849;
12;2;15.2465848923;13.0216779709;5;31.1621875763;2;10.773645401;11.7700004578;4;27.2614676952;
13;2;17.2465858459;13.4066829681;5;32.5269875526;2;12.4981412888;12.4126424789;3;28.6526534557;
14;2;19.2465858459;13.6998376846;5;33.8434052467;2;14.4981412888;12.9308347702;3;29.8608493805;
15;2;20.9479598999;13.9190797806;5;34.9807829857;2;16.4981403351;13.3366470337;3;30.9217379093;
16;2;22.2406196594;14.0;5;36.0466938019;2;17.7662620544;13.6469516754;3;31.8725180626;
17;2;23.5603942871;14.0;6;37.1895904541;2;18.8754138947;13.879781723;3;32.6429929733;
18;2;24.903263092;14.0;6;38.3897886276;2;19.9946746826;14.0;3;33.2167277336;
19;3;25.5169372559;14.0;5;39.6220397949;2;21.1237640381;14.0;3;33.8314290047;
20;3;25.8866119385;14.0;5;40.8572254181;2;21.6120700836;14.0;3;34.4827160835;
21;3;26.2571678162;14.0;6;42.0648756027;2;21.7586097717;14.0;3;35.1645216942;
22;4;26.6194629669;14.0;5;43.2161035538;2;21.9120159149;14.0;3;35.8691868782;
23;4;26.9648303986;14.0;5;44.2863883972;2;22.0705661774;14.0;4;36.5877075195;
24;4;27.2859153748;14.0;5;45.2576446533;2;22.2322330475;14.0;4;37.3101301193;
25;4;25.2859153748;15.0;5;46.1192073822;2;22.3947792053;14.0;4;38.0260667801;
26;4;24.2859153748;16.0;5;46.8676738739;2;22.5558643341;14.0;4;38.7252779007;
27;4;23.2859153748;17.0;5;48.5058403015;2;22.713186264;14.0;4;39.3982591629;
28;4;23.3999996185;18.5;5;49.0711109638;2;22.8646087646;14.0;4;40.0367603302;
29;4;24.3999996185;19.0;5;49.5443880558;2;23.0082702637;14.0;4;40.6341733932;
30;4;24.3999996185;20.5302963257;5;49.937349081;3;24.1426887512;14.5;3;42.1857595444;
31;4;24.7275295258;21.0;6;50.2618591785;3;25.2667961121;14.5;3;42.8486958742;
32;4;24.7370548248;22.0;6;50.4058350325;3;25.3799552917;14.5799999237;3;43.4857145548;
33;4;24.7467498779;23.0;6;50.4387089014;3;25.784286499;14.0;3;44.1002759933;
34;5;24.7566127777;24.0;4;50.4721269608;3;25.572883606;14.7770614624;3;44.6972643137;
35;5;24.3999996185;25.0;4;50.5060760975;3;26.0568828583;14.0;3;45.282586813;
36;5;24.7768230438;26.0;4;50.5405418873;3;26.1885814667;14.0;3;45.8627579212;
37;5;24.7871627808;27.0;4;51.5755085945;3;26.3191204071;14.0;3;46.4444854259;
38;5;25.7976531982;28.5;5;51.7409591675;3;26.450006485;14.0;3;47.0342698097;
39;5;27.8082866669;29.5;5;51.9223064184;3;26.5827102661;14.0;5;47.544028759;
40;5;29.2016906738;31.5;5;52.1209619045;3;26.6974067688;14.0;5;48.0209121704;
41;5;30.2612895966;33.5;6;52.338360548;3;26.8047046661;14.0;5;48.5427899361;
42;5;31.3265075684;35.5;6;52.575928688;3;26.92212677;17.0;6;49.1086950302;
43;5;32.3977775574;37.0;7;53.8350428343;3;27.0494556427;20.0;7;49.7161855698;
44;5;34.4755134583;37.0;8;54.1669799089;3;27.1861419678;23.0;7;50.3611893654;
45;5;35.935092926;37.0;10;54.5248321295;3;27.3312683105;26.0;8;51.0379443169;
46;5;36.3574523926;37.0;11;54.9095128775;3;25.8999996185;29.0;10;51.7390680313;
47;5;36.4728546143;38.0;12;55.32162714;3;26.8999996185;29.0;10;52.4557781219;
48;5;36.5964851379;39.0;12;55.7613899708;4;28.8025493622;30.0;10;54.1782588959;
49;5;36.7284164429;39.0;13;56.228546977;4;29.9651069641;31.0;12;55.056158185;
50;5;36.8685646057;39.0;15;56.7223001719;4;30.1266365051;32.0;12;55.9429098368;
51;5;37.0166893005;39.0;16;57.2412464619;4;30.2848129272;33.0;12;56.8317251205;
52;5;37.1723709106;39.0;17;57.7833385468;4;30.4374599457;34.0;14;57.717122674;
53;5;37.3350028992;39.0;18;58.3458714485;4;30.5826644897;34.8970870972;13;58.5952756405;
54;5;37.5037574768;39.0;18;58.9255068302;4;28.5826644897;36.033493042;13;59.464168787;
55;5;37.6776542664;39.0;18;59.5183329582;5;30.1171875;34.0;8;75.3235480785;
56;5;33.8995285034;41.0;19;60.1199688911;6;29.5826644897;37.0;7;76.9246716499;
57;5;32.9337120056;43.0;19;63.2183884382;6;30.0641345978;39.5559234619;7;78.4392752647;
58;5;33.4193611145;42.7000007629;20;65.853582859;6;28.0641345978;42.7720146179;7;79.8694639206;
59;5;33.8055839539;44.2291984558;21;68.0908162594;6;27.0641345978;46.0104560852;7;81.2207055092;
60;5;33.1524963379;46.6162643433;21;70.0016460419;6;26.8999996185;49.2713928223;7;82.5003919601;
61;5;33.2071800232;47.8922767639;21;71.4807226658;6;27.6000003815;51.5543479919;8;83.7164583206;
62;5;33.4652862549;49.0;21;72.4506216049;6;28.6000003815;53.8580932617;12;84.8761963844;
63;5;34.5351867676;49.0;22;73.3545136452;6;29.1881065369;53.8580932617;12;88.1228971481;
64;5;32.6186027527;51.0;22;74.2287950516;6;28.3765907288;53.0;13;90.9664440155;
65;6;29.9371871948;55.0;21;75.0680427551;7;27.5351409912;53.0;14;93.4616994858;
66;7;30.9371871948;53.7340202332;12;85.8684902191;7;28.0666751862;54.0;17;95.4187507629;
67;7;31.6000003815;56.0;12;87.1279582977;8;28.1745262146;55.0;16;98.1301269531;
68;7;32.7782592773;59.434753418;14;88.3181734085;8;29.262096405;56.0;17;99.7389570475;
69;7;33.4834976196;62.0;15;89.4364309311;8;30.2999992371;58.0;17;100.831675529;
70;7;35.506072998;63.0;15;90.4819147587;8;29.2999992371;59.0;17;101.892481208;
71;7;37.5285415649;65.0;16;91.4553878307;8;28.2999992371;63.0;17;103.937735677;
72;7;36.5999984741;66.0;18;92.3588604927;8;29.2999992371;67.9595184326;18;105.06383884;
73;7;36.5999984741;69.6217193604;18;93.1952605247;8;30.2999992371;72.1234130859;19;106.179480076;
74;7;37.5999984741;72.6583099365;18;93.9171242714;8;30.2999992371;77.9595184326;20;107.288031816;
75;7;37.5999984741;73.694519043;19;94.4804282188;8;30.2999992371;82.9595184326;21;108.395140767;
76;7;38.5999984741;75.7302856445;20;95.0106713772;8;30.2999992371;87.9595184326;22;109.507744551;
77;7;40.5999984741;78.7655792236;21;95.5088863373;8;30.2999992371;92.7568054199;22;110.632970214;
78;7;40.5999984741;79.8003387451;22;95.9762878418;8;30.8233661652;95.9595184326;22;111.777023077;
79;7;40.5999984741;80.8345336914;22;96.3185243607;8;31.8718070984;96.6840820312;23;112.944182634;
80;7;38.9000015259;84.8681182861;23;96.6008498669;8;30.2999992371;101.049972534;24;114.135988474;
81;7;38.9000015259;85.9010696411;25;96.8734326363;8;31.9794540405;100.44342041;25;115.183741808;
82;7;37.9000015259;86.5617218018;26;97.1356589794;8;32.0388031006;100.860527039;25;116.26484251;
83;7;35.9000015259;89.6928329468;27;97.3870537281;8;31.2999992371;102.295959473;25;117.381673098;
84;7;35.9000015259;89.8185272217;29;97.6272773743;8;32.1686515808;101.743080139;27;118.51883769;
