Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;14.1000003815;4;23.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;13.1000003815;6;23.0;2;7.0;11.8999996185;4;22.0;
3;1;8.0;12.1000003815;6;23.0;2;8.14999961853;10.6999998093;4;22.0900000334;
4;1;9.0;11.5;6;23.0;2;8.31349945068;10.5;4;22.1871190071;
5;1;9.60000038147;11.5;6;23.0;2;8.32806777954;10.5;4;22.2917383909;
6;1;10.6000003815;11.5;6;23.0;2;9.44064044952;10.5;2;22.4042263031;
7;1;11.6000003815;11.5;6;23.0;2;10.0409517288;10.5;2;22.5249304771;
8;1;11.8999996185;11.5;6;23.4599990845;2;10.0681095123;10.5;2;23.0894187689;
9;2;12.0380001068;11.9299993515;5;24.8212833405;2;10.1951189041;10.7100000381;2;23.5836213827;
10;2;12.4463853836;11.9106416702;5;25.1224999428;2;10.3063154221;10.8792181015;2;23.9926425219;
11;2;12.5367507935;12.0;5;26.4923068285;2;10.3983440399;11.0;2;25.8316864967;
12;2;14.5340766907;12.6000003815;5;27.6432056427;2;10.8121290207;11.7700004578;3;27.4540388584;
13;2;16.5340766907;13.0788002014;5;28.6060497761;2;12.541469574;12.4126424789;3;28.8682081699;
14;2;18.5340766907;13.4505519867;5;29.4186617136;2;14.541469574;12.9308347702;3;30.1005516052;
15;2;19.7322654724;13.7328653336;5;30.1192717552;2;16.541469574;13.3366470337;3;31.1863336563;
16;2;20.816028595;13.943564415;5;30.5450415611;2;17.8257961273;13.6469516754;3;32.1621966362;
17;2;21.9098968506;14.0;6;30.8938384056;2;18.9405918121;13.879781723;3;32.9572491646;
18;2;23.0145359039;14.0;6;31.2803442478;2;20.0653820038;14.0;3;33.5542383194;
19;2;22.3999996185;14.9841032028;6;31.7057936192;2;21.1997051239;14.0;3;34.1899633408;
20;2;23.3999996185;14.0;6;32.1706562042;2;21.692741394;14.0;3;34.8591008186;
21;2;23.6511955261;14.0;7;32.6744441986;2;21.843296051;14.0;3;35.5546751022;
22;3;23.8023338318;14.0;6;33.2155370712;2;21.9998016357;14.0;3;36.2682390213;
23;3;22.3999996185;15.0;6;33.7910437584;2;22.1603527069;14.0;4;36.9902019501;
