Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
80;4;25.6000003815;33.0;16;38.5906541348;6;30.7999992371;63.8520393372;17;98.0460754633;
81;4;24.6000003815;37.0;17;39.0110721588;6;28.7999992371;65.8520355225;17;98.8780636787;
82;5;23.6000003815;40.4108848572;16;39.4527993798;6;28.75;68.8520355225;18;99.6541211605;
83;5;22.6000003815;41.4080657959;17;39.9137851;6;28.75;71.8520355225;18;100.366322398;
84;5;21.6000003815;44.5870819092;17;40.3916729093;6;28.75;74.8520355225;19;101.010111928;
85;5;21.6000003815;44.3307151794;18;40.883836925;6;28.75;77.8520355225;19;101.584114194;
86;5;21.6000003815;43.4538612366;19;41.3874322176;6;28.75;80.8520355225;19;102.08968091;
87;5;22.6000003815;43.583152771;20;41.899459064;6;30.75;77.8520355225;19;102.530283093;
88;5;23.6000003815;43.7185287476;21;42.4168359637;6;28.75;80.8520355225;20;102.910860419;
89;5;24.6000003815;43.85987854;21;42.9364769459;6;28.75;83.8520355225;20;103.237214923;
90;5;25.6000003815;44.0070343018;22;43.4553685188;8;33.75;79.8520355225;18;105.515505314;
91;5;26.6000003815;45.1597633362;22;43.9706429243;8;32.75;84.8520355225;18;106.10195303;
92;6;27.6000003815;46.3177642822;21;44.4796385765;9;33.28099823;89.8520355225;17;115.044419646;
93;6;27.6000003815;47.4806747437;21;44.9799497128;9;34.3756256104;90.8520355225;18;115.938370705;
94;6;27.6000003815;48.6480636597;22;45.4694627523;9;34.75;92.8520355225;18;116.8936584;
95;6;27.6000003815;49.8194465637;22;45.9463716745;9;35.75;98.8520355225;18;117.917764068;
96;6;27.6000003815;50.9942703247;22;46.4091833234;9;38.75;98.8520355225;20;119.018706799;
97;6;27.6000003815;52.1719284058;24;46.8567073345;10;38.75;101.852035522;20;120.20458746;
98;6;27.6000003815;53.3517723083;25;47.2880372405;11;38.75;106.852035522;19;121.482959747;
99;6;27.6000003815;54.5331192017;25;47.70252496;11;40.4798965454;108.852035522;22;122.860037088;
100;6;28.6000003815;52.7152481079;25;49.0997487307;13;40.5976295471;113.852035522;20;124.33975482;
